,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
153,Clark Harris,Rutgers,Big East,11,53,725,13.7,5,,53
154,Kevin Robinson,Utah State,Sun Belt,11,44,602,13.7,3,,44
155,Jacob Murphy,Army,CUSA,10,26,367,13.6,2,1,27
156,Will Prosser,Mississippi State,SEC,11,24,328,13.7,0,,24
157,Bill Sampy,Louisiana,Sun Belt,11,57,776,13.6,6,,57
158,Alex Smith,Stanford,Pac-10,11,52,706,13.6,3,,52
159,Aaron Alexander,Army,CUSA,10,37,505,13.6,4,,37
160,Anthony Fasano,Notre Dame,Ind,11,27,367,13.6,4,,27
161,Lamart Barrett,North Carolina State,ACC,11,24,355,14.2,0,1,25
162,Paris Warren,Utah,MWC,12,80,1233,11.4,14,28,108
163,Brandon Smith,Vanderbilt,SEC,11,41,540,12.0,3,4,45
164,Justin Harper,Central Michigan,MAC,11,39,526,13.5,5,,39
165,Martin Nance,Miami (OH),MAC,5,25,337,13.5,1,,25
166,Scott Chandler,Iowa,Big Ten,12,24,324,13.5,2,,24
167,Josh Barge,Wyoming,MWC,10,23,318,12.7,2,2,25
169,Kevin Everett,Miami (FL),ACC,11,23,307,12.8,0,1,24
170,Domenik Hixon,Akron,MAC,11,66,882,13.4,6,,66
171,Craig Bragg,UCLA,Pac-10,9,36,485,13.1,4,1,37
172,Jayson Swain,Tennessee,SEC,13,29,388,13.4,4,,29
173,Bo Scaife,Texas,Big 12,12,26,348,13.4,3,0,26
174,Jahkeen Gilmore,Indiana,Big Ten,9,23,316,13.2,2,1,24
175,Dante Ridgeway,Ball State,MAC,11,105,1386,13.1,8,1,106
176,J.R. Russell,Louisville,CUSA,12,73,968,13.3,7,,73
177,Keron Henry,Connecticut,Big East,12,67,897,13.2,5,1,68
178,Mark Clayton,Oklahoma,Big 12,13,66,887,12.7,8,4,70
179,Earvin Johnson,UNLV,MWC,11,60,795,13.3,8,,60
180,Jayson Boyd,UTEP,WAC,12,42,560,13.3,5,,42
181,Darrin Charles,Wisconsin,Big Ten,12,25,333,13.3,3,,25
