,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Brandon Middleton,Houston,CUSA,12,28,674,24.1,6,,28
2,Aaron Hosack,Minnesota,Big Ten,13,29,649,22.4,3,,29
3,Andre Johnson,Miami (FL),Big East,12,52,1090,20.6,9,1,53
4,Jon Olinger,Cincinnati,CUSA,14,54,1114,20.6,7,,54
5,Maurice Brown,Iowa,Big Ten,13,48,958,19.2,11,2,50
6,Jafar Williams,Maryland,ACC,14,28,561,19.3,2,1,29
7,Joey Cuppari,Colorado State,MWC,13,35,707,19.1,4,2,37
8,James Terry,Kansas State,Big 12,12,28,567,19.6,5,1,29
9,Charles Rogers,Michigan State,Big Ten,12,68,1425,19.3,13,6,74
10,Tab Perry,UCLA,Pac-10,12,35,703,19.5,1,1,36
11,Keenan Howry,Oregon,Pac-10,13,40,863,18.0,5,8,48
12,Dan Sheldon,Northern Illinois,MAC,12,40,918,17.3,6,13,53
13,Richard Alston,East Carolina,CUSA,11,36,709,16.9,6,6,42
14,Jimmy Fryzel,UCF,MAC,12,58,1126,18.8,5,2,60
15,Bryant Johnson,Penn State,Big Ten,13,48,917,19.1,4,,48
16,Frederick Stamps,Louisiana,Sun Belt,12,54,1011,17.4,8,4,58
17,Billy Wingfield,Boise State,WAC,13,62,1179,17.9,7,4,66
18,Lou Fanucchi,Boise State,WAC,13,38,723,17.6,5,3,41
19,Lashaun Ward,California,Pac-10,12,39,744,16.9,9,5,44
20,Ernest Wilford,Virginia Tech,Big East,14,51,925,18.1,7,,51
22,Taco Wallace,Kansas State,Big 12,13,39,716,17.5,5,2,41
23,Kenny Farley,Oregon State,Pac-10,13,29,526,18.1,3,,29
24,Bethel Johnson,Texas A&M,Big 12,12,40,755,16.8,8,5,45
25,Jonathan Orr,Wisconsin,Big Ten,14,47,842,17.9,8,,47
26,Terrell Grindle,Mississippi State,SEC,11,34,616,17.6,3,1,35
27,Brian Robinson,Houston,CUSA,12,29,518,17.9,2,,29
28,Jerricho Cotchery,North Carolina State,ACC,14,67,1200,16.9,7,4,71
29,Roy Williams,Texas,Big 12,12,64,1227,17.8,13,5,69
30,Michael Jenkins,Ohio State,Big Ten,14,61,1076,17.6,6,,61
31,Courtney Roby,Indiana,Big Ten,12,59,1076,17.6,4,2,61
32,H.B. Briscoe,New Mexico State,Sun Belt,11,50,880,17.6,5,,50
33,Fred Gibson,Georgia,SEC,12,43,752,17.1,4,1,44
34,Aaron Alexander,Army,CUSA,11,26,454,17.5,2,,26
35,John Standeford,Purdue,Big Ten,13,75,1307,17.4,13,,75
36,James Newson,Oregon State,Pac-10,13,74,1306,17.4,12,1,75
37,Willie Quinnie,UAB,CUSA,11,36,614,16.2,6,2,38
38,Mike Pinkard,Arizona State,Pac-10,14,30,521,17.4,5,,30
39,Curtis Jones,Marshall,MAC,6,27,491,16.4,3,3,30
40,Jamaar Taylor,Texas A&M,Big 12,10,44,768,17.1,3,1,45
41,Dallas Clark,Iowa,Big Ten,13,43,742,17.3,4,,43
43,Jay Swillie,Boise State,WAC,11,34,687,16.8,6,7,41
44,Jamie Hickenbotham,Arkansas State,Sun Belt,11,27,514,13.9,3,10,37
45,Aaron Boone,Kentucky,SEC,12,41,709,16.9,10,1,42
46,Jermaine Lewis,Western Michigan,MAC,12,38,658,16.9,4,1,39
47,Omar Jenkins,Notre Dame,Ind,13,37,633,17.1,3,,37
48,Richard Smith,Arkansas,SEC,14,34,582,17.1,4,,34
