,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Doug Gabriel,UCF,Ind,10,22,632,28.7,9,,22
2,Shaun McDonald,Arizona State,Pac-10,11,47,1112,21.8,11,4,51
3,Fred Gibson,Georgia,SEC,10,33,799,22.2,6,3,36
4,Charles Rogers,Michigan State,Big Ten,12,67,1506,21.2,15,4,71
5,Darrell Hill,Northern Illinois,MAC,11,38,867,21.7,7,2,40
6,Javon Walker,Florida State,ACC,11,45,944,21.0,7,,45
7,Lou Fanucchi,Boise State,WAC,11,30,633,19.8,2,2,32
8,Aaron Martin,Rutgers,Big East,11,25,522,20.1,3,1,26
9,Mike Bush,Washington State,Pac-10,12,46,967,20.6,10,1,47
10,Lee Evans,Wisconsin,Big Ten,12,75,1545,20.6,9,,75
11,Ashley Lelie,Hawaii,WAC,12,84,1713,20.4,19,,84
12,Michael Jenkins,Ohio State,Big Ten,11,41,836,20.4,3,,41
13,Scottie Vines,Wyoming,MWC,11,27,568,19.6,2,2,29
14,Donte' Stallworth,Tennessee,SEC,9,41,832,19.8,10,1,42
15,Luke Powell,Stanford,Pac-10,11,40,789,19.2,7,1,41
16,Tab Perry,UCLA,Pac-10,9,21,416,19.8,2,,21
17,Talman Gardner,Florida State,ACC,11,33,641,18.3,11,2,35
18,Pete Rebstock,Colorado State,MWC,9,28,556,17.9,3,3,31
19,Gilbert Okoronkwo,Rice,WAC,12,23,439,19.1,2,,23
20,Antoine Harden,Memphis,CUSA,10,31,600,18.2,4,2,33
22,John Lewis,Oklahoma State,Big 12,11,24,468,17.3,1,3,27
23,Chris Vance,Ohio State,Big Ten,11,29,544,18.8,4,,29
24,Jeb Putzier,Boise State,WAC,12,44,824,18.7,12,,44
25,Taylor Jacobs,Florida,SEC,11,38,739,17.6,7,4,42
26,Tony Johnson,Penn State,Big Ten,11,27,513,18.3,3,1,28
27,Josh Reed,LSU,SEC,12,94,1747,18.2,7,2,96
28,R.J. English,Pitt,Big East,11,41,760,18.5,6,,41
29,Joe Manning,New Mexico,MWC,11,26,554,12.6,3,18,44
30,Andre Johnson,Miami (FL),Big East,11,37,695,18.3,10,1,38
31,Samie Parker,Oregon,Pac-10,12,41,748,18.2,4,,41
32,Michael Larkin,Miami (OH),MAC,11,37,672,18.2,5,,37
33,Edell Shepherd,San Jose State,WAC,12,83,1500,18.1,14,,83
34,Dwight Counter,New Mexico,MWC,11,43,788,17.5,4,2,45
35,Jabar Gaffney,Florida,SEC,11,67,1191,17.8,13,,67
36,Reggie Williams,Washington,Pac-10,11,55,973,17.7,3,,55
37,Manwell Talbert,New Mexico State,Sun Belt,12,26,458,17.6,2,,26
38,Jerome Riley,Washington State,Pac-10,12,36,630,17.5,4,,36
39,Freddie Milons,Alabama,SEC,11,36,636,15.9,3,4,40
40,Jon Olinger,Cincinnati,CUSA,11,27,469,17.4,7,,27
41,Michael Johnson,UNLV,MWC,11,25,435,17.4,2,,25
43,Brian Poli-Dixon,UCLA,Pac-10,8,24,415,17.3,2,,24
44,Sam Aiken,North Carolina,ACC,12,46,790,16.5,8,2,48
45,Roscoe Crosby,Clemson,ACC,9,23,396,17.2,3,,23
46,George Marshall,North Texas,Sun Belt,11,32,555,16.8,11,1,33
47,Derek McCoy,Colorado,Big 12,12,30,512,17.1,2,,30
48,James Newson,Oregon State,Pac-10,11,57,976,16.8,5,1,58
49,Bryant Johnson,Penn State,Big Ten,11,51,871,15.8,3,4,55
50,Jimmy Fryzel,UCF,Ind,11,39,684,16.7,2,2,41
51,Jason Anderson,Wake Forest,ACC,10,28,472,16.9,2,,28
52,M.J. Garrett,Vanderbilt,SEC,11,27,455,16.9,4,,27
53,Ray Jackson,Cincinnati,CUSA,11,27,1047,6.1,10,145,172
54,Brandon Lloyd,Illinois,Big Ten,11,60,1011,15.6,8,5,65
55,Ryan Wells,Stanford,Pac-10,11,31,519,16.7,3,,31
56,Dan Stricker,Vanderbilt,SEC,11,65,1159,14.5,8,15,80
57,Heyward Skipper,Troy,Ind,11,60,1013,16.6,9,1,61
58,Wilson Thomas,Nebraska,Big 12,12,37,620,16.3,3,1,38
59,Chesley Borders,North Carolina,ACC,12,27,456,16.3,4,1,28
60,Deion Branch,Louisville,CUSA,12,72,1212,15.5,9,6,78
61,Adrian Madise,Texas Christian,CUSA,11,50,819,16.4,5,,50
62,Kerry Watkins,Georgia Tech,ACC,12,41,696,15.1,5,5,46
64,Kevin Beard,Miami (FL),Big East,11,25,409,16.4,2,,25
65,Reche Caldwell,Florida,SEC,11,65,1106,15.8,10,5,70
66,Kareem Kelly,USC,Pac-10,12,49,839,15.3,3,6,55
67,Ben Erdeljac,Duke,ACC,11,42,687,15.6,1,2,44
68,Charles Pauley,San Jose State,WAC,12,41,790,13.0,1,20,61
69,Tim Carter,Auburn,SEC,11,35,598,14.2,3,7,42
70,Nakoa McElrath,Washington State,Pac-10,12,72,1199,16.0,9,3,75
71,Walter Young,Illinois,Big Ten,11,44,712,16.2,6,,44
72,Brock Ralph,Wyoming,MWC,11,36,584,15.8,2,1,37
73,Josh Lyman,Utah,MWC,11,36,582,16.2,5,,36
74,Chris Lacy,Idaho,Sun Belt,11,65,1072,15.5,8,4,69
75,Sam Simmons,Northwestern,Big Ten,11,50,881,16.0,7,5,55
76,Bernard Berrian,Fresno State,WAC,14,85,1455,15.8,13,7,92
77,Ron Johnson,Minnesota,Big Ten,11,56,895,16.0,9,,56
78,Michael Clayton,LSU,SEC,12,47,789,16.1,7,2,49
79,Andre Davis,Virginia Tech,Big East,11,39,621,14.1,7,5,44
80,Mike Hart,Duke,ACC,10,30,476,15.9,4,,30
81,Cortlen Johnson,Colorado,Big 12,12,24,949,8.4,5,89,113
82,Kelley Washington,Tennessee,SEC,12,64,1010,15.8,5,,64
83,Roydell Williams,Tulane,CUSA,12,56,878,15.4,11,1,57
85,Donnie O'Neal,Arizona State,Pac-10,11,45,711,15.8,4,,45
86,Tyrone Calico,Middle Tennessee State,Sun Belt,11,37,621,16.3,6,1,38
87,Rodney Wright,Fresno State,WAC,14,104,1744,13.7,13,23,127
88,Justin Jenkins,Mississippi State,SEC,11,42,672,14.6,8,4,46
89,Antonio Bryant,Pitt,Big East,10,42,659,15.7,9,,42
90,Terrence Edwards,Georgia,SEC,11,39,613,15.7,6,,39
91,Craig Campbell,Iowa State,Big 12,11,31,520,14.4,2,5,36
92,Andrae Thurman,Arizona,Pac-10,11,30,470,15.7,2,,30
93,Antoine Burns,Minnesota,Big Ten,11,30,470,15.7,3,,30
94,Darius Watts,Marshall,MAC,12,91,1425,15.3,18,2,93
95,Deandrew Rubin,South Florida,Ind,11,34,532,15.6,4,,34
96,Brian Scott,South Carolina,SEC,12,47,730,15.5,5,,47
97,Derrick Collier,East Carolina,CUSA,11,31,481,15.5,0,,31
98,Terrance Minor,UTEP,WAC,10,24,371,15.5,3,,24
99,Tavirus Davis,UCF,Ind,11,47,722,15.4,5,,47
100,Frederick Stamps,Louisiana,Sun Belt,11,43,663,15.4,4,,43
101,Doug Jolley,Brigham Young,MWC,13,32,492,15.4,7,,32
102,Kevin Curtis,Utah State,Ind,11,100,1556,15.1,10,3,103
103,Charles Smith,Fresno State,WAC,14,35,564,14.5,3,4,39
104,Allen Stark,Louisiana Tech,WAC,9,25,379,14.6,3,1,26
106,Jeff Gaddy,Navy,Ind,10,24,368,14.2,2,2,26
107,Paul Arnold,Washington,Pac-10,11,43,643,14.6,4,1,44
108,Sloan Thomas,Texas,Big 12,12,29,432,14.4,5,1,30
109,Malcom Floyd,Wyoming,MWC,11,53,790,14.9,4,,53
110,Teyo Johnson,Stanford,Pac-10,11,38,565,14.9,7,,38
111,Antrews Bell,Florida State,ACC,11,29,433,14.9,1,,29
112,Atrews Bell,Florida State,ACC,11,29,433,14.9,1,0,29
113,Ryan Fleming,Air Force,MWC,11,28,417,14.4,1,1,29
114,Aaron Lockett,Kansas State,Big 12,11,24,361,12.9,3,4,28
115,Daniel Graham,Colorado,Big 12,12,51,753,14.8,6,,51
