,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
116,Guilian Gary,Maryland,ACC,11,49,727,14.8,6,,49
117,Ethenic Sands,Miami (FL),Big East,11,26,408,15.1,1,1,27
118,Justin Colbert,Hawaii,WAC,12,55,800,14.3,3,1,56
119,Sean Dillard,Temple,Big East,11,51,751,14.2,4,2,53
120,Dedrick Dewalt,Boston College,Big East,11,37,561,14.0,5,3,40
121,D.J. Curry,Louisiana Tech,WAC,9,52,797,13.5,8,7,59
122,Bosley Allen,North Carolina,ACC,12,39,562,14.4,4,,39
123,Terrence Murphy,Texas A&M,Big 12,11,36,546,14.0,3,3,39
124,Aris Comeaux,Army,CUSA,11,35,509,14.1,5,1,36
125,Justin Peelle,Oregon,Pac-10,12,34,491,14.4,9,,34
127,Soren Halladay,Brigham Young,MWC,13,27,402,14.4,2,1,28
128,Brian Labasco,Air Force,MWC,11,25,359,13.8,2,1,26
129,Kahlil Hill,Iowa,Big Ten,12,59,841,13.6,8,3,62
130,Denero Marriott,Marshall,MAC,11,56,800,14.3,9,,56
131,Richard Alston,East Carolina,CUSA,11,31,574,13.7,4,11,42
132,Bobby Wade,Arizona,Pac-10,11,62,904,13.9,8,3,65
133,Herb Haygood,Michigan State,Big Ten,12,57,814,14.0,4,1,58
134,Lane Danielsen,Iowa State,Big 12,11,49,766,13.7,5,7,56
135,George Wilson,Arkansas,SEC,11,40,568,14.2,3,,40
136,Dallas Clark,Iowa,Big Ten,12,38,539,14.2,4,,38
137,Maurice Bradford,Buffalo,MAC,11,35,498,14.2,2,,35
138,Derrick Lewis,San Diego State,MWC,11,28,435,11.4,0,10,38
139,Matt Curry,Kent State,MAC,11,27,383,14.2,2,,27
140,Carlos Francis,Texas Tech,Big 12,11,50,731,13.5,3,4,54
141,Alvin Powell,Arkansas State,Sun Belt,11,36,502,13.6,6,1,37
142,Jake Schifino,Akron,MAC,11,36,494,12.7,3,3,39
143,Craig Bragg,UCLA,Pac-10,11,29,508,13.7,4,8,37
144,Damien Gary,Georgia,SEC,10,25,355,13.7,1,1,26
145,Cliff Russell,Utah,MWC,11,53,770,13.3,4,5,58
146,Jay Swillie,Boise State,WAC,12,48,683,13.9,8,1,49
148,Carl Ford,Toledo,MAC,11,46,646,14.0,6,,46
149,Todd Elstrom,Washington,Pac-10,11,35,483,13.4,4,1,36
150,J.J. McKelvey,Clemson,ACC,11,28,392,14.0,4,,28
151,Antonio Thomas,Western Michigan,MAC,11,22,307,14.0,3,,22
152,J.R. Tolver,San Diego State,MWC,11,63,872,13.4,2,2,65
153,Leroy Handy,Southern Mississippi,CUSA,11,59,834,13.9,3,1,60
154,Nate Burleson,Nevada,WAC,9,53,781,13.9,2,3,56
155,Bobby Garner,Southern Mississippi,CUSA,11,27,374,13.9,2,,27
156,Zek Parker,Louisville,CUSA,12,55,746,13.1,3,2,57
157,Lee Mays,UTEP,WAC,11,53,759,13.3,1,4,57
158,Kory Bailey,North Carolina,ACC,12,44,608,13.8,6,,44
159,Tye Keith,Cincinnati,CUSA,11,42,578,13.8,4,,42
160,Bryan Peterson,North Carolina State,ACC,11,48,703,11.7,2,12,60
161,Chris Belser,Idaho,Sun Belt,11,44,603,13.7,4,,44
162,Chris Baker,Michigan State,Big Ten,12,40,548,13.7,4,,40
163,Malosi Leonard,Arizona,Pac-10,11,43,582,13.5,3,,43
164,Rob Turner,Central Michigan,MAC,11,50,668,13.4,4,,50
165,Eddie Tillitz,Miami (OH),MAC,10,43,575,13.1,5,1,44
166,Antonio Carter,Alabama,SEC,11,32,428,13.4,1,,32
167,Gregg Kellett,Marshall,MAC,12,25,351,13.0,1,2,27
169,Kori Dickerson,USC,Pac-10,12,25,336,12.9,2,1,26
170,Doug Zeigler,Ole Miss,SEC,9,21,281,13.4,4,,21
171,Reno Mahe,Brigham Young,MWC,13,91,1385,13.1,9,15,106
172,Mo Jones,Nevada,WAC,11,30,398,13.3,3,,30
173,Tim Fleming,Nevada,WAC,10,30,398,13.3,1,,30
174,Jamar Cottee,Ball State,MAC,11,24,318,12.2,3,2,26
175,Mack Vincent,Louisiana-Monroe,Sun Belt,11,47,623,12.7,2,2,49
176,Chauncey Henry,Miami (OH),MAC,12,32,474,12.8,3,5,37
177,Rossi Martin,Idaho,Sun Belt,11,32,421,13.2,8,,32
178,Termaine Fulton,Kansas,Big 12,11,30,397,13.2,1,,30
179,Bo Scaife,Texas,Big 12,12,30,396,13.2,1,,30
180,Derek Smith,Kentucky,SEC,11,30,396,13.2,4,,30
181,Keenan Howry,Oregon,Pac-10,12,52,733,13.1,10,4,56
182,Matt Cherry,Akron,MAC,11,48,638,13.0,3,1,49
183,B.J. Johnson,Texas,Big 12,12,41,593,13.2,4,4,45
184,John Hampton,SMU,WAC,11,35,459,13.1,1,,35
185,Antwone Savage,Oklahoma,Big 12,12,34,472,12.4,5,4,38
186,Will Glover,Georgia Tech,ACC,10,42,550,12.2,3,3,45
187,Jeremy Shockey,Miami (FL),Big East,11,40,519,13.0,7,,40
188,Keary Colbert,USC,Pac-10,12,34,451,12.9,2,1,35
190,Jack Whitver,Iowa State,Big 12,11,21,276,12.5,3,1,22
191,Marquise Walker,Michigan,Big Ten,11,81,1072,12.6,11,4,85
192,Joshua Bush,Western Michigan,MAC,11,48,651,12.3,1,5,53
193,Latarence Dunbar,Texas Christian,CUSA,11,41,578,10.7,5,13,54
194,Jurron Kelly,Kent State,MAC,11,37,490,12.9,5,1,38
195,Jason Armstead,Ole Miss,SEC,11,32,412,12.5,5,1,33
196,Billy McMullen,Virginia,ACC,12,83,1060,12.8,12,,83
197,Rashaun Woods,Oklahoma State,Big 12,11,80,1023,12.8,10,,80
198,Delwyn Daigre,Louisiana Tech,WAC,9,60,770,12.8,6,,60
199,Chris Collins,Ole Miss,SEC,11,54,730,13.3,7,1,55
200,Willie Quinnie,UAB,CUSA,11,36,483,12.7,4,2,38
201,C.J. Jones,Iowa,Big Ten,11,34,450,12.2,1,3,37
202,Jamal Burke,Boston College,Big East,11,25,320,12.8,8,,25
203,Mike Rigell,Brigham Young,MWC,13,25,329,12.7,3,1,26
204,Fabian Davis,Wake Forest,ACC,11,24,409,9.3,4,20,44
205,John Stone,Wake Forest,ACC,11,23,609,7.5,5,58,81
206,Joe Mohler,Ohio,MAC,11,21,312,12.5,2,4,25
207,Rocky Harrison,Southern Mississippi,CUSA,11,21,268,12.8,1,,21
208,David Bautista,Bowling Green State,MAC,11,52,661,12.7,4,,52
209,Matt Knueven,Buffalo,MAC,11,35,443,12.7,2,,35
211,Sean Schembra,Ball State,MAC,11,34,437,11.8,3,3,37
212,Terrance Lloyd,Eastern Michigan,MAC,11,31,394,12.3,2,1,32
213,Marque Davis,Fresno State,WAC,14,29,441,10.5,4,13,42
214,Kelly Campbell,Georgia Tech,ACC,9,56,720,12.0,3,4,60
215,Bunkie Perkins,Memphis,CUSA,11,46,588,12.3,6,2,48
216,Reginald Perkins,Memphis,CUSA,11,46,588,12.3,6,2,48
217,Roger Ross,Kansas,Big 12,11,39,507,12.4,2,2,41
218,Nick Davis,Wisconsin,Big Ten,12,30,398,12.4,3,2,32
219,Billy Wingfield,Boise State,WAC,11,27,337,11.2,2,3,30
220,Andre Forde,Buffalo,MAC,7,23,300,12.5,0,1,24
221,Taylor Stubblefield,Purdue,Big Ten,12,73,908,12.1,2,2,75
222,Roy Williams,Texas,Big 12,12,67,883,12.3,7,5,72
223,John Standeford,Purdue,Big Ten,12,47,589,12.3,4,1,48
224,Jamaar Taylor,Texas A&M,Big 12,10,39,496,12.1,3,2,41
225,Chris Iskra,South Florida,Ind,11,37,461,12.5,2,,37
226,Manny Johnson,Toledo,MAC,11,31,390,11.8,2,2,33
227,Justin Gage,Missouri,Big 12,11,74,928,12.4,5,1,75
228,Ladaris Vann,Cincinnati,CUSA,11,73,922,11.8,3,5,78
229,P.J. Fleck,Northern Illinois,MAC,11,59,732,12.2,5,1,60
230,P.J. Winston,New Mexico State,Sun Belt,12,46,649,11.4,1,11,57
232,Darron White,Memphis,CUSA,10,34,422,12.4,3,,34
233,Robert Redd,Bowling Green State,MAC,11,72,882,11.6,9,4,76
234,Jason Branch,Miami (OH),MAC,12,46,565,12.3,6,,46
235,Josh Davis,Marshall,MAC,12,79,982,12.1,5,2,81
236,Kendall Newson,Middle Tennessee State,Sun Belt,11,65,811,12.1,7,2,67
237,Gary Coleman,Utah State,Ind,11,36,449,12.1,4,1,37
238,Jason Samples,Troy,Ind,11,30,379,12.2,0,1,31
239,Seth Morales,Purdue,Big Ten,12,29,350,11.7,4,1,30
240,Donald Shoals,Tulsa,WAC,10,75,917,11.8,4,3,78
241,Kevin Walter,Eastern Michigan,MAC,11,62,748,12.1,6,,62
242,Kurt Gerling,Bowling Green State,MAC,11,36,436,12.1,6,,36
243,Ja'Mel Branch,North Texas,Sun Belt,11,31,425,10.4,4,10,41
244,Joey Knapp,UTEP,WAC,11,29,356,11.9,2,1,30
245,Roderick Means,Central Michigan,MAC,9,23,278,12.1,0,,23
246,Kunle Patrick,Northwestern,Big Ten,11,56,703,11.5,6,5,61
247,Derrick Hamilton,Clemson,ACC,11,49,611,11.5,3,4,53
248,Little John Flowers,Michigan State,Big Ten,11,25,584,6.6,3,64,89
249,L.J. Flowers,Michigan State,Big Ten,11,25,595,6.3,3,69,94
250,Hugh Smith,South Florida,Ind,11,40,559,12.4,4,5,45
251,Jamie Hickenbotham,Arkansas State,Sun Belt,11,26,456,13.8,1,7,33
253,Brian Robinson,Houston,CUSA,11,23,321,11.1,3,6,29
254,Khary Sharpe,Duke,ACC,10,23,290,11.2,2,3,26
255,Terrell Harris,Tulane,CUSA,11,53,623,11.8,3,,53
256,Jerricho Cotchery,North Carolina State,ACC,11,41,540,11.5,5,6,47
257,Jamie Armstrong,Ole Miss,SEC,11,40,470,11.8,2,,40
258,Jerel Myers,LSU,SEC,12,39,461,11.8,1,,39
259,Tuati Wooden,San Jose State,WAC,12,37,437,11.8,3,,37
260,H.B. Briscoe,New Mexico State,Sun Belt,12,32,377,11.8,2,,32
261,Charlie Landrigan,USC,Pac-10,12,30,365,9.6,2,8,38
262,Ethan Jones,Idaho,Sun Belt,11,28,327,11.7,4,,28
263,Tim Euhus,Oregon State,Pac-10,11,27,316,11.7,1,,27
264,Bobby Graham,Tennessee,SEC,12,27,315,11.7,0,,27
265,Randy McMichael,Georgia,SEC,10,24,281,11.7,1,,24
266,Jason Mathenia,Vanderbilt,SEC,11,22,306,9.3,2,11,33
267,Mewelde Moore,Tulane,CUSA,12,65,2177,6.7,15,262,327
268,Ryan McGuffey,Wyoming,MWC,9,65,751,11.6,1,,65
269,Reggie Newhouse,Baylor,Big 12,11,61,708,11.4,8,1,62
270,Wes Welker,Texas Tech,Big 12,11,50,679,10.4,5,15,65
271,Terrell Grindle,Mississippi State,SEC,11,40,463,11.6,0,,40
272,Josh Jelmberg,Idaho,Sun Belt,11,36,424,11.2,0,2,38
274,Chris Stallworth,Utah State,Ind,11,33,372,10.9,4,1,34
275,Brandon Johnson,Western Michigan,MAC,11,27,321,11.5,4,1,28
276,Kendrick Mosley,Western Michigan,MAC,11,26,301,11.6,2,,26
277,Marcus Fields,California,Pac-10,10,26,339,10.0,1,8,34
278,Dan Bythwood,Nevada,WAC,9,21,244,11.6,0,,21
279,Channon Harris,Hawaii,WAC,12,69,796,11.4,8,1,70
280,Mark Clayton,Oklahoma,Big 12,12,45,519,11.5,3,,45
281,Chris Cunningham,SMU,WAC,11,45,537,9.9,7,9,54
282,Chris Luzar,Virginia,ACC,12,33,380,11.5,0,,33
283,Charon Arnold,California,Pac-10,11,53,606,11.4,3,,53
284,Tavon Mason,Virginia,ACC,12,30,335,9.9,2,4,34
285,John Gilmore,Penn State,Big Ten,10,25,284,11.4,0,,25
286,Chase Harp,Kentucky,SEC,10,22,251,11.4,2,,22
287,Orlando Iglesias,Houston,CUSA,11,63,710,11.3,5,,63
288,Craig Stutzmann,Hawaii,WAC,12,54,637,10.8,5,5,59
289,Bill Flowers,Ole Miss,SEC,11,28,315,11.3,4,,28
290,Alvin Pearman,Virginia,ACC,12,25,654,5.8,4,88,113
291,William Green,Boston College,Big East,10,23,1819,6.3,17,265,288
292,Derek Abney,Kentucky,SEC,11,66,741,11.2,6,,66
293,Mickey Peters,Texas Tech,Big 12,11,51,569,11.2,2,,51
295,Dallas Davis,Colorado State,MWC,10,22,251,10.9,3,1,23
296,Jonathan Smith,Georgia Tech,ACC,12,53,618,11.2,5,2,55
297,Willie Wright,North Carolina State,ACC,11,40,443,11.1,5,,40
298,Levron Williams,Indiana,Big Ten,11,26,1690,7.1,19,212,238
299,Carl Davis,Tulane,CUSA,12,25,277,11.1,1,,25
300,Andre George,Louisiana,Sun Belt,11,24,267,11.1,3,,24
301,Clint Dodson,Army,CUSA,11,42,463,11.0,2,,42
302,Jermaine Brown,Nevada,WAC,6,25,275,11.0,2,,25
303,Darrell Wimberly,Tulsa,WAC,11,23,253,11.0,2,,23
304,Jon Schweighardt,Northwestern,Big Ten,11,43,469,10.9,4,,43
305,Robert Gillespie,Florida,SEC,11,41,840,6.2,3,94,135
306,Jafar Williams,Maryland,ACC,11,39,438,10.7,3,2,41
307,Marcus Wilridge,Louisiana,Sun Belt,11,36,440,10.2,1,7,43
308,Dougie Allen,Kentucky,SEC,11,26,296,10.6,0,2,28
309,Cole Clasen,Oregon State,Pac-10,11,23,258,10.3,1,2,25
310,Glenn Johnson,Indiana,Big Ten,10,21,219,10.0,1,1,22
311,Chris Johnson,Southern Mississippi,CUSA,11,34,367,10.8,2,0,34
312,John Martin,Baylor,Big 12,11,32,345,10.8,1,,32
313,Phil Braxton,West Virginia,Big East,9,26,282,10.8,2,,26
314,Ahmad Harris,Louisiana Tech,WAC,11,24,258,10.8,4,,24
316,Dwayne Blakley,Missouri,Big 12,11,34,362,10.6,4,,34
317,Deandre Green,Auburn,SEC,11,32,339,10.6,2,,32
318,Ken Johnson,Southern Mississippi,CUSA,9,28,298,10.6,0,0,28
319,Kenneth Johnson,Southern Mississippi,CUSA,9,28,298,10.6,0,,28
320,Bill Seymour,Michigan,Big Ten,11,23,244,10.6,0,,23
321,John Simon,Louisiana Tech,WAC,11,71,877,8.8,6,29,100
322,Huey Whittaker,South Florida,Ind,11,52,548,10.5,2,,52
323,Chad Bartoszek,Buffalo,MAC,11,42,441,10.5,4,,42
324,Billy Lynch,Ball State,MAC,11,40,402,9.8,2,1,41
325,Javin Hunter,Notre Dame,Ind,11,37,387,10.5,1,,37
326,Brock Forsey,Boise State,WAC,12,35,1576,5.6,16,246,281
327,Jason Witten,Tennessee,SEC,12,28,293,10.5,2,,28
328,Casey Le Blanc,San Jose State,WAC,11,25,267,10.3,0,1,26
329,Casey Leblanc,San Jose State,WAC,11,25,267,10.3,0,1,26
330,Ryan Hearn,South Florida,Ind,11,25,272,10.5,1,1,26
331,Jason Willis,Oregon,Pac-10,12,43,479,10.0,0,5,48
332,Thad Ward,UCF,Ind,11,43,464,10.3,1,2,45
333,Andra Fuller,Baylor,Big 12,11,36,376,10.4,0,,36
334,Luke Staley,Brigham Young,MWC,11,32,1930,8.5,28,196,228
335,Jamal Stevens,Eastern Michigan,MAC,11,27,280,10.4,2,,27
337,Dwain Goynes,Texas A&M,Big 12,11,24,298,9.9,1,6,30
338,Nick Dugas,Louisiana,Sun Belt,11,60,644,9.5,3,8,68
339,Donta Greene,Toledo,MAC,11,62,652,9.9,0,4,66
340,Mark Anelli,Wisconsin,Big Ten,12,35,357,10.2,3,,35
341,Jarrett Ferguson,Virginia Tech,Big East,11,25,412,6.9,8,35,60
342,Antoine Henderson,Minnesota,Big Ten,11,23,274,8.6,1,9,32
343,Joshua Bostick,Kent State,MAC,11,21,214,10.2,1,,21
344,Richard Smith,Arkansas,SEC,11,38,383,10.1,5,,38
345,Zach Gerstner,Idaho,Sun Belt,11,28,622,5.7,3,82,110
346,Nick Maddox,Florida State,ACC,11,26,700,5.6,4,98,124
347,Robert Quiroga,Baylor,Big 12,11,23,233,10.1,1,,23
348,Shawn Terry,West Virginia,Big East,10,29,291,10.0,0,,29
349,Donovan Morgan,Louisiana,Sun Belt,11,22,228,9.9,1,1,23
350,Cliff Hill,Connecticut,Ind,11,40,397,9.9,1,,40
351,Tory Humphrey,Central Michigan,MAC,9,24,237,9.9,3,,24
352,Omari Thompson,Army,CUSA,11,22,278,10.3,2,5,27
353,Terrance Davis-Bryant,Oklahoma State,Big 12,11,38,377,9.7,0,1,39
354,David Youell,Middle Tennessee State,Sun Belt,11,37,358,9.7,1,,37
355,Ronnie Ghent,Louisville,CUSA,10,34,330,9.7,5,,34
356,Darnell Jennings,Western Michigan,MAC,10,32,311,9.7,2,,32
358,Nehemiah Glover,Texas Tech,Big 12,11,32,325,9.3,1,3,35
359,Michael McGrew,Virginia,ACC,12,31,302,9.7,2,,31
360,David Givens,Notre Dame,Ind,10,33,323,8.1,0,7,40
361,Leonard Jones,Wyoming,MWC,11,23,221,9.6,0,,23
362,Ryan Brewer,South Carolina,SEC,12,37,538,7.4,2,36,73
363,Mobolaji Afariogun,Western Michigan,MAC,10,24,228,9.5,1,,24
364,Joffrey Reynolds,Houston,CUSA,11,37,1167,5.4,8,181,218
365,Antonio Brown,West Virginia,Big East,10,31,350,9.0,1,8,39
366,L.J. Smith,Rutgers,Big East,11,30,356,7.7,3,16,46
367,Jasen Ridley,Connecticut,Ind,9,27,255,9.1,1,1,28
368,Sean Brown,Louisiana-Monroe,Sun Belt,8,27,255,9.4,0,,27
369,Chris Archie,Eastern Michigan,MAC,11,22,207,9.4,2,,22
370,Chester Taylor,Toledo,MAC,11,26,1672,5.7,23,268,294
371,Joel Dreessen,Colorado State,MWC,10,22,205,9.3,2,,22
372,Trent Smith,Oklahoma,Big 12,12,61,564,9.2,6,,61
373,Travis Zachery,Clemson,ACC,11,45,990,5.3,11,142,187
374,Mike Banks,Iowa State,Big 12,10,23,212,9.2,0,,23
375,Josh Norman,Oklahoma,Big 12,12,45,411,8.4,2,4,49
376,Bruce Perry,Maryland,ACC,11,40,1601,6.2,12,219,259
377,Chris Douglas,Duke,ACC,11,26,1074,4.4,8,218,244
379,Curtis Fagan,Oklahoma,Big 12,12,31,303,7.8,1,8,39
380,Joe Burns,Georgia Tech,ACC,12,28,1414,4.6,15,282,310
381,B.J. Askew,Michigan,Big Ten,11,24,1044,4.9,11,190,214
382,Tim Stratton,Purdue,Big Ten,12,59,509,8.6,2,,59
383,Jarrod Roach,Tulsa,WAC,11,31,266,8.6,1,,31
384,Tyree Foreman,Virginia,ACC,10,27,342,7.1,4,21,48
385,Emmett White,Utah State,Ind,11,48,1769,5.9,16,250,298
386,Anton Paige,Texas Tech,Big 12,10,23,196,8.5,4,,23
387,Lamar Slade,Pitt,Big East,11,27,226,8.4,1,,27
388,J.R. Suguturaga,Utah State,Ind,11,24,205,8.2,0,1,25
389,Cole Roberts,Texas Tech,Big 12,11,38,314,8.3,4,,38
390,Charles Stackhouse,Ole Miss,SEC,11,21,502,5.2,7,75,96
391,Derek Watson,South Carolina,SEC,12,27,836,5.0,7,139,166
392,Leonard Henry,East Carolina,CUSA,11,26,1642,7.8,18,184,210
393,Demontray Carter,Troy,Ind,11,24,995,5.4,12,160,184
394,Quentin Griffin,Oklahoma,Big 12,12,55,1244,5.2,11,182,237
395,A.J. Nastasi,West Virginia,Big East,10,42,334,7.6,3,2,44
396,Mike Bass,Hawaii,WAC,12,29,778,5.7,4,108,137
397,Cotra Jackson,North Carolina State,ACC,11,23,277,5.7,2,26,49
398,Ray Robinson,North Carolina State,ACC,11,52,1109,4.6,11,190,242
400,Carey Davis,Illinois,Big Ten,11,37,704,5.0,4,104,141
