,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
112,Keenan Howry,Oregon,Pac-10,12,52,780,15.0,5,,52
113,Jason Branch,Miami (OH),MAC,11,31,465,15.0,4,,31
114,Donald Shoals,Tulsa,WAC,12,80,1193,13.9,5,6,86
115,Grant Heard,Ole Miss,SEC,11,44,655,14.9,9,,44
116,Walter Young,Illinois,Big Ten,11,27,403,14.9,0,,27
117,Curtis Fagan,Oklahoma,Big 12,13,41,664,14.1,8,6,47
118,Donte' Stallworth,Tennessee,SEC,11,35,532,14.4,2,2,37
119,Randy McMichael,Georgia,SEC,11,32,475,14.8,1,,32
120,Jamal Burke,Boston College,Big East,11,26,386,14.8,3,,26
121,Channon Harris,Hawaii,WAC,12,36,519,14.0,3,1,37
122,Dahnel Singfield,Buffalo,MAC,10,33,504,12.9,5,6,39
123,L.J. Taylor,Ole Miss,SEC,11,23,346,14.4,2,1,24
124,Brandon Rampani,Navy,Ind,8,22,324,14.7,1,,22
125,J.J. Moses,Iowa State,Big 12,11,53,928,13.4,6,16,69
127,Javon Green,Colorado,Big 12,11,48,699,14.6,4,,48
128,Andre Woolfolk,Oklahoma,Big 12,13,42,625,14.5,5,1,43
129,Matt Curry,Kent State,MAC,11,35,504,13.6,2,2,37
130,Adrian Burnette,Tulane,CUSA,11,74,1075,14.5,14,,74
131,Kareem Kelly,USC,Pac-10,11,55,804,13.4,4,5,60
132,Todd Elstrom,Washington,Pac-10,11,47,683,14.5,3,,47
133,Keary Colbert,USC,Pac-10,12,33,480,14.5,3,,33
134,Ronnie Ghent,Louisville,CUSA,11,27,392,14.5,3,,27
135,Demetrius Dotson,Virginia,ACC,11,26,378,14.5,1,,26
136,Eric Parker,Tennessee,SEC,11,23,333,14.5,2,,23
137,Deion Branch,Louisville,CUSA,11,71,1028,13.7,9,4,75
138,Nate Turner,UNLV,MWC,12,66,947,14.3,10,,66
139,Derek Smith,Kentucky,SEC,11,50,721,14.4,5,0,50
140,Dicenzo Miller,Mississippi State,SEC,11,24,1340,7.2,12,161,185
141,Dougie Allen,Kentucky,SEC,9,22,315,14.3,2,,22
142,Boo Williams,Arkansas,SEC,11,52,739,14.2,7,,52
143,Guilian Gary,Maryland,ACC,11,40,568,14.2,7,,40
144,Brock Ralph,Wyoming,MWC,10,30,433,13.1,3,3,33
145,Zek Parker,Louisville,CUSA,11,30,457,14.3,5,2,32
146,Vinny Sutherland,Purdue,Big Ten,12,72,1066,13.0,14,10,82
148,Eric Spencer,Missouri,Big 12,11,35,515,12.3,4,7,42
149,Joey Cuppari,Colorado State,MWC,10,31,438,14.1,5,,31
150,Terrell Grindle,Mississippi State,SEC,10,31,429,13.4,2,1,32
151,Bryan Peterson,North Carolina State,ACC,11,28,394,14.1,3,,28
152,Jeremy Shockey,Miami (FL),Big East,10,21,296,14.1,3,,21
153,Jerramy Stevens,Washington,Pac-10,11,43,600,14.0,3,,43
154,Cliff Russell,Utah,MWC,8,37,522,13.7,3,1,38
155,Scott McCready,South Florida,Ind,11,37,517,14.0,6,,37
156,Chris Baker,Michigan State,Big Ten,11,33,470,13.8,2,1,34
157,Robert Kilow,Arkansas State,Big West,10,72,1044,13.6,3,5,77
158,Bobby Wade,Arizona,Pac-10,10,45,653,12.3,3,8,53
159,Marcus Wilridge,Louisiana,Ind,11,38,553,13.8,3,2,40
160,Chris Christensen,Utah,MWC,11,31,428,13.8,1,,31
161,Sam Aiken,North Carolina,ACC,11,29,432,12.7,3,5,34
162,Manwell Talbert,New Mexico State,Big West,11,26,360,13.8,4,,26
163,Lamont Jordan,Maryland,ACC,11,21,1207,5.2,11,213,234
164,Steve O'Connor,Connecticut,Ind,11,50,678,13.6,2,,50
165,Greg Lewis,Illinois,Big Ten,11,40,544,13.6,6,,40
166,Jason Hatala,Maryland,ACC,9,21,361,13.4,3,6,27
167,Frank Rice,Colorado State,MWC,11,40,558,13.3,3,2,42
169,Tye Keith,Cincinnati,CUSA,12,35,472,13.5,2,,35
170,Hugh Smith,South Florida,Ind,10,24,324,11.6,1,4,28
171,Nate Curry,Georgia Tech,ACC,11,22,315,12.6,2,3,25
172,Keykowa Bell,Houston,CUSA,11,54,722,13.4,2,,54
173,Todd Heap,Arizona State,Pac-10,12,48,646,13.2,3,1,49
174,Daniel Graham,Colorado,Big 12,10,33,443,13.4,1,,33
175,Darrell Jones,Texas Tech,Big 12,12,27,361,13.4,1,,27
176,Derek Swafford,California,Pac-10,8,25,328,11.7,3,3,28
177,David Bautista,Bowling Green State,MAC,11,69,936,13.2,3,2,71
178,Terrence Edwards,Georgia,SEC,11,53,725,11.5,4,10,63
179,Antonio Chatman,Cincinnati,CUSA,12,49,651,13.3,2,,49
180,Marquise Walker,Michigan,Big Ten,11,45,598,13.0,4,1,46
181,Andre Davis,Virginia Tech,Big East,9,24,369,13.7,3,3,27
182,Lanny O'Steen,Baylor,Big 12,11,21,283,12.9,1,1,22
183,Keith Perry,Northern Illinois,MAC,11,35,507,12.7,1,5,40
184,Ethan Jones,Idaho,Big West,11,30,396,13.2,5,,30
185,Kevin Walter,Eastern Michigan,MAC,11,55,721,13.1,5,,55
186,Sam Simmons,Northwestern,Big Ten,11,38,559,12.4,5,7,45
187,Tavirus Davis,UCF,Ind,11,34,445,13.1,3,,34
188,Stephen Messam,Central Michigan,MAC,11,22,288,13.1,1,0,22
190,Steve Messam,Central Michigan,MAC,9,22,288,13.1,1,,22
191,J.R. Tolver,San Diego State,MWC,11,62,808,13.0,1,,62
192,Shawn Mills,Southern Mississippi,CUSA,11,55,734,12.9,5,2,57
193,Kerwin Cook,Tulane,CUSA,11,48,623,12.7,6,1,49
194,Antonio Carter,Alabama,SEC,11,45,584,11.9,1,4,49
195,Zeke McKine,Buffalo,MAC,9,32,424,12.8,2,1,33
196,Marcel Willis,Auburn,SEC,12,27,352,13.0,1,,27
197,Roydell Williams,Tulane,CUSA,11,26,338,13.0,2,,26
198,Jack Brewer,Minnesota,Big Ten,10,22,286,13.0,0,,22
199,John Cooper,Marshall,MAC,12,37,489,12.9,5,1,38
200,Martin Maurer,Oregon State,Pac-10,12,36,465,12.9,1,,36
201,Willie Wright,North Carolina State,ACC,9,31,401,12.9,3,,31
202,Kendall Newson,Middle Tennessee State,Ind,11,74,945,12.8,5,,74
203,Lanier Washington,Marshall,MAC,12,40,512,12.8,2,,40
204,Chris Anthony,Iowa State,Big 12,11,35,449,12.8,1,,35
205,Matt Nickels,USC,Pac-10,12,32,426,12.5,3,2,34
206,Elliott Carson,Vanderbilt,SEC,10,29,372,12.8,2,,29
207,Sean Brewer,San Jose State,WAC,12,29,372,12.8,1,,29
208,Gabe Lindsay,Oklahoma State,Big 12,11,28,360,12.0,1,2,30
209,Wes Welker,Texas Tech,Big 12,12,26,406,12.7,1,6,32
211,Ladaris Vann,Cincinnati,CUSA,10,26,345,11.5,2,4,30
212,Jeff Dugan,Maryland,ACC,11,25,319,12.8,1,,25
213,Steve Neal,Western Michigan,MAC,12,67,838,11.8,3,4,71
214,Carlos Francis,Texas Tech,Big 12,12,41,519,12.7,2,,41
215,Justin Colbert,Hawaii,WAC,12,63,795,12.6,3,,63
216,Craig Stutzmann,Hawaii,WAC,11,54,680,12.1,5,2,56
217,Emmett White,Utah State,Big West,11,47,1914,6.6,15,242,289
218,Harrison Hill,Kansas,Big 12,10,47,605,12.6,1,1,48
219,Reggie Robinson,LSU,SEC,11,31,391,12.6,2,,31
220,Eddie Drummond,Penn State,Big Ten,10,29,363,11.7,0,2,31
221,Antoine Harris,USC,Pac-10,11,28,353,12.6,5,,28
222,Johnnie Freeman,SMU,WAC,12,32,596,11.7,7,19,51
223,Alge Crumpler,North Carolina,ACC,9,23,287,12.5,1,,23
224,Antwone Savage,Oklahoma,Big 12,13,50,781,12.6,4,12,62
225,John Hampton,SMU,WAC,12,46,572,12.4,4,,46
226,Eric Leak,North Carolina State,ACC,10,32,438,11.5,2,6,38
227,David Givens,Notre Dame,Ind,11,25,411,8.4,4,24,49
228,Kevin Kasper,Iowa,Big Ten,12,82,999,12.0,7,1,83
229,Brian Natkin,UTEP,WAC,11,63,781,12.2,4,1,64
230,John Minardi,Colorado,Big 12,11,48,592,12.3,2,,48
232,Malik Campbell,Syracuse,Big East,11,26,319,12.3,1,,26
233,Dannye Fowler,Southern Mississippi,CUSA,11,23,282,12.3,1,,23
234,Reggie Worthy,Auburn,SEC,12,23,282,12.3,2,,23
235,Tyson Hinshaw,UCF,Ind,11,89,1095,12.2,13,1,90
236,Ty Buxton,Miami (OH),MAC,9,42,511,12.2,2,,42
237,Chris Taylor,Texas A&M,Big 12,11,32,392,11.9,1,1,33
238,Errol Johnson,Rutgers,Big East,11,46,555,12.1,5,,46
239,Mike Crawford,Nevada,WAC,9,42,517,11.8,0,2,44
240,Sean Schembra,Ball State,MAC,11,40,486,11.9,1,1,41
241,David Hannah,Central Michigan,MAC,10,34,411,12.1,1,,34
242,Ben Horton,Brigham Young,MWC,12,23,278,12.1,0,,23
243,Justin Robbins,Washington,Pac-10,11,22,267,12.1,4,,22
244,Leroy Handy,Southern Mississippi,CUSA,8,40,481,12.0,2,,40
245,Sean Cangelosi,Louisiana Tech,Ind,8,33,397,12.0,5,,33
246,Jerel Myers,LSU,SEC,11,29,347,12.0,3,,29
247,Desmond Williams,Louisiana,Ind,11,24,296,11.8,1,1,25
248,Terrance Davis-Bryant,Oklahoma State,Big 12,11,24,319,11.8,2,3,27
249,Greg Muckerson,Temple,Big East,10,41,493,11.7,2,1,42
250,Tony Stewart,Penn State,Big Ten,12,38,451,11.9,2,,38
251,Margin Hooks,Brigham Young,MWC,12,61,709,11.4,2,1,62
253,Mike Roberg,Idaho,Big West,11,34,400,11.8,4,,34
254,Rodney Wright,Fresno State,WAC,5,33,426,11.2,2,5,38
255,Nate Poole,Marshall,MAC,12,70,814,11.5,4,1,71
256,Mel Long,Toledo,MAC,11,50,587,11.7,6,,50
257,Luke Staley,Brigham Young,MWC,11,28,806,5.1,7,130,158
258,Charles Cobb,Temple,Big East,9,27,325,11.6,2,1,28
259,Darnell Sanders,Ohio State,Big Ten,12,23,270,11.7,5,,23
260,Delwyn Daigre,Louisiana Tech,Ind,12,57,662,11.6,8,,57
261,Corey Brown,Tulsa,WAC,9,45,522,11.6,3,,45
262,Joshua Bush,Western Michigan,MAC,12,40,538,11.0,4,9,49
263,Ryan Brewer,South Carolina,SEC,12,36,593,8.6,4,33,69
264,Deronnie Pitts,Stanford,Pac-10,11,77,888,11.4,8,1,78
265,Lavaile Richardson,Michigan State,Big Ten,11,40,459,11.5,1,,40
266,Chris Johnson,Southern Mississippi,CUSA,11,27,329,11.0,1,3,30
267,Kenneth Johnson,Southern Mississippi,CUSA,11,27,329,11.0,1,3,30
268,Jackie Robinson,Clemson,ACC,10,24,279,11.2,3,1,25
269,Josh Jelmberg,Idaho,Big West,11,44,501,11.1,1,1,45
270,Casey Leblanc,San Jose State,WAC,11,42,534,9.5,0,14,56
271,Mobolaji Afariogun,Western Michigan,MAC,12,32,365,11.4,3,,32
272,Brandon Shaughnessy,Buffalo,MAC,11,21,240,11.4,0,,21
274,Omari Thompson,Army,CUSA,11,40,480,10.4,0,6,46
275,Rashaun Woods,Oklahoma State,Big 12,11,29,329,11.3,0,,29
276,Allan Ray,UTEP,WAC,10,27,306,11.3,1,,27
277,Kurt Gerling,Bowling Green State,MAC,7,29,324,11.2,1,,29
278,Cody Cardwell,SMU,WAC,9,24,268,11.2,0,,24
279,Mo Jones,Nevada,WAC,9,23,257,11.2,2,,23
280,Greg Porter,Texas A&M,Big 12,10,21,236,11.2,0,,21
281,Brian Robinson,Houston,CUSA,11,80,888,11.0,6,1,81
282,Tim Baker,Texas Tech,Big 12,12,69,765,11.1,7,,69
283,John Standeford,Purdue,Big Ten,12,67,750,10.9,6,2,69
284,Ronney Daniels,Auburn,SEC,12,34,436,12.5,3,1,35
285,Sean Dillard,Temple,Big East,8,32,389,10.0,1,7,39
286,David Fiefia,Utah State,Big West,11,31,354,10.4,1,3,34
287,Billy Ford,SMU,WAC,12,28,323,10.8,2,2,30
288,Chris Stallworth,Utah State,Big West,10,26,308,11.4,1,1,27
289,Eric McCoo,Penn State,Big Ten,12,26,980,5.9,9,140,166
290,Ryan McGuffey,Wyoming,MWC,11,63,696,11.0,4,,63
291,Cedrick Wilson,Tennessee,SEC,11,62,681,11.0,12,,62
292,Ira Williams,Wake Forest,ACC,11,45,490,10.7,2,1,46
293,L.J. Smith,Rutgers,Big East,11,34,374,11.0,1,,34
295,Tellis Redmon,Minnesota,Big Ten,11,29,1440,5.1,8,251,280
296,A.T. Simpson,Purdue,Big Ten,12,25,275,11.0,2,,25
297,Sean Brown,Louisiana-Monroe,Ind,10,22,248,10.8,0,1,23
298,Kunle Patrick,Northwestern,Big Ten,12,34,389,9.7,1,6,40
299,Nick Hartofilis,Duke,ACC,10,21,233,10.6,1,1,22
300,Terrell Harris,Tulane,CUSA,11,64,694,10.8,1,,64
301,Kevin Stevenson,Louisiana-Monroe,Ind,9,40,432,10.8,1,,40
302,Jamaal Fobbs,Oklahoma State,Big 12,11,31,382,8.7,1,13,44
303,Kahlil Hill,Iowa,Big Ten,12,58,622,10.5,5,1,59
304,Travis Zachery,Clemson,ACC,11,27,1300,5.7,17,201,228
305,Brett Ralph,Wyoming,MWC,7,22,292,11.2,3,4,26
306,Jurron Kelly,Kent State,MAC,9,37,393,10.6,2,,37
307,Mewelde Moore,Tulane,CUSA,10,33,1240,6.0,3,174,207
308,Ben Erdeljac,Duke,ACC,11,31,334,10.4,2,1,32
309,Jeremy Johnson,Fresno State,WAC,10,27,285,10.6,2,,27
310,Montrell Flowers,Texas,Big 12,11,22,234,10.6,2,,22
311,Dennis Thomas,Rutgers,Big East,11,21,810,5.1,4,137,158
312,Jon Muyres,Georgia Tech,ACC,11,21,222,10.6,1,,21
313,Bethel Johnson,Texas A&M,Big 12,11,42,461,10.5,1,2,44
314,Eric McCready,Colorado,Big 12,10,21,221,10.5,2,,21
316,Kenny Christian,Eastern Michigan,MAC,10,78,804,9.9,3,3,81
317,Tim Stratton,Purdue,Big Ten,12,58,605,10.4,2,,58
318,David Foye,Marshall,MAC,11,53,549,10.4,3,,53
319,Hodges Mitchell,Texas,Big 12,11,37,1504,5.8,11,224,261
320,Clint Dodson,Army,CUSA,11,37,383,10.4,2,,37
321,Trent Smith,Oklahoma,Big 12,13,31,323,10.4,3,,31
322,Billy Kendall,Memphis,CUSA,11,26,271,10.4,3,,26
323,Deandre Green,Auburn,SEC,11,23,238,9.9,2,1,24
324,Derek Dorris,Texas Tech,Big 12,12,56,574,10.3,9,,56
325,Derek Abney,Kentucky,SEC,11,40,420,10.2,3,1,41
326,Mike Banks,Iowa State,Big 12,11,27,273,10.1,0,,27
327,Darryl Carter,Louisiana-Monroe,Ind,11,37,368,9.4,2,2,39
328,Jason Collins-Baker,Cincinnati,CUSA,12,36,361,10.0,2,,36
329,Ryan Johnson,Memphis,CUSA,11,25,251,10.0,2,,25
330,Al Sermon,Memphis,CUSA,9,23,230,10.0,0,,23
331,Joe Igber,California,Pac-10,11,23,1130,5.2,7,195,218
332,John Simon,Louisiana Tech,Ind,12,72,1276,7.0,4,109,181
333,Chris Cunningham,SMU,WAC,12,45,445,9.5,1,2,47
334,Eddie Tillitz,Miami (OH),MAC,11,39,387,9.9,1,,39
335,Jon Schweighardt,Northwestern,Big Ten,12,35,348,9.9,1,,35
337,Damian Mackey,Oklahoma,Big 12,13,30,305,9.0,1,4,34
338,Will Glover,Georgia Tech,ACC,10,29,293,9.8,2,1,30
339,David Martin,Tennessee,SEC,11,29,285,9.8,3,,29
340,Arnold Jackson,Louisville,CUSA,11,63,606,9.3,5,2,65
341,Richard Smith,Arkansas,SEC,11,33,311,9.1,1,1,34
342,Taber Small,Connecticut,Ind,11,23,781,4.2,9,161,184
343,Brandon Payne,Akron,MAC,11,22,1273,5.3,16,220,242
344,Reginald Perkins,Memphis,CUSA,11,33,316,9.0,0,2,35
345,Roman Hollowell,Colorado,Big 12,11,26,289,8.5,1,8,34
346,Willie Alderson,Idaho,Big West,11,45,1615,5.7,15,238,283
347,Donta Greene,Toledo,MAC,10,31,334,9.5,2,4,35
348,Joe Burns,Georgia Tech,ACC,11,26,1150,4.7,13,220,246
349,James Jordan,Louisiana Tech,Ind,12,109,1029,8.9,4,7,116
350,Ted Iacenda,New Mexico,MWC,12,28,458,6.7,4,40,68
351,Malaefou Mackenzie,USC,Pac-10,12,27,533,7.8,0,41,68
352,David Newman,Louisiana Tech,Ind,11,23,212,9.2,2,,23
353,Derek Homer,Kentucky,SEC,11,38,480,6.7,0,34,72
354,Kendall Williams,Houston,CUSA,9,33,298,9.0,1,,33
355,Freddie Milons,Alabama,SEC,10,32,326,7.4,1,12,44
356,Cliff Hill,Connecticut,Ind,11,29,261,9.0,0,,29
358,Maurice Morris,Oregon,Pac-10,12,23,1396,4.5,10,286,309
359,Ray Robinson,North Carolina State,ACC,11,41,1154,4.9,8,193,234
360,Hansford Johnson,Middle Tennessee State,Ind,11,31,519,12.1,3,12,43
361,Jose Ochoa,Colorado State,MWC,8,22,193,8.8,3,,22
362,Rafael Williams,South Florida,Ind,11,31,974,4.9,4,167,198
363,Roger Jordan,Northwestern,Big Ten,12,26,225,8.7,0,,26
364,Bobby Blizzard,Kentucky,SEC,10,23,199,8.7,0,,23
365,Quentin Griffin,Oklahoma,Big 12,13,51,1252,5.0,17,200,251
366,Malcom Floyd,Wyoming,MWC,11,43,360,8.4,1,,43
367,David Youell,Middle Tennessee State,Ind,11,30,252,8.4,0,,30
368,Robert Gillespie,Florida,SEC,11,26,896,5.9,6,125,151
369,Ennis Haywood,Iowa State,Big 12,10,25,1448,5.7,8,229,254
370,Chante Murphy,Kent State,MAC,11,23,993,4.5,3,199,222
371,Kalani Sitake,Brigham Young,MWC,12,23,291,6.1,0,25,48
372,Kris Briggs,SMU,WAC,12,38,1138,4.2,3,231,269
373,Cory Woolstenhulme,Colorado State,MWC,9,23,187,8.1,1,,23
374,Joffrey Reynolds,Houston,CUSA,10,24,727,4.5,5,136,160
375,Derek Roberts,North Carolina State,ACC,9,23,192,7.7,1,2,25
376,Travis Minor,Florida State,ACC,12,42,1256,5.6,5,181,223
377,Jamar Cottee,Ball State,MAC,11,21,164,7.5,0,1,22
379,Michael Wallace,Army,CUSA,10,24,1344,6.2,12,192,216
380,Chad Scott,Kentucky,SEC,10,34,872,5.3,4,130,164
381,Chris Douglas,Duke,ACC,11,22,671,5.1,7,110,132
382,Percy Coleman,UAB,CUSA,11,34,552,6.3,2,54,88
383,Tony Stallings,Louisville,CUSA,11,21,966,4.8,9,181,202
384,James Fenderson,Hawaii,WAC,11,30,867,6.1,8,113,143
385,Frederick Stamps,Louisiana,Ind,9,21,151,7.2,0,,21
386,Lyle Green,Toledo,MAC,11,23,160,7.0,1,,23
387,Jacquis Walker,Arkansas State,Big West,11,25,323,6.1,4,28,53
388,Jameel Cook,Illinois,Big Ten,10,34,433,5.2,1,49,83
389,Duane Epperson,Duke,ACC,11,23,546,4.1,0,111,134
390,Shaud Williams,Texas Tech,Big 12,12,48,522,5.1,2,55,103
391,Ricky Williams,Texas Tech,Big 12,12,52,649,3.6,7,127,179
