,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Derrick Lewis,San Diego State,MWC,11,31,802,23.6,3,3,34
2,Robert Prescott,Oregon State,Pac-10,9,28,668,23.0,4,1,29
3,Chad Johnson,Oregon State,Pac-10,12,37,801,20.5,8,2,39
4,Marcellus Harris,East Carolina,CUSA,10,23,568,19.6,5,6,29
5,Snoop Minnis,Florida State,ACC,12,63,1340,21.3,11,,63
6,Steve Smith,Utah,MWC,10,35,774,19.4,4,5,40
7,Roy Williams,Texas,Big 12,11,40,884,21.0,10,2,42
8,Lavel Bailey,Akron,MAC,11,44,884,19.6,8,1,45
9,Lou Fanucchi,Boise State,Big West,11,40,796,19.4,8,1,41
10,Rashied Davis,San Jose State,WAC,12,40,780,19.0,7,1,41
11,Marcus Williams,Washington State,Pac-10,11,33,643,19.5,4,,33
12,Freddie Mitchell,UCLA,Pac-10,11,68,1314,18.5,8,3,71
13,Lee Evans,Wisconsin,Big Ten,13,33,634,19.2,4,,33
14,Antonio Bryant,Pitt,Big East,10,68,1302,19.1,11,,68
15,Versie Gaddis,Indiana,Big Ten,11,29,555,18.5,3,1,30
16,Jerry Dorsey,Indiana,Big Ten,11,27,514,19.0,3,,27
17,Rod Gardner,Clemson,ACC,11,51,955,17.4,6,4,55
18,Milton Wynn,Washington State,Pac-10,11,52,996,18.4,6,2,54
19,Jake Schifino,Akron,MAC,11,42,810,17.6,4,4,46
20,Kerry Watkins,Georgia Tech,ACC,10,26,497,17.8,6,2,28
22,Matt Davison,Nebraska,Big 12,11,21,389,18.5,3,,21
23,Aaron Jones,Utah State,Big West,11,63,1158,18.1,11,1,64
24,Quincy Morgan,Kansas State,Big 12,13,64,1177,17.6,14,3,67
25,Jonathan Pittman,Brigham Young,MWC,12,38,691,18.2,5,,38
26,Atrews Bell,Florida State,ACC,12,37,677,17.4,11,2,39
27,Troy Mason,UNLV,MWC,12,27,492,18.2,1,,27
28,Ron Johnson,Minnesota,Big Ten,11,59,1067,18.1,11,,59
29,Fabian Davis,Wake Forest,ACC,11,33,658,17.3,3,5,38
30,Teddy Johnson,Northwestern,Big Ten,12,33,600,17.6,7,1,34
31,Billy McMullen,Virginia,ACC,11,30,541,18.0,3,,30
32,Ryan Fleming,Air Force,MWC,11,52,930,17.9,5,,52
33,Quentin McCord,Kentucky,SEC,11,45,813,17.3,6,2,47
34,Dedrick Dewalt,Boston College,Big East,11,38,709,18.2,8,1,39
35,Corey Alston,Western Michigan,MAC,12,29,516,17.8,5,,29
36,Tim Fleming,Nevada,WAC,11,25,446,17.8,2,,25
37,Justin McCareins,Northern Illinois,MAC,11,66,1241,16.8,10,8,74
38,Reggie Wayne,Miami (FL),Big East,11,43,770,17.1,10,2,45
39,Mike Hart,Duke,ACC,11,31,540,17.4,0,,31
40,Josh Reed,LSU,SEC,11,65,1125,17.0,10,1,66
41,Marshaun Tucker,Oregon,Pac-10,12,51,885,16.4,6,3,54
43,Aaron Moorehead,Illinois,Big Ten,11,30,520,17.3,4,,30
44,Brock Forsey,Boise State,Big West,10,23,1313,6.0,16,197,220
45,Chris Lacy,Idaho,Big West,11,45,779,16.2,6,3,48
46,Khori Ivy,West Virginia,Big East,11,41,716,17.0,5,1,42
47,Kory Bailey,North Carolina,ACC,11,32,544,16.5,2,1,33
48,Koren Robinson,North Carolina State,ACC,11,62,1156,15.0,13,15,77
49,Darius Watts,Marshall,MAC,11,36,668,15.5,6,7,43
50,B.J. Johnson,Texas,Big 12,11,41,727,15.5,3,6,47
51,Charlie Jackson,South Florida,Ind,9,24,418,16.7,1,1,25
52,Richard Williams,Arizona State,Pac-10,12,44,749,15.9,7,3,47
53,Donnie O'Neal,Arizona State,Pac-10,12,39,661,16.9,7,,39
54,Jeb Putzier,Boise State,Big West,11,35,592,16.9,3,,35
55,Emmett Johnson,Virginia Tech,Big East,11,34,603,15.9,3,4,38
56,Edell Shepherd,San Jose State,WAC,11,42,707,16.8,4,,42
57,Sly Johnson,Miami (OH),MAC,10,37,622,16.4,5,1,38
58,Jimmy Fryzel,UCF,Ind,11,36,606,16.8,3,,36
59,Andre George,Louisiana,Ind,10,24,412,15.3,2,3,27
60,Jabar Gaffney,Florida,SEC,12,71,1184,16.7,14,,71
61,Pete Rebstock,Colorado State,MWC,10,46,762,15.9,6,2,48
62,Jay Swillie,Boise State,Big West,9,33,559,15.5,4,3,36
64,Santana Moss,Miami (FL),Big East,11,45,949,18.6,7,6,51
65,Roger Ross,Kansas,Big 12,11,29,504,15.3,4,4,33
66,Andre Forde,Buffalo,MAC,11,36,618,15.8,6,3,39
67,Dan Stricker,Vanderbilt,SEC,11,61,1013,16.3,5,1,62
68,Kelly Campbell,Georgia Tech,ACC,11,59,1050,16.7,12,4,63
69,P.J. Winston,New Mexico State,Big West,11,34,593,14.1,7,8,42
70,Ira Gooch,Central Michigan,MAC,9,24,450,12.9,2,11,35
71,Brandon Healy,Texas,Big 12,11,21,343,16.3,2,,21
72,Nate Burleson,Nevada,WAC,12,57,952,16.1,8,2,59
73,Anquan Boldin,Florida State,ACC,12,41,672,16.0,6,1,42
74,Aaron Lockett,Kansas State,Big 12,13,36,646,15.0,2,7,43
75,Justin Peelle,Oregon,Pac-10,12,24,394,16.4,5,0,24
76,Justin Gage,Missouri,Big 12,11,44,695,13.9,4,6,50
77,John Fitzsimmons,Connecticut,Ind,10,42,679,14.8,9,4,46
78,Robby Snelling,Boise State,Big West,11,24,386,16.1,6,0,24
79,Tyrone Calico,Middle Tennessee State,Ind,11,47,752,16.0,3,,47
80,Antonio Brown,West Virginia,Big East,11,45,844,12.6,2,22,67
81,Brian Scott,South Carolina,SEC,12,35,567,15.8,2,1,36
82,Byron Curtis,North Texas,Big West,11,21,347,15.8,1,1,22
83,Bosley Allen,North Carolina,ACC,11,40,627,14.9,4,2,42
85,Seth Morales,Purdue,Big Ten,12,35,564,15.7,2,1,36
86,Charles Smith,Fresno State,WAC,10,33,574,14.7,6,6,39
87,David Terrell,Michigan,Big Ten,11,63,1006,15.5,13,2,65
88,Reggie Newhouse,Baylor,Big 12,11,40,629,15.7,4,,40
89,Lee Mays,UTEP,WAC,11,71,1127,15.0,15,4,75
90,Chris Chambers,Wisconsin,Big Ten,9,52,813,15.6,5,,52
91,Pat Woodcock,Syracuse,Big East,11,29,476,13.6,2,6,35
92,David Westbrook,Ball State,MAC,11,27,422,15.6,6,,27
93,Reche Caldwell,Florida,SEC,12,49,785,14.8,6,4,53
94,Robert Royal,LSU,SEC,11,22,340,15.5,5,,22
95,Herb Haygood,Michigan State,Big Ten,11,35,535,14.1,2,3,38
96,Robert Ferguson,Texas A&M,Big 12,10,58,885,15.3,6,,58
97,Latef Grim,Pitt,Big East,11,39,595,15.3,2,,39
98,Damien Gary,Georgia,SEC,11,36,552,15.3,5,,36
99,Kenny Clark,UCF,Ind,10,31,492,14.9,5,2,33
100,Jason McAddley,Alabama,SEC,11,27,466,15.5,3,3,30
101,Walter King,Rutgers,Big East,7,26,398,15.3,3,,26
102,T.J. Houshmandzadeh,Oregon State,Pac-10,12,48,730,15.2,7,,48
103,Brian Poli-Dixon,UCLA,Pac-10,10,46,700,15.2,5,,46
104,Jermale Kelly,South Carolina,SEC,12,42,640,15.2,4,,42
106,Josh Norman,Oklahoma,Big 12,13,34,548,13.7,2,6,40
107,Keith Stokes,East Carolina,CUSA,10,29,508,12.4,3,12,41
108,Bernard Berrian,Fresno State,WAC,9,36,545,14.7,4,1,37
109,Will Layne,Colorado State,MWC,9,22,332,15.1,1,,22
110,Ashley Lelie,Hawaii,WAC,12,74,1110,15.0,11,,74
111,Ken-Yon Rambo,Ohio State,Big Ten,12,53,813,13.8,2,6,59
