,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Matt Miller,Arizona State,Pac-10,11,24,563,23.5,7,,24
2,Billy Pittman,Texas,Big 12,13,34,778,21.6,5,2,36
3,Mario Urrutia,Louisville,Big East,11,37,797,21.5,7,,37
4,Brian Clark,North Carolina State,ACC,10,25,537,21.5,6,,25
5,Najah Pruden,Kent State,MAC,10,33,688,20.8,5,,33
6,Greg Carr,Florida State,ACC,12,30,611,19.7,9,1,31
7,Thomas Parker,Florida Atlantic,Sun Belt,11,29,582,19.4,3,1,30
8,Todd Blythe,Iowa State,Big 12,12,51,1000,19.6,9,,51
9,Greg Lee,Pitt,Big East,11,49,962,19.6,7,,49
10,Jamaal Lewis,Arizona State,Pac-10,9,23,446,19.4,5,,23
11,Devin Aromashodu,Auburn,SEC,12,26,494,19.0,4,,26
12,Keith Brown,Alabama,SEC,11,34,654,18.2,4,2,36
13,Eric Newman,Louisiana Tech,WAC,11,30,582,18.2,8,2,32
14,Deon Butler,Penn State,Big Ten,11,37,697,18.3,9,1,38
15,Brandon Williams,Wisconsin,Big Ten,13,59,1142,17.3,6,7,66
16,Reggie Lindsey,UAB,CUSA,11,53,978,17.8,11,2,55
17,Craig Chambers,Washington,Pac-10,11,31,573,18.5,6,,31
18,Greg Kirkwood,Air Force,MWC,11,30,646,17.0,5,8,38
19,Santonio Holmes,Ohio State,Big Ten,12,53,977,18.4,11,,53
20,Brian Hernandez,Utah,MWC,11,39,709,18.2,3,,39
22,David Clowney,Virginia Tech,ACC,13,34,619,18.2,3,,34
23,Demetrius Williams,Oregon,Pac-10,12,59,1117,16.4,11,9,68
24,Jason Brown,Air Force,MWC,11,49,875,17.5,5,1,50
25,Jason Tomlinson,Navy,Ind,12,25,518,17.3,1,5,30
26,Jason Hill,Washington State,Pac-10,10,62,1093,17.3,13,1,63
27,Chris Francies,UTEP,CUSA,10,44,775,16.8,5,2,46
28,Clinton Solomon,Iowa,Big Ten,12,46,808,17.2,7,1,47
29,Dwayne Bowe,LSU,SEC,12,41,710,17.3,9,,41
30,Jonathan Orr,Wisconsin,Big Ten,13,40,688,17.2,8,,40
31,Trandon Harvey,Washington State,Pac-10,11,25,431,17.2,1,,25
32,Vernon Davis,Maryland,ACC,11,51,878,16.9,6,1,52
33,Johnnie Lee Higgins Jr.,UTEP,CUSA,12,49,850,14.9,9,8,57
34,Mike Hass,Oregon State,Pac-10,11,90,1550,16.8,6,2,92
35,Paul Williams,Fresno State,WAC,13,43,812,15.6,7,9,52
36,Harry Douglas,Louisville,Big East,12,27,494,15.0,2,6,33
37,Mike Mason,North Carolina,ACC,11,22,365,15.9,1,1,23
38,Tres Moses,Rutgers,Big East,12,45,749,15.9,5,2,47
39,Josh Morgan,Virginia Tech,ACC,13,28,474,16.3,4,1,29
40,Maurice Stovall,Notre Dame,Ind,12,69,1150,16.2,11,2,71
41,Sinorice Moss,Miami (FL),ACC,12,37,669,15.2,6,7,44
43,Ryan Moore,Miami (FL),ACC,11,28,464,16.6,4,,28
44,Sam Hurd,Northern Illinois,MAC,12,65,1074,16.5,13,,65
45,Mark Bradford,Stanford,Pac-10,10,37,613,15.7,6,2,39
46,Calvin Johnson,Georgia Tech,ACC,12,54,888,16.4,6,,54
47,Sidney Rice,South Carolina,SEC,11,70,1143,16.3,13,,70
48,Wendell Octave,Idaho,WAC,11,33,537,16.3,3,,33
49,Jeff Samardzija,Notre Dame,Ind,12,77,1262,14.7,15,9,86
50,Anthony Russo,Washington,Pac-10,11,30,503,14.8,1,4,34
51,Domenik Hixon,Akron,MAC,13,75,1234,16.2,8,1,76
52,Brandon Marshall,UCF,CUSA,13,74,1198,16.0,11,1,75
53,Jabari Arthur,Akron,MAC,12,30,467,15.1,3,1,31
54,Scott Mayle,Ohio,MAC,11,21,479,11.4,3,21,42
55,Hank Baskett,New Mexico,MWC,11,67,1071,16.0,9,,67
56,Steve Smith,USC,Pac-10,13,60,968,15.6,5,2,62
57,Bobby Chase,SMU,CUSA,11,39,625,16.0,4,,39
58,Craig Davis,LSU,SEC,11,35,559,16.0,2,,35
59,Mario Manningham,Michigan,Big Ten,12,27,471,14.3,6,6,33
60,Bryan Watje,San Jose State,WAC,11,27,431,16.0,0,,27
61,Desean Jackson,California,Pac-10,11,38,649,14.1,7,8,46
62,Brandon Myles,West Virginia,Big East,12,34,536,15.8,3,,34
64,Ross Lane,Northwestern,Big Ten,12,24,378,15.8,1,,24
65,Derek Hagan,Arizona State,Pac-10,12,77,1210,15.7,8,,77
66,D'Juan Woods,Oklahoma State,Big 12,11,56,879,15.7,8,,56
67,Ted Ginn Jr.,Ohio State,Big Ten,12,51,886,14.1,5,12,63
68,Drouzon Quillen,Louisiana-Monroe,Sun Belt,11,45,707,15.7,9,,45
69,Donnie Avery,Houston,CUSA,12,44,688,15.6,5,,44
70,Ryan Scott,Memphis,CUSA,12,37,577,15.6,3,,37
71,Rufus Skillern,San Jose State,WAC,11,36,561,15.6,6,,36
72,Curtis Baham,Clemson,ACC,12,32,500,15.6,4,,32
73,Lance Rhodes,UAB,CUSA,11,24,374,15.6,3,,24
74,Joel Filani,Texas Tech,Big 12,12,65,1061,14.9,8,6,71
75,Jhun Cook,UAB,CUSA,11,42,653,15.5,2,,42
76,Johnny Walker,Colorado State,MWC,12,43,663,15.4,2,,43
77,Kevin Robinson,Utah State,WAC,11,43,752,13.4,9,13,56
78,Clark Harris,Rutgers,Big East,12,38,584,15.4,4,,38
79,Ernie Wheelwright,Minnesota,Big Ten,12,37,571,15.0,5,1,38
80,Shawn Nelson,Southern Mississippi,CUSA,11,35,540,15.4,5,,35
81,Mario Hill,Ole Miss,SEC,8,34,535,14.9,2,2,36
82,Quinn Sypniewski,Colorado,Big 12,13,29,447,15.4,5,,29
83,Terry Love,Michigan State,Big Ten,11,28,455,15.2,3,2,30
85,Steve Sanders,Bowling Green State,MAC,11,56,902,14.5,15,6,62
86,Jason Carter,Texas A&M,Big 12,11,54,926,13.0,6,17,71
87,Preston Brown,Tulane,CUSA,11,47,725,15.1,6,1,48
88,Phillip Henry,East Carolina,CUSA,11,28,450,15.0,1,2,30
89,Kyle Brown,Michigan State,Big Ten,9,36,555,14.6,2,2,38
90,Drisan James,Boise State,WAC,12,34,588,14.3,2,7,41
91,Keenan Burton,Kentucky,SEC,7,24,366,14.6,2,1,25
92,Jerard Rabb,Boise State,WAC,13,38,572,15.1,5,,38
93,Limas Sweed,Texas,Big 12,13,36,545,15.1,5,,36
94,Bryan McClendon,Georgia,SEC,13,35,529,15.1,6,,35
95,Shawn Tucker,Rutgers,Big East,12,32,484,15.1,1,,32
96,Kyle Hudson,Illinois,Big Ten,11,31,496,15.0,1,2,33
97,Will Blackmon,Boston College,ACC,12,51,784,14.5,4,3,54
98,Justin McCullum,Stanford,Pac-10,9,36,539,15.0,5,,36
99,Jarett Dillard,Rice,CUSA,11,35,517,14.4,5,1,36
100,Early Doucet,LSU,SEC,12,26,394,14.6,5,1,27
101,Ryne Robinson,Miami (OH),MAC,11,75,1227,13.9,8,13,88
102,Daniel Smith,Idaho,WAC,10,67,998,14.7,7,1,68
103,Damien Linson,Central Michigan,MAC,11,56,838,14.0,4,4,60
104,Jordy Nelson,Kansas State,Big 12,11,45,667,14.5,8,1,46
106,Eugene Hampton,Troy,Sun Belt,11,39,586,14.7,2,1,40
107,Mike Thomas,Arizona,Pac-10,11,52,811,14.2,6,5,57
108,Damarius Bilbo,Georgia Tech,ACC,12,40,591,14.8,2,,40
109,Tony Gonzalez,Boston College,ACC,11,28,414,14.8,5,,28
110,Louis Johnson,Ball State,MAC,9,28,413,14.8,1,,28
111,Travis Latendresse,Utah,MWC,9,55,810,14.7,8,,55
112,Jerramy Scott,Michigan State,Big Ten,11,49,789,12.9,6,12,61
113,James Hardy,Indiana,Big Ten,10,61,893,14.6,10,,61
114,Jason Montgomery,Akron,MAC,13,48,713,14.3,7,2,50
115,Dan Melendez,Maryland,ACC,11,40,584,14.6,2,,40
116,Maurice Drew,UCLA,Pac-10,12,31,1367,6.3,17,186,217
117,Jovon Bouknight,Wyoming,MWC,11,77,1210,14.4,12,7,84
118,Greg Olsen,Miami (FL),ACC,12,31,451,14.5,4,,31
119,Johnathan Holland,Louisiana Tech,WAC,10,29,455,14.2,2,3,32
120,Michael Ford,Wyoming,MWC,11,29,426,14.2,0,1,30
121,Ryan Grice-Mullen,Hawaii,WAC,12,85,1246,14.3,13,2,87
122,Sonny Shackelford,Washington,Pac-10,11,41,598,14.2,2,1,42
123,Chandler Williams,Florida International,Sun Belt,11,61,895,14.2,2,2,63
124,Jesse Holley,North Carolina,ACC,11,47,670,14.3,1,,47
125,Mark Simmons,Kansas,Big 12,12,44,617,13.7,4,1,45
127,Bruce Gordon,Temple,Ind,10,42,601,14.3,1,,42
128,Matt Trannon,Michigan State,Big Ten,11,40,573,14.3,4,,40
129,Logan Payne,Minnesota,Big Ten,12,37,540,14.2,2,1,38
130,Malcolm Kelly,Oklahoma,Big 12,11,33,471,14.3,2,,33
131,Evan Wallace,Buffalo,MAC,11,25,373,13.3,2,3,28
132,Garrett Mills,Tulsa,CUSA,13,87,1235,14.2,9,,87
133,David Anderson,Colorado State,MWC,12,86,1244,14.0,8,3,89
134,Robert Johnson,Texas Tech,Big 12,12,67,951,14.2,4,,67
135,Ross Dickerson,Hawaii,WAC,12,51,725,14.2,4,,51
136,Nate Swift,Nebraska,Big 12,12,45,641,14.2,7,,45
137,Evan Judge,Colorado,Big 12,13,41,583,14.2,2,,41
138,Legedu Naanee,Boise State,WAC,13,34,508,13.4,6,4,38
139,Joe Klopfenstein,Colorado,Big 12,13,33,468,14.2,4,,33
140,Anthony Perine,Southern Mississippi,CUSA,11,31,441,14.2,2,,31
141,D.J. Hall,Alabama,SEC,12,48,676,14.1,5,,48
142,Kerry Reed,Michigan State,Big Ten,11,31,438,14.1,5,,31
143,Jayson Swain,Tennessee,SEC,11,27,380,14.1,0,,27
144,Dwayne Jarrett,USC,Pac-10,13,91,1278,13.7,16,2,93
145,Frantz Hardy,Nebraska,Big 12,11,25,349,14.0,1,,25
146,Nick Moore,Toledo,MAC,11,24,335,14.0,4,,24
148,Corey Fredrick,Louisiana,Sun Belt,11,21,310,14.1,1,1,22
149,Charles Sharon,Bowling Green State,MAC,11,74,1054,13.7,6,3,77
150,Leonard Pope,Georgia,SEC,12,39,541,13.9,4,,39
151,Bubba Terranova,Tulane,CUSA,11,36,499,13.5,4,1,37
152,Taye Biddle,Ole Miss,SEC,11,35,538,12.5,2,8,43
153,Jermaine Moreira,Kansas State,Big 12,10,35,483,13.4,1,1,36
154,Kyle Sammons,Nevada,WAC,11,27,375,13.9,2,,27
155,John Broussard,San Jose State,WAC,11,26,371,13.3,5,2,28
156,Todd Watkins,Brigham Young,MWC,12,49,678,13.8,9,,49
157,Marcus Thomas,UTEP,CUSA,11,32,1231,6.8,8,149,181
158,Bill Sampy,Louisiana,Sun Belt,10,29,399,13.8,0,,29
159,Rice Moss,Syracuse,Big East,11,26,359,13.8,0,,26
160,Corey Partridge,Bowling Green State,MAC,10,23,317,13.8,1,,23
161,Bobby Williams,Middle Tennessee State,Sun Belt,11,22,327,12.6,1,4,26
162,Martin Nance,Miami (OH),MAC,11,81,1113,13.6,14,1,82
163,Jo Jo Walker,Maryland,ACC,11,35,535,10.9,3,14,49
164,Antwon Courington,Southern Mississippi,CUSA,5,24,329,13.7,5,,24
165,Marcus Monk,Arkansas,SEC,11,35,476,13.6,7,,35
166,Jonny Harline,Brigham Young,MWC,12,63,853,13.5,5,,63
167,Erik Davis,Vanderbilt,SEC,9,46,619,13.5,3,,46
169,Marcus Thigpen,Indiana,Big Ten,11,32,467,12.0,2,7,39
170,Cedric Washington,Arkansas,SEC,10,27,365,13.5,1,,27
171,Earnest Jackson,Cincinnati,Big East,10,27,362,12.5,3,2,29
172,Obed Cetoute,Central Michigan,MAC,11,27,364,13.5,2,,27
173,Cleannord Saintil,Middle Tennessee State,Sun Belt,11,66,884,13.4,3,,66
174,Mike Walker,UCF,CUSA,11,64,862,13.3,9,1,65
175,Dallas Baker,Florida,SEC,12,52,697,13.4,5,,52
176,Terry Richardson,Arizona State,Pac-10,11,37,551,12.5,5,7,44
177,Joe Cowan,UCLA,Pac-10,12,35,475,13.2,3,1,36
178,Robert Jordan,California,Pac-10,10,34,465,12.9,4,2,36
179,Jaron Fairman,Fresno State,WAC,12,26,348,13.4,2,,26
180,Herb Grigsby,Iowa,Big Ten,12,25,335,13.4,3,,25
181,Cary Koch,Tulane,CUSA,11,23,308,12.3,2,2,25
182,Caleb Spencer,Nevada,WAC,11,67,898,13.0,7,2,69
183,Montrell Jones,Louisville,Big East,12,43,574,13.3,5,0,43
184,Mohamed Massaquoi,Georgia,SEC,13,38,528,13.5,2,1,39
185,Syndric Steptoe,Arizona,Pac-10,10,37,566,12.6,1,8,45
186,Gerren Crochet,Stanford,Pac-10,11,29,462,14.4,1,3,32
187,Anthony Gonzalez,Ohio State,Big Ten,12,28,381,13.1,3,1,29
188,Derek Dubois,New Mexico State,WAC,12,28,406,11.6,5,7,35
190,Brandon Young,Connecticut,Big East,10,28,371,13.3,2,,28
191,Jonathan Stupar,Virginia,ACC,11,24,319,13.3,1,,24
192,Vincent Marshall,Houston,CUSA,12,71,1024,13.1,6,7,78
193,Deyon Williams,Virginia,ACC,12,58,767,13.2,7,,58
194,Cory Rodgers,Texas Christian,MWC,12,52,726,10.5,10,17,69
195,Jordan Norwood,Penn State,Big Ten,10,32,446,13.1,0,2,34
196,Josh Barnes,Southern Mississippi,CUSA,10,32,464,13.6,6,2,34
197,Jemalle Cornelius,Florida,SEC,11,29,375,12.1,1,2,31
198,Robert Meachem,Tennessee,SEC,11,29,383,13.2,2,,29
199,Jarrett Hicks,Texas Tech,Big 12,11,65,850,13.1,10,,65
200,Chris Davis,Florida State,ACC,13,51,687,12.3,5,5,56
201,Anthony Johnson,Arizona,Pac-10,11,32,416,12.6,3,1,33
202,Kory Sperry,Colorado State,MWC,12,42,547,13.0,4,,42
203,Ed Hinkel,Iowa,Big Ten,9,40,538,13.1,8,1,41
204,Chaz Schilens,San Diego State,MWC,12,34,441,13.0,2,,34
205,Jacob Brown,Central Michigan,MAC,11,33,429,13.0,3,,33
206,Levi Dejohnette,Arkansas State,Sun Belt,12,43,565,12.6,1,2,45
207,Reggie Bush,USC,Pac-10,13,37,2218,9.4,18,200,237
208,Ashlan Davis,Tulsa,CUSA,11,35,471,11.2,5,7,42
209,Dan Murray,Connecticut,Big East,11,23,296,12.9,3,,23
211,Greg Jennings,Western Michigan,MAC,11,98,1309,12.1,14,10,108
212,Joshua Tinch,Louisville,Big East,12,67,855,12.8,4,,67
