,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
130,Shawn Nelson,Southern Mississippi,CUSA,14,36,506,14.1,3,,36
131,Luke Smith-Anderson,Idaho,WAC,10,26,366,14.1,1,,26
132,Earl Bennett,Vanderbilt,SEC,12,82,1157,13.3,6,5,87
133,Chansi Stuckey,Clemson,ACC,10,50,734,12.7,3,8,58
134,Jayson Swain,Tennessee,SEC,13,49,687,13.5,6,2,51
135,Chris Davis,Florida State,ACC,13,49,712,13.2,5,5,54
136,Jomar Wright,Duke,ACC,12,40,557,13.6,2,1,41
137,Jordy Nelson,Kansas State,Big 12,13,39,547,14.0,1,,39
138,Jermaine Lindsay,Akron,MAC,12,34,480,13.7,2,1,35
139,Terrance Breaux,Buffalo,MAC,12,32,444,13.9,3,,32
140,Toris Rutledge,Troy,Sun Belt,13,30,418,13.9,4,,30
141,Eric Morris,Texas Tech,Big 12,13,25,361,13.4,1,2,27
142,Idris Moss,Tulsa,CUSA,13,58,866,12.0,1,14,72
143,Dustin Keller,Purdue,Big Ten,14,56,771,13.8,4,,56
144,Willie Idlette,Wake Forest,ACC,14,37,636,10.3,4,25,62
145,Naaman Roosevelt,Buffalo,MAC,12,31,438,12.2,2,5,36
146,Jarett Dillard,Rice,CUSA,13,91,1252,13.5,21,2,93
148,Dominique Zeigler,Baylor,Big 12,11,54,725,12.7,3,3,57
149,Nick Cleaver,New Mexico State,WAC,12,50,684,13.7,4,,50
150,Ryan Bugg,Tulsa,CUSA,13,45,617,13.7,4,,45
151,Bobby Chase,SMU,CUSA,12,37,507,13.7,3,,37
152,Brent Celek,Cincinnati,Big East,13,35,481,13.7,3,,35
153,Logan Payne,Minnesota,Big Ten,13,59,874,12.5,9,11,70
154,Greg Orton,Purdue,Big Ten,14,58,790,13.6,5,,58
155,Adrian Arrington,Michigan,Big Ten,13,40,544,13.6,8,,40
156,Brandon Robinson,Boston College,ACC,12,36,496,13.4,1,1,37
157,Josh Morgan,Virginia Tech,ACC,12,33,454,13.4,4,1,34
158,Michael Reed,Brigham Young,MWC,12,25,339,13.6,3,,25
159,Keenan Burton,Kentucky,SEC,13,77,1029,13.2,12,1,78
160,Rhema McKnight,Notre Dame,Ind,13,67,912,13.4,15,1,68
161,Travis Brown,New Mexico,MWC,13,64,896,12.6,4,7,71
162,John Carlson,Notre Dame,Ind,11,47,634,13.5,4,,47
163,Sam Shields,Miami (FL),ACC,13,37,490,12.3,4,3,40
164,Marcus Perez,Northern Illinois,MAC,12,30,409,13.2,5,1,31
165,Kenneth Zacharie,Louisiana-Monroe,Sun Belt,12,30,401,12.9,2,1,31
166,Isaiah Williams,Maryland,ACC,13,28,379,13.5,3,,28
167,Ross Dickerson,Hawaii,WAC,14,54,739,12.7,7,4,58
169,Keith Brown,Alabama,SEC,11,44,635,12.7,3,6,50
170,Derrick Smith,Louisiana,Sun Belt,12,41,557,13.0,1,2,43
171,Taurus Johnson,South Florida,Big East,13,37,545,13.0,5,5,42
172,Aaron Brown,Texas Christian,MWC,12,34,1256,6.7,10,154,188
173,Brad Ekwerekwu,Missouri,Big 12,13,32,447,11.2,2,8,40
174,Kyle Hudson,Illinois,Big Ten,12,30,403,13.4,3,,30
175,Ross Lane,Northwestern,Big Ten,12,30,401,13.4,2,,30
176,Jarrett Hicks,Texas Tech,Big 12,6,25,334,13.4,2,,25
177,Luke Roberts,Colorado State,MWC,12,23,309,13.4,2,,23
178,Sonny Shackelford,Washington,Pac-10,12,50,669,13.1,7,1,51
179,Dominique Douglas,Iowa,Big Ten,13,49,647,12.7,2,2,51
180,Deon Butler,Penn State,Big Ten,13,48,634,12.9,2,1,49
181,Darius Reynaud,West Virginia,Big East,13,39,741,14.0,2,14,53
182,Brian Paysinger,Oregon,Pac-10,13,34,528,12.9,3,7,41
183,Steve Slaton,West Virginia,Big East,13,27,2104,7.7,18,248,275
184,Darrell Blackman,North Carolina State,ACC,11,27,405,10.4,2,12,39
185,Ted Ginn Jr.,Ohio State,Big Ten,13,59,798,12.9,9,3,62
186,Emmanuel Sanders,SMU,CUSA,12,46,611,12.7,9,2,48
187,Brian Robiskie,Ohio State,Big Ten,13,29,383,13.2,5,,29
188,Smokey Hampton,Troy,Sun Belt,13,25,331,13.2,2,,25
190,Mike Walker,UCF,CUSA,12,90,1178,13.1,7,,90
191,Early Doucet,LSU,SEC,13,59,831,12.4,10,8,67
192,Martellus Bennett,Texas A&M,Big 12,13,38,497,13.1,3,,38
193,Justin Gardner,Central Michigan,MAC,14,36,471,13.1,5,,36
194,John Dunlap,North Carolina State,ACC,12,30,421,12.8,4,3,33
195,Ryan Purvis,Boston College,ACC,13,29,381,13.1,2,,29
196,Victor Thompson,Air Force,MWC,12,23,319,11.0,4,6,29
197,Jeff Samardzija,Notre Dame,Ind,13,78,1023,12.5,13,4,82
198,Courtney Taylor,Auburn,SEC,13,54,774,12.5,2,8,62
199,Billy Pittman,Texas,Big 12,13,35,459,12.4,4,2,37
200,Desmond Gee,Middle Tennessee State,Sun Belt,13,27,628,7.1,8,62,89
201,Jerramy Scott,Michigan State,Big Ten,12,26,365,9.1,0,14,40
202,Ryne Robinson,Miami (OH),MAC,12,91,1189,12.6,8,3,94
203,Joe Newton,Oregon State,Pac-10,14,36,466,12.9,7,,36
204,Sylvester Mencer,UAB,CUSA,12,31,420,12.7,3,2,33
205,Matt Forte,Tulane,CUSA,9,28,1219,6.4,10,163,191
206,David Grimes,Notre Dame,Ind,12,26,338,12.5,3,1,27
207,James Jones,San Jose State,WAC,13,70,969,12.0,11,11,81
208,Britt Davis,Northern Illinois,MAC,13,57,748,11.7,3,7,64
209,Ian Sample,Hawaii,WAC,14,54,690,12.8,10,,54
211,Scott Chandler,Iowa,Big Ten,13,46,591,12.8,6,,46
212,Brooks Foster,North Carolina,ACC,12,38,501,12.5,2,2,40
213,Donald Massey,Texas Christian,MWC,13,26,384,10.7,3,10,36
214,Davone Bess,Hawaii,WAC,14,96,1220,12.7,15,,96
215,Lorenzo Booker,Florida State,ACC,13,33,1036,5.9,4,143,176
216,Cornelius Ingram,Florida,SEC,14,30,380,12.7,1,,30
217,Derek Fine,Kansas,Big 12,12,28,355,12.7,5,,28
218,Eric Newman,Louisiana Tech,WAC,13,45,554,12.0,2,1,46
219,Marko Mitchell,Nevada,WAC,13,39,493,12.6,4,,39
220,Jesse Holley,North Carolina,ACC,12,37,466,12.6,2,,37
221,Percy Harvin,Florida,SEC,13,34,855,11.4,5,41,75
222,Rafael Little,Kentucky,SEC,9,31,1065,6.2,5,140,171
223,Louis Johnson,Ball State,MAC,12,26,327,12.6,2,,26
224,Marcus Henry,Kansas,Big 12,11,25,316,12.6,3,,25
225,Nate Ilaoa,Hawaii,WAC,13,67,1827,9.2,18,131,198
226,Juaquin Iglesias,Oklahoma,Big 12,14,41,520,12.1,2,2,43
227,David Clowney,Virginia Tech,ACC,12,34,419,12.0,0,1,35
228,Marlon White,Vanderbilt,SEC,12,25,313,12.5,2,,25
229,Robert Jordan,California,Pac-10,13,46,565,11.5,4,3,49
230,Wendell Octave,Idaho,WAC,11,34,422,12.4,4,,34
232,Biren Ealy,Houston,CUSA,14,34,420,12.4,6,,34
233,R.J. Sumrall,Iowa State,Big 12,12,25,303,11.7,0,1,26
234,Dorien Bryant,Purdue,Big Ten,14,87,1218,11.5,8,19,106
235,Logan Paulsen,UCLA,Pac-10,13,27,331,12.3,0,,27
236,Vincent Marshall,Houston,CUSA,14,80,1038,11.8,9,8,88
237,Casey Flair,UNLV,MWC,12,67,816,12.2,4,,67
238,Greg Olsen,Miami (FL),ACC,12,40,489,12.2,1,,40
239,Mohamed Massaquoi,Georgia,SEC,12,30,366,12.2,2,,30
240,Herb Martin,Western Michigan,MAC,13,30,361,10.9,4,3,33
241,Levi Dejohnette,Arkansas State,Sun Belt,10,23,287,12.0,2,1,24
242,Hoost Marsh,Wyoming,MWC,12,23,320,10.3,4,8,31
243,Eric Deslauriers,Eastern Michigan,MAC,12,74,898,12.1,5,,74
244,Kerry Reed,Michigan State,Big Ten,12,64,786,11.9,5,2,66
245,Jeremy Williams,Tulane,CUSA,11,40,500,11.9,2,2,42
246,Jacob Tamme,Kentucky,SEC,13,32,386,12.1,2,,32
247,Marcus Edwards,South Florida,Big East,13,27,328,12.1,2,,27
248,Derrek Richards,Utah,MWC,13,60,721,11.8,6,1,61
249,Corey Partridge,Bowling Green State,MAC,10,55,676,11.7,3,3,58
250,Matt Spaeth,Minnesota,Big Ten,11,47,564,12.0,4,,47
251,Chad Upshaw,Buffalo,MAC,12,35,419,12.0,1,,35
253,Marlon Lucky,Nebraska,Big 12,14,32,1111,6.4,6,141,173
254,Jermichael Finley,Texas,Big 12,13,31,372,12.0,3,,31
255,Earnest Williams,Memphis,CUSA,12,26,443,8.2,4,28,54
256,Anthony Johnson,Arizona,Pac-10,12,26,320,11.4,3,2,28
257,Bryan Anderson,Central Michigan,MAC,14,73,881,10.7,5,9,82
258,Damarcus Davis,Tulane,CUSA,12,51,606,11.7,4,1,52
259,Mike Thomas,Arizona,Pac-10,12,50,665,11.9,2,6,56
260,De'Cody Fagg,Florida State,ACC,11,37,449,12.1,1,0,37
261,Matt Trannon,Michigan State,Big Ten,10,44,518,11.8,3,,44
262,Tyler Holden,Wyoming,MWC,12,39,461,11.8,4,,39
263,Aaron Kelly,Clemson,ACC,13,30,355,11.8,3,,30
264,Junior Taylor,UCLA,Pac-10,13,28,331,11.8,3,,28
265,Milan Moses,Iowa State,Big 12,9,24,282,11.8,0,,24
266,Rice Moss,Syracuse,Big East,12,23,278,11.6,1,1,24
267,Quan Cosby,Texas,Big 12,13,45,525,11.7,2,,45
268,Ken Brantley,Bowling Green State,MAC,12,32,374,11.7,2,,32
269,Kenneth Brantley II,Bowling Green State,MAC,12,32,374,11.7,2,0,32
270,Tarrion Adams,Tulsa,CUSA,9,31,691,7.0,3,68,99
271,Tom Ferron,Syracuse,Big East,12,30,351,11.7,2,,30
272,Joe Fernandez,Fresno State,WAC,12,24,281,11.7,4,,24
274,Steve Breaston,Michigan,Big Ten,13,58,749,11.0,2,10,68
275,Kevin Challenger,Boston College,ACC,13,47,543,11.6,5,,47
276,Bret Smith,Tennessee,SEC,11,39,497,11.6,5,4,43
277,Jared Perry,Missouri,Big 12,13,37,484,11.0,3,7,44
278,Cory Boyd,South Carolina,SEC,12,35,1229,6.2,10,164,199
279,Danny Oquendo,Maryland,ACC,13,34,419,11.3,2,3,37
280,Steve Buches,Pitt,Big East,12,26,302,11.6,4,,26
281,Javid James,UCF,CUSA,12,24,278,11.6,1,,24
282,Austin Flynn,Iowa State,Big 12,11,41,474,11.3,0,1,42
283,Aundrae Allison,East Carolina,CUSA,11,62,698,10.4,4,5,67
284,Tony Gonzalez,Boston College,ACC,12,43,491,11.4,5,,43
285,Branden Ledbetter,Western Michigan,MAC,12,37,423,11.4,6,,37
286,A.J. Harris,New Mexico State,WAC,12,70,812,11.1,7,3,73
287,Dominick Goodman,Cincinnati,Big East,13,40,444,10.8,5,1,41
288,Ramal Porter,San Diego State,MWC,12,24,279,11.2,2,1,25
289,Michael Ford,Wyoming,MWC,12,60,675,11.1,4,1,61
290,Kevin Ogletree,Virginia,ACC,12,52,645,10.9,4,7,59
291,Brett Swain,San Diego State,MWC,12,47,530,10.4,2,4,51
292,Jordan Kent,Oregon,Pac-10,13,44,513,11.4,4,1,45
293,T.J. Williams,Michigan State,Big Ten,12,25,288,11.1,3,1,26
295,Johnny Quinn,North Texas,Sun Belt,11,57,633,10.9,4,1,58
296,Ryan Scott,Memphis,CUSA,12,47,520,11.1,3,,47
297,Brandon Powers,Oregon State,Pac-10,14,39,433,11.1,1,,39
298,Chastin West,Fresno State,WAC,12,33,423,9.8,3,10,43
299,Jamarko Simmons,Western Michigan,MAC,13,61,706,10.4,2,7,68
300,Chase Coffman,Missouri,Big 12,13,58,638,11.0,9,,58
301,Derrick Williams,Penn State,Big Ten,13,40,585,7.7,2,36,76
302,Mike Holley,Temple,Ind,12,31,349,10.9,0,1,32
303,Darrell McNeal,Louisiana-Monroe,Sun Belt,12,25,330,10.6,2,6,31
304,Joel Armstrong,Rice,CUSA,13,24,400,3.7,3,84,108
305,Brian Murph,Kansas,Big 12,12,43,481,10.9,3,1,44
306,Riar Geer,Colorado,Big 12,12,24,261,10.9,3,,24
307,Brandon Warren,Florida State,ACC,12,28,301,10.8,1,,28
308,Tommy Saunders,Missouri,Big 12,13,25,271,10.8,2,,25
309,Anthony Hill,North Carolina State,ACC,12,45,478,10.6,0,,45
310,Preston Brown,Tulane,CUSA,11,44,471,10.7,2,0,44
311,Kory Sperry,Colorado State,MWC,12,36,380,10.6,5,,36
312,Tyler Grisham,Clemson,ACC,13,25,264,10.6,3,,25
313,Chris Hopkins,Toledo,MAC,12,54,565,10.5,7,,54
314,Shaun Herbert,Northwestern,Big Ten,12,47,508,10.4,2,2,49
316,Jordan Norwood,Penn State,Big Ten,13,45,472,10.5,2,,45
317,Bobby Williams,Middle Tennessee State,Sun Belt,13,36,378,10.5,1,,36
318,Manuel Johnson,Oklahoma,Big 12,12,36,391,10.3,3,2,38
319,Walter Hill,Army,Ind,12,30,314,10.5,1,,30
320,Rodney Ferguson,New Mexico,MWC,13,28,1525,5.4,9,252,280
321,Herb Grigsby,Iowa,Big Ten,10,27,306,10.2,1,3,30
322,Donnie Johnson,Tulsa,CUSA,13,27,280,10.4,2,,27
323,Syndric Steptoe,Arizona,Pac-10,12,55,602,9.7,2,7,62
324,Caleb Spencer,Nevada,WAC,13,55,563,9.9,3,2,57
325,Jeremy Trimble,Army,Ind,12,52,575,10.8,3,1,53
326,Ean Randolph,South Florida,Big East,13,49,557,9.9,4,7,56
327,Quinton Smith,Rice,CUSA,13,40,1506,6.0,12,211,251
328,Nick Polk,Indiana,Big Ten,11,32,326,9.6,1,2,34
329,Johnny Walker,Colorado State,MWC,12,58,600,9.5,0,5,63
330,Andre Caldwell,Florida,SEC,14,57,679,8.7,7,21,78
331,Danny Amendola,Texas Tech,Big 12,13,48,499,9.8,5,3,51
332,Dexton Fields,Kansas,Big 12,12,45,462,10.0,5,1,46
333,Dante Rosario,Oregon,Pac-10,13,42,426,10.1,1,,42
334,Emmanuel Spann,Marshall,CUSA,12,38,384,9.8,3,1,39
335,James Bailey,Indiana,Big Ten,12,40,401,10.0,0,,40
337,Joey Haynos,Maryland,ACC,13,37,369,10.0,3,,37
338,Jason Harmon,Florida Atlantic,Sun Belt,12,26,261,10.0,2,,26
339,Ashlyn Parker,Florida International,Sun Belt,12,23,231,10.0,0,,23
340,Chandler Williams,Florida International,Sun Belt,10,67,655,9.4,1,3,70
341,Rashaad Norwood,Kansas State,Big 12,12,36,358,9.9,0,,36
342,Robert Johnson,Texas Tech,Big 12,12,89,871,9.8,11,,89
343,Kenneth Moore,Wake Forest,ACC,14,32,821,6.0,3,105,137
344,Zach Miller,Arizona State,Pac-10,13,50,484,9.7,4,,50
345,Samuel Smith,Florida International,Sun Belt,10,47,458,9.7,2,,47
346,Jason Snelling,Virginia,ACC,11,29,1054,5.0,7,183,212
347,Kalvin McRae,Ohio,MAC,14,29,1532,5.3,16,258,287
348,Martin Rucker,Missouri,Big 12,13,53,520,9.6,5,1,54
349,Raphael Chestnut,Duke,ACC,12,39,375,9.6,2,,39
350,Marshawn Lynch,California,Pac-10,13,34,1684,6.6,15,223,257
351,Tony Hunt,Penn State,Big Ten,13,27,1645,5.4,14,277,304
352,Anthony James,Louisiana Tech,WAC,13,25,241,9.6,1,,25
353,Brandon Jackson,Nebraska,Big 12,14,33,1302,5.9,10,188,221
354,Derek Schouman,Boise State,WAC,12,29,276,9.5,4,,29
355,Fontel Mines,Virginia,ACC,12,27,256,9.5,2,,27
356,Patrick Turner,USC,Pac-10,13,29,272,9.4,2,,29
358,Michael Bumpus,Washington State,Pac-10,12,60,558,9.3,1,,60
359,Steve Odom,Toledo,MAC,12,46,418,8.7,2,2,48
360,Fred Davis,USC,Pac-10,13,38,352,9.3,3,,38
361,Brandon Allen,New Mexico State,WAC,12,26,240,9.2,1,,26
362,Curtis Brown,Brigham Young,MWC,13,62,1576,6.0,10,201,263
363,Brian Hernandez,Utah,MWC,11,47,424,9.0,1,,47
364,Larry Taylor,Connecticut,Big East,10,29,339,9.7,1,6,35
365,Ray Fisher,Indiana,Big Ten,11,24,221,8.8,0,1,25
366,Gary Banks,Troy,Sun Belt,13,68,624,8.4,8,6,74
367,Garrett Wolfe,Northern Illinois,MAC,13,28,2177,6.5,19,309,337
368,Lamart Barrett,North Carolina State,ACC,11,27,241,8.9,0,,27
369,Chris Maragos,Western Michigan,MAC,13,25,222,7.9,0,3,28
370,Joe Chapple,Western Michigan,MAC,13,35,308,8.8,2,,35
371,Otis Nelson,Utah State,WAC,10,27,238,8.8,1,,27
372,Tom Santi,Virginia,ACC,12,29,253,8.7,1,,29
373,Mike Falco,Rice,CUSA,8,26,229,6.7,1,8,34
374,Terrance Parks,Baylor,Big 12,6,26,217,8.3,0,,26
375,Joseph Doss,Memphis,CUSA,12,25,1115,4.5,9,224,249
376,Trumaine Riley,Eastern Michigan,MAC,11,45,369,7.5,0,4,49
377,Jon Cornish,Kansas,Big 12,12,24,1651,6.0,9,250,274
379,Ontario Sneed,Central Michigan,MAC,13,52,1179,6.3,11,135,187
380,Chris Marrow,UTEP,CUSA,12,32,257,8.0,0,,32
381,Tommy Henderson,Rice,CUSA,11,31,245,7.9,1,,31
382,Marcus Cross,Utah State,WAC,11,27,861,4.2,4,176,203
383,Brian Leonard,Rutgers,Big East,13,38,717,5.5,5,93,131
384,Jacob Hester,LSU,SEC,13,35,709,5.5,9,94,129
385,Chris Brown,Tennessee,SEC,13,31,239,7.7,1,,31
386,Shannon Woods,Texas Tech,Big 12,13,75,1498,6.6,12,152,227
387,L.V. Whitworth,Boston College,ACC,13,30,1018,5.0,4,174,204
388,Dwayne Wright,Fresno State,WAC,12,29,1683,5.8,12,261,290
389,Kory Sheets,Purdue,Big Ten,14,28,993,5.3,13,158,186
390,Chris Markey,UCLA,Pac-10,13,35,1368,5.2,2,227,262
391,Albert Young,Iowa,Big Ten,13,30,1004,4.8,8,178,208
392,Larry Bostic,Ball State,MAC,11,42,854,4.5,3,146,188
393,Jeremiah Williams,New Mexico State,WAC,11,37,691,5.2,6,96,133
394,Lance Long,Mississippi State,SEC,12,25,175,6.5,1,2,27
395,Darius Walker,Notre Dame,Ind,13,56,1658,5.3,8,255,311
396,Kevin Smith,UCF,CUSA,9,23,1092,4.8,7,206,229
397,James Starks,Buffalo,MAC,12,34,930,4.4,6,175,209
398,Tim Brown,Temple,Ind,10,33,949,4.4,2,182,215
400,Christopher Buckner,New Mexico State,WAC,11,23,151,6.6,0,,23
