,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Terry Moss,Ball State,MAC,12,27,685,25.4,8,,27
2,Tony Burks,Mississippi State,SEC,12,35,850,24.3,5,,35
3,David Harvey,Akron,MAC,12,43,921,20.5,10,2,45
4,Najah Pruden,Kent State,MAC,12,39,808,20.7,6,,39
5,Derrick Stewart,Cincinnati,Big East,13,33,671,18.6,5,3,36
6,Dustin Woods,Miami (OH),MAC,12,25,503,18.6,4,2,27
7,Eron Riley,Duke,ACC,12,32,643,20.1,3,,32
8,Josh Wheeler,Louisiana Tech,WAC,12,25,503,20.1,4,,25
9,Adarius Bowman,Oklahoma State,Big 12,13,60,1182,19.4,12,1,61
10,McKay Jacobson,Brigham Young,MWC,13,28,547,19.5,3,,28
11,Marcus Monk,Arkansas,SEC,14,50,962,19.2,11,,50
12,Mike Williams,Syracuse,Big East,10,24,461,19.2,4,,24
13,Andy Brodell,Iowa,Big Ten,12,39,724,18.6,5,,39
14,Lagregory Sapp,Louisiana-Monroe,Sun Belt,12,43,796,18.1,3,1,44
15,Mario Manningham,Michigan,Big Ten,10,38,722,16.4,9,6,44
16,Maurice Purify,Nebraska,Big 12,14,34,631,18.0,7,1,35
17,Willie Edwards,UAB,CUSA,12,39,719,18.4,2,,39
18,Joe West,UTEP,CUSA,12,27,496,18.4,3,,27
19,Robert Meachem,Tennessee,SEC,13,71,1301,17.3,11,4,75
20,Greg Carr,Florida State,ACC,13,34,619,18.2,12,,34
22,Harry Douglas,Louisville,Big East,13,70,1314,17.1,6,7,77
23,Drisan James,Boise State,WAC,13,36,704,16.4,4,7,43
24,Desean Jackson,California,Pac-10,13,59,1079,16.9,9,5,64
25,Mykeal Terry,Troy,Sun Belt,13,27,495,17.1,5,2,29
26,Darius Hill,Ball State,MAC,12,42,741,17.6,10,,42
27,Selwyn Lymon,Purdue,Big Ten,13,33,580,17.6,3,,33
28,Sammie Stroughter,Oregon State,Pac-10,14,74,1301,16.9,5,3,77
29,Marlon Haynes,Idaho,WAC,11,27,473,17.5,1,,27
30,Limas Sweed,Texas,Big 12,13,46,806,17.5,12,0,46
31,Rodgeriqus Smith,Auburn,SEC,13,26,452,17.4,4,,26
32,Kenny McKinley,South Carolina,SEC,13,51,880,16.9,5,1,52
33,William Franklin,Missouri,Big 12,11,48,829,17.3,6,,48
34,Anthony Russo,Washington,Pac-10,12,32,556,16.4,2,2,34
35,Richard Sherman,Stanford,Pac-10,12,34,564,15.2,3,3,37
36,Mike Wallace,Ole Miss,SEC,12,24,412,16.5,2,1,25
37,D.J. Hall,Alabama,SEC,12,62,1104,16.2,5,6,68
38,Luke Swan,Wisconsin,Big Ten,13,35,595,17.0,5,,35
39,Hakeem Nicks,North Carolina,ACC,11,39,670,16.8,4,1,40
40,Frantz Simeon,Florida Atlantic,Sun Belt,12,35,591,16.4,1,1,36
41,Mario Urrutia,Louisville,Big East,13,58,973,16.8,6,,58
43,Ernie Wheelwright,Minnesota,Big Ten,13,26,437,16.8,5,,26
44,Zac Collie,Brigham Young,MWC,13,26,437,16.8,2,,26
45,Ryan Grice-Mullen,Hawaii,WAC,10,46,794,16.5,11,2,48
46,Ryan Wolfe,UNLV,MWC,12,55,911,16.3,5,1,56
47,Paul Hubbard,Wisconsin,Big Ten,13,38,627,16.5,5,,38
48,Gary Barnidge,Louisville,Big East,13,31,511,16.5,4,,31
49,Jason Rivers,Hawaii,WAC,14,72,1178,16.4,10,,72
50,Dicky Lyons,Kentucky,SEC,13,50,822,16.4,9,,50
51,Jeron Harvey,Houston,CUSA,14,41,671,16.4,4,,41
52,Daniel Robinson,UTEP,CUSA,12,37,606,16.4,7,,37
53,Marcus Smith,New Mexico,MWC,13,53,881,14.7,9,7,60
54,John Broussard,San Jose State,WAC,13,52,860,15.6,7,3,55
55,Jabari Arthur,Akron,MAC,12,45,730,16.2,4,,45
56,Duke Calhoun,Memphis,CUSA,12,42,732,14.1,7,10,52
57,Nate Morton,Wake Forest,ACC,14,38,645,14.7,4,6,44
58,Kevin Robinson,Utah State,WAC,12,36,617,14.7,5,6,42
59,Johnnie Lee Higgins Jr.,UTEP,CUSA,12,82,1317,15.9,13,1,83
60,Jonny Harline,Brigham Young,MWC,13,58,935,16.1,12,,58
61,Malcolm Kelly,Oklahoma,Big 12,14,62,993,16.0,10,,62
62,Eddie Royal,Virginia Tech,ACC,13,31,521,14.5,3,5,36
64,Cody Slate,Marshall,CUSA,12,43,686,16.0,7,0,43
65,Marquis Wilson,Utah,MWC,13,25,422,15.1,3,3,28
66,Calvin Johnson,Georgia Tech,ACC,14,76,1232,14.8,15,7,83
67,D'Juan Woods,Oklahoma State,Big 12,13,41,647,15.8,5,,41
68,Jerard Rabb,Boise State,WAC,13,37,595,15.7,4,1,38
69,Chad Schroeder,Texas A&M,Big 12,13,39,606,14.4,4,3,42
70,James Johnson,Georgia Tech,ACC,14,39,608,15.6,7,,39
71,Matt Allen,Brigham Young,MWC,13,27,420,15.6,3,,27
72,Chris Williams,New Mexico State,WAC,12,92,1478,15.2,12,5,97
73,Legedu Naanee,Boise State,WAC,13,35,631,15.0,6,7,42
74,Darrius Heyward-Bey,Maryland,ACC,13,45,699,14.0,5,5,50
75,Brent Casteel,Utah,MWC,13,39,862,9.6,10,51,90
76,Lance Leggett,Miami (FL),ACC,13,38,584,15.4,4,,38
77,Jemalle Cornelius,Florida,SEC,14,34,543,14.3,3,4,38
78,Steve Smith,USC,Pac-10,13,71,1083,15.3,9,,71
79,Dallas Baker,Florida,SEC,14,60,920,15.3,10,,60
80,Lavelle Hawkins,California,Pac-10,13,46,741,15.1,5,3,49
81,Dustin Osborn,Colorado State,MWC,10,26,397,15.3,2,,26
82,Dwayne Bowe,LSU,SEC,13,65,990,15.2,12,,65
83,Quentily Harmon,Texas Christian,MWC,13,52,792,14.9,3,1,53
85,Johnathan Holland,Louisiana Tech,WAC,13,33,497,14.6,3,1,34
86,Kenny Britt,Rutgers,Big East,9,29,440,15.2,2,,29
87,Eric Peterman,Northwestern,Big Ten,12,23,357,13.7,1,3,26
88,Sidney Rice,South Carolina,SEC,13,72,1096,15.0,10,1,73
89,Trent Shelton,Baylor,Big 12,12,53,791,14.6,8,1,54
90,Bruce Francis,Temple,Ind,12,32,484,15.1,4,,32
91,Marcel Pestano,Pitt,Big East,11,28,421,14.5,2,1,29
92,Amarri Jackson,South Florida,Big East,13,26,443,12.3,3,10,36
93,Bobby Good,East Carolina,CUSA,8,26,403,14.9,1,1,27
94,Damon Morton,Colorado State,MWC,12,48,739,13.2,4,8,56
95,Oderick Turner,Pitt,Big East,12,44,667,14.5,8,2,46
96,Cody Boyd,Washington State,Pac-10,10,32,481,15.0,2,,32
97,Jahkeen Gilmore,Indiana,Big Ten,12,28,419,15.0,0,,28
98,Donnie Avery,Houston,CUSA,14,57,852,14.9,5,,57
99,Derek Kinder,Pitt,Big East,12,57,847,14.9,6,,57
100,Craig Davis,LSU,SEC,12,56,851,14.2,4,4,60
101,Brandon Gibson,Washington State,Pac-10,12,49,731,14.9,4,,49
102,Yamon Figurs,Kansas State,Big 12,12,28,489,15.8,5,3,31
103,Travis Beckum,Wisconsin,Big Ten,13,61,922,14.2,5,4,65
104,Damien Linson,Central Michigan,MAC,14,55,815,12.9,5,8,63
106,Derek Dubois,New Mexico State,WAC,12,54,800,14.8,7,,54
107,Rocky Ross,UCF,CUSA,12,36,531,14.8,2,,36
108,Obed Cetoute,Central Michigan,MAC,14,36,529,14.7,5,,36
109,Scott Mayle,Ohio,MAC,14,28,468,14.6,1,4,32
110,Jason Hill,Washington State,Pac-10,10,41,594,13.8,7,2,43
111,Dwayne Jarrett,USC,Pac-10,12,70,1012,14.3,12,1,71
112,Jaison Williams,Oregon,Pac-10,12,68,989,14.1,6,2,70
113,Brandon Myles,West Virginia,Big East,13,36,522,14.5,8,,36
114,Clark Harris,Rutgers,Big East,13,34,493,14.5,2,,34
115,Marcus Everett,UCLA,Pac-10,13,31,450,14.5,5,,31
116,Eric Decker,Minnesota,Big Ten,13,26,383,14.2,3,1,27
117,Anthony Gonzalez,Ohio State,Big Ten,13,51,762,14.4,8,2,53
118,Joel Filani,Texas Tech,Big 12,13,91,1334,14.0,13,4,95
119,Thomas White,Baylor,Big 12,9,26,377,13.5,2,2,28
120,James Hardy,Indiana,Big Ten,10,51,722,14.2,10,,51
121,Terrence Nunn,Nebraska,Big 12,14,42,616,13.4,3,4,46
122,Phillip Henry,East Carolina,CUSA,12,34,497,13.4,2,3,37
123,Todd Blythe,Iowa State,Big 12,9,34,484,14.2,8,,34
124,Chaz Schilens,San Diego State,MWC,12,34,483,14.2,2,,34
125,Martrez Milner,Georgia,SEC,12,30,425,14.2,3,,30
127,Kevin Jones,Arkansas State,Sun Belt,12,25,369,13.7,2,2,27
128,Dante Love,Ball State,MAC,12,52,818,11.5,5,19,71
129,Jon Davis,Iowa State,Big 12,11,36,507,13.7,2,1,37
