,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
97,Maurice Avery,Memphis,CUSA,11,49,840,11.5,11,24,73
98,Jeris McIntyre,Auburn,SEC,13,41,652,15.5,3,1,42
99,Sam Hurd,Northern Illinois,MAC,12,29,438,15.1,2,,29
100,Tavarious Davis,Memphis,CUSA,12,27,407,15.1,3,,27
101,Charles Sharon,Bowling Green State,MAC,13,59,894,14.9,10,1,60
102,Carlos Perez,Florida,SEC,13,36,566,14.2,4,4,40
103,John Standeford,Purdue,Big Ten,13,77,1150,14.9,4,,77
104,T.J. Acree,Boise State,WAC,13,51,763,14.7,7,1,52
106,Michael McCoy,Idaho,Sun Belt,11,32,478,14.9,1,0,32
107,Mike McCoy,Idaho,Sun Belt,11,32,478,14.9,1,,32
108,Darren Garcia,Memphis,CUSA,11,26,389,14.4,0,1,27
109,James Banks,Tennessee,SEC,13,42,636,14.5,7,2,44
110,Antwon Courington,Southern Mississippi,CUSA,13,36,532,14.8,3,,36
111,Keary Colbert,USC,Pac-10,13,69,1042,14.5,9,3,72
112,Orlando Winston,Idaho,Sun Belt,12,55,807,14.7,7,,55
113,P.K. Sam,Florida State,ACC,13,50,739,14.2,5,2,52
114,Lionel Gates,Louisville,CUSA,13,25,1185,7.1,11,141,166
115,Jonathan Smith,Georgia Tech,ACC,13,78,1183,12.7,5,15,93
116,Craig Bragg,UCLA,Pac-10,13,73,1065,14.6,5,,73
117,Kris Wilson,Pitt,Big East,13,44,643,14.6,9,,44
118,Lance Young,Iowa State,Big 12,12,32,467,14.6,1,,32
119,Skyler Fulton,Arizona State,Pac-10,12,62,901,14.5,10,,62
120,Shawn Tucker,Rutgers,Big East,12,50,740,14.5,2,1,51
121,Ryan Moore,Miami (FL),Big East,13,44,637,14.5,3,,44
122,Scott Lunde,Washington State,Pac-10,12,42,617,13.7,3,3,45
123,Daron Lawrence,Southern Mississippi,CUSA,13,37,536,14.5,2,,37
124,Howard Jackson,UTEP,WAC,13,27,1537,6.5,8,208,235
125,Johnnie Lee Higgins Jr.,UTEP,WAC,13,25,394,11.9,1,8,33
127,Phil Goodman,Temple,Big East,11,47,678,14.4,5,,47
128,Luther Huggins,UCF,MAC,12,26,375,14.4,2,,26
129,Latrez Harrison,Maryland,ACC,13,39,558,14.3,6,,39
130,Roger Jordan,Northwestern,Big Ten,11,31,442,14.3,0,,31
131,Brandon Young,Connecticut,Ind,9,28,399,14.3,4,,28
132,Kerry Johnson,Ole Miss,SEC,13,28,395,13.6,5,1,29
133,Justin Jenkins,Mississippi State,SEC,12,62,880,14.2,9,,62
134,Shawn Piper,Louisiana Tech,WAC,12,41,584,14.2,3,,41
135,Adrian Boyd,New Mexico,MWC,12,41,661,10.8,3,20,61
136,Darron White,Memphis,CUSA,13,37,653,9.7,9,30,67
137,Samie Parker,Oregon,Pac-10,13,77,1136,13.9,7,5,82
138,Charles Frederick,Washington,Pac-10,12,59,838,13.5,5,3,62
139,Antoine Polite,Kansas State,Big 12,13,29,409,14.1,1,,29
140,Ben Moa,Utah,MWC,12,26,517,9.1,6,31,57
141,Nehemiah Glover,Texas Tech,Big 12,13,77,1095,13.5,9,4,81
142,Derek McCoy,Colorado,Big 12,12,63,883,14.0,11,,63
143,Ramon Ochoa,Iowa,Big Ten,13,34,499,13.9,7,2,36
144,Courtney Anderson,San Jose State,WAC,11,23,322,14.0,5,,23
145,Earvin Johnson,UNLV,MWC,11,60,834,13.9,4,,60
146,Bill Flowers,Ole Miss,SEC,13,39,543,13.6,1,1,40
148,Matt Brandt,Miami (OH),MAC,14,35,485,13.9,7,,35
149,Tony Johnson,Penn State,Big Ten,10,32,445,13.5,4,1,33
150,Daryl Moore,Kent State,MAC,12,26,362,13.9,2,,26
151,Mike Williams,USC,Pac-10,13,95,1340,13.7,16,3,98
152,Michael Clayton,LSU,SEC,14,78,1104,13.6,10,3,81
153,Troy Williamson,South Carolina,SEC,12,31,452,12.6,2,5,36
154,Ryan Busing,Miami (OH),MAC,14,28,386,13.3,1,1,29
155,Matt Cherry,Akron,MAC,12,66,904,13.7,4,,66
156,Biren Ealy,Arizona,Pac-10,11,42,577,13.7,4,,42
157,Chris Marrow,UTEP,WAC,13,34,537,12.2,3,10,44
158,Maurice Humphrey,Penn State,Big Ten,11,30,429,13.0,1,3,33
159,Mike Cox,Arkansas State,Sun Belt,12,35,477,13.6,1,,35
160,Aaron Alexander,Army,CUSA,13,64,861,13.5,6,,64
161,Steve Odom,Toledo,MAC,12,62,834,13.0,6,2,64
162,Vincent Marshall,Houston,CUSA,13,60,959,13.0,8,14,74
163,Charles Gordon,Kansas,Big 12,13,57,814,12.5,5,8,65
164,Reggie Brown,Georgia,SEC,13,49,731,13.8,3,4,53
165,Triandos Luke,Alabama,SEC,13,32,432,13.5,4,,32
166,McKinley Scott,Mississippi State,SEC,12,29,391,13.5,1,,29
167,Brandon Marshall,UCF,MAC,12,28,385,13.3,2,1,29
169,Jerome Stegall,Arkansas State,Sun Belt,12,27,361,12.9,3,1,28
170,Braylon Edwards,Michigan,Big Ten,13,85,1159,13.2,14,3,88
171,P.J. Fleck,Northern Illinois,MAC,12,77,1037,13.3,6,1,78
172,Bryan Williamson,Ball State,MAC,12,36,481,13.4,1,,36
173,Michael Johnson,Georgia,SEC,12,27,361,13.4,2,,27
174,Richard Hourigan,East Carolina,CUSA,12,26,348,13.4,0,,26
175,Chad Owens,Hawaii,WAC,11,85,1140,13.1,9,2,87
176,Brandon Rideau,Kansas,Big 12,13,51,682,13.1,6,1,52
177,Terrance Hudson,Toledo,MAC,10,27,359,13.3,3,,27
178,Dell McGee,Nevada,WAC,8,24,318,13.3,1,,24
179,Kendrick Mosley,Western Michigan,MAC,12,77,1023,13.1,6,1,78
180,Shaun Feldeisen,Connecticut,Ind,12,65,860,13.2,7,,65
181,Malcom Floyd,Wyoming,MWC,12,63,839,12.9,6,2,65
182,Chris Pittman,Colorado State,MWC,12,56,795,12.2,4,9,65
183,Brandon Williams,Wisconsin,Big Ten,13,49,648,12.7,1,2,51
184,Tim Euhus,Oregon State,Pac-10,13,49,645,13.2,7,,49
185,Matt Knueven,Buffalo,MAC,12,47,664,12.3,4,7,54
186,Huey Whittaker,South Florida,CUSA,11,39,516,13.2,2,,39
187,Darius Watts,Marshall,MAC,12,74,1068,12.6,11,11,85
188,Chris Stallworth,Utah State,Sun Belt,11,37,483,13.1,4,,37
190,D.J. Hackett,Colorado,Big 12,12,78,1004,12.7,7,1,79
191,Nick Sparks,Akron,MAC,12,57,739,12.7,4,1,58
192,Jamall Broussard,San Jose State,WAC,11,55,786,12.1,2,10,65
193,Airese Currie,Clemson,ACC,10,43,562,12.8,4,1,44
194,Kenny Coleman,Utah State,Sun Belt,12,37,505,12.9,2,2,39
195,Antonio Thomas,Western Michigan,MAC,12,37,480,13.0,4,,37
196,Jason Samples,Troy,Ind,12,48,651,11.6,6,8,56
197,Kevin Youngblood,Clemson,ACC,13,70,897,12.8,2,,70
198,Tuati Wooden,San Jose State,WAC,11,61,783,12.6,2,1,62
199,Jeff Webb,San Diego State,MWC,10,55,706,12.8,4,,55
200,O'Neil Wilson,Connecticut,Ind,12,51,693,12.6,9,4,55
201,Rhema McKnight,Notre Dame,Ind,12,47,600,12.8,3,,47
202,Sean Ryan,Boston College,Big East,13,35,447,12.8,6,,35
203,Burl Toler,California,Pac-10,14,48,609,12.7,3,,48
204,Leon Pinky,San Jose State,WAC,11,31,395,12.7,8,,31
205,D.J. Curry,Louisiana Tech,WAC,12,53,676,12.3,6,2,55
206,Chris Norwood,Louisiana Tech,WAC,12,43,541,12.3,3,1,44
207,Daniel Coats,Brigham Young,MWC,10,30,378,12.6,4,,30
208,Marcedes Lewis,UCLA,Pac-10,13,30,377,12.6,3,,30
209,Reggie Williams,Washington,Pac-10,12,89,1120,12.2,8,3,92
211,Mickey Peters,Texas Tech,Big 12,13,78,975,12.5,12,,78
212,Josh Davis,Marshall,MAC,12,66,856,11.6,7,8,74
213,Marque Davis,Fresno State,WAC,13,40,499,12.5,2,,40
214,Bill Sampy,Louisiana,Sun Belt,12,39,480,11.7,3,2,41
215,Joel Hazard,Boston College,Big East,12,32,401,12.5,0,,32
216,Matt Miller,Arizona State,Pac-10,11,26,326,12.5,1,,26
217,Ray Ray Bivines,Mississippi State,SEC,10,26,325,11.6,1,2,28
218,Michael Larkin,Miami (OH),MAC,14,67,832,12.4,11,,67
219,Jason Rivers,Hawaii,WAC,12,48,594,12.4,5,,48
220,Andrew Clarke,Toledo,MAC,12,35,433,12.4,8,,35
221,Ronnie Ghent,Louisville,CUSA,13,34,421,12.4,4,,34
222,Chris Collins,Ole Miss,SEC,13,77,978,12.2,7,3,80
223,Ryan Sawyer,Virginia,ACC,13,39,481,12.3,2,,39
224,Devin Pitts,San Diego State,MWC,12,39,485,12.1,2,1,40
225,Ottowa Anderson,Virginia,ACC,13,33,414,12.2,2,1,34
226,Jejuan Rankins,Oklahoma,Big 12,13,33,406,12.3,6,,33
227,Leonard Gibson,Houston,CUSA,13,25,307,12.3,2,,25
228,Tim Van Zant,Texas A&M,Big 12,12,30,367,12.2,3,,30
229,Chris Jordan,Washington State,Pac-10,12,28,341,12.2,2,,28
230,Shatone Powers,Northern Illinois,MAC,11,26,316,11.7,5,1,27
232,Chris Lumpkin,New Mexico State,Sun Belt,7,24,297,11.9,0,1,25
233,Dante Ridgeway,Ball State,MAC,12,89,1083,12.0,11,1,90
234,Agim Shabaj,Michigan State,Big Ten,13,57,737,11.3,5,8,65
235,Derek Abney,Kentucky,SEC,12,51,764,12.3,5,11,62
236,Glenn Johnson,Indiana,Big Ten,11,36,436,12.1,2,,36
237,Ryan McGuffey,Wyoming,MWC,12,68,824,11.3,6,5,73
238,Mark Kornfeld,Illinois,Big Ten,12,44,532,11.8,3,1,45
239,Matt Rushbrook,SMU,WAC,10,30,366,11.4,3,2,32
240,Heath Miller,Virginia,ACC,13,70,835,11.9,6,,70
241,Aaron Alexander,Michigan State,Big Ten,13,44,517,11.0,3,3,47
242,Kevin Payne,Louisiana-Monroe,Sun Belt,12,41,1464,5.1,9,248,289
243,Trent Shelton,Baylor,Big 12,12,25,306,9.3,1,8,33
244,Sean Coffey,Missouri,Big 12,12,23,273,11.9,1,,23
245,Chris Cooley,Utah State,Sun Belt,10,62,753,11.6,7,3,65
246,Miquel Irvin,Akron,MAC,12,50,588,11.8,3,,50
247,Zamir Cobb,Temple,Big East,12,74,866,11.7,5,,74
248,Robert Quiroga,Baylor,Big 12,12,42,492,11.4,4,1,43
249,Steve Breaston,Michigan,Big Ten,13,38,509,10.2,5,12,50
250,Caleb Blankenship,Tulsa,WAC,13,33,402,10.1,3,7,40
251,Lonnie Hurst,Illinois,Big Ten,10,27,315,11.7,1,,27
253,Lance Moore,Toledo,MAC,12,103,1220,11.3,10,5,108
254,Tramain Hall,North Carolina State,ACC,13,69,941,9.0,7,36,105
255,Luke Powell,Stanford,Pac-10,11,45,538,10.2,3,8,53
256,Roshon Jacobs,Louisiana-Monroe,Sun Belt,6,25,295,11.3,2,1,26
257,Cole Magner,Bowling Green State,MAC,14,99,1225,10.3,10,20,119
258,Damien Gary,Georgia,SEC,14,43,494,11.5,1,,43
259,Larry Bostic,Ball State,MAC,12,38,498,8.2,4,23,61
260,Nate Curry,Georgia Tech,ACC,13,37,426,11.5,3,,37
261,Chad McCullar,Houston,CUSA,13,35,408,11.0,2,2,37
262,Jacque Lewis,North Carolina,ACC,12,34,765,8.1,6,61,95
263,Britton Komine,Hawaii,WAC,13,53,602,11.4,5,,53
264,Kelvin Hayden,Illinois,Big Ten,10,52,646,11.1,3,6,58
265,Richard Washington,North Carolina State,ACC,9,44,528,10.2,6,8,52
266,Travis Latendresse,Utah,MWC,12,32,375,11.4,1,1,33
267,Se'e Poumele,Hawaii,WAC,13,29,349,9.2,3,9,38
268,Jerrin Holt,Middle Tennessee State,Sun Belt,12,26,296,11.4,2,,26
269,Wes Welker,Texas Tech,Big 12,13,97,1245,10.0,10,27,124
270,Mack Vincent,Louisiana-Monroe,Sun Belt,12,62,699,11.1,9,1,63
271,Courtney Roby,Indiana,Big Ten,11,45,547,10.5,0,7,52
272,Ryan Hahaj,Ball State,MAC,12,29,324,11.2,2,,29
274,Courtney Taylor,Auburn,SEC,13,34,379,11.1,0,,34
275,Joel Dreessen,Colorado State,MWC,9,29,323,11.1,3,,29
276,DeAngelo Williams,Memphis,CUSA,11,35,1814,6.5,13,243,278
277,Michael Brewster,Hawaii,WAC,14,33,768,8.8,4,54,87
278,Tyson Devree,Western Michigan,MAC,12,30,331,11.0,3,,30
279,Wardell Alsup,Middle Tennessee State,Sun Belt,12,27,295,10.2,3,2,29
280,Michael Johnson,UNLV,MWC,12,42,464,10.8,1,1,43
281,Floyd Smith,Louisiana-Monroe,Sun Belt,12,37,403,7.3,1,18,55
282,Skyler Green,LSU,SEC,14,48,609,10.9,6,8,56
283,Steve Sanders,Bowling Green State,MAC,14,43,481,10.9,1,1,44
284,William White,Army,CUSA,12,40,445,9.5,2,7,47
285,O.J. Small,Florida,SEC,13,35,379,10.8,1,,35
286,Chris Cunningham,SMU,WAC,12,26,282,9.7,0,3,29
287,Steven Jackson,Oregon State,Pac-10,13,44,2015,5.1,22,350,394
288,Gerald Welch,Hawaii,WAC,13,43,462,10.7,4,,43
289,Reggie Love,Duke,ACC,12,27,290,10.7,4,,27
290,Lance Johnson,Duke,ACC,12,23,247,10.7,1,,23
291,Paris Warren,Utah,MWC,11,76,933,9.7,5,20,96
292,Bernard Berrian,Fresno State,WAC,14,63,839,11.0,6,13,76
293,Jonathan Smith,Washington State,Pac-10,13,33,1310,5.1,11,224,257
295,Kendrick Starling,San Jose State,WAC,10,28,308,9.3,1,5,33
296,Jarwarski Pollock,North Carolina,ACC,12,71,785,10.2,1,6,77
297,Clark Green,Kansas,Big 12,13,44,1432,5.8,8,204,248
298,Mewelde Moore,Tulane,CUSA,9,39,1323,5.9,9,185,224
299,Nichiren Flowers,Nevada,WAC,10,35,377,9.9,2,3,38
300,Jeff Stowe,Idaho,Sun Belt,11,30,316,10.5,4,,30
301,Eric Bartel,Louisiana,Sun Belt,12,24,251,10.5,0,,24
302,Thaddeus Lewis,Cincinnati,CUSA,12,25,261,10.4,1,,25
303,Rashard Williams,Syracuse,Big East,10,23,240,10.4,1,,23
304,Terrance Copper,East Carolina,CUSA,12,87,911,10.1,2,3,90
305,Toby Christensen,Brigham Young,MWC,12,53,549,10.2,4,1,54
306,Tres Moses,Rutgers,Big East,11,52,546,10.1,5,2,54
307,Chuck Walker,Arkansas State,Sun Belt,12,26,267,10.3,1,,26
308,R.J. Corbin,Miami (OH),MAC,13,35,351,9.8,2,1,36
309,Kellen Winslow,Miami (FL),Big East,13,60,605,10.1,1,,60
310,Khary Sharpe,Duke,ACC,10,23,223,7.4,0,7,30
311,Darius Outlaw,Missouri,Big 12,12,40,401,9.8,4,1,41
312,Robert Ortiz,San Diego State,MWC,11,33,334,9.5,1,2,35
313,Willie Idlette,Wake Forest,ACC,12,32,553,7.6,3,41,73
314,Jamaul Montgomery,Iowa State,Big 12,11,24,242,9.7,2,1,25
316,Aaron Halterman,Indiana,Big Ten,12,23,230,10.0,0,,23
317,Walter Reyes,Syracuse,Big East,12,38,1722,5.9,21,253,291
318,Chris R. Roberson,Eastern Michigan,MAC,12,34,351,9.5,2,3,37
319,Chris Roberson,Eastern Michigan,MAC,12,34,351,9.5,2,3,37
320,Eric Knott,Michigan State,Big Ten,11,31,306,9.9,2,,31
321,Jermaine Landrum,Tulsa,WAC,13,28,499,8.2,2,33,61
322,Ryan Smith,UCLA,Pac-10,12,28,277,9.9,1,,28
323,Justin Harper,Central Michigan,MAC,12,45,441,9.8,2,,45
324,Taylor Stubblefield,Purdue,Big Ten,13,86,859,9.4,3,5,91
325,Zach Gerstner,Idaho,Sun Belt,12,32,1466,5.1,7,256,288
326,Jared Jones,Syracuse,Big East,12,37,387,9.7,0,3,40
327,Omar Jenkins,Notre Dame,Ind,12,36,344,9.6,1,,36
328,Philip Reed,Western Michigan,MAC,11,28,1013,4.7,8,189,217
329,Troy Bienemann,Washington State,Pac-10,12,29,273,9.4,2,,29
330,Marques Hagans,Virginia,ACC,13,28,358,8.1,2,16,44
331,Matt Trannon,Michigan State,Big Ten,11,28,259,9.3,0,,28
332,Ryan Moats,Louisiana Tech,WAC,12,27,1551,6.9,11,199,226
333,Steve Fleming,Arizona,Pac-10,11,24,222,9.3,2,,24
334,Brian Leonard,Rutgers,Big East,12,53,1368,5.1,14,213,266
335,Thomson Omboga,Missouri,Big 12,12,44,403,9.2,1,,44
337,T.A. McLendon,North Carolina State,ACC,9,40,976,5.7,11,130,170
338,Duane Coleman,Clemson,ACC,13,34,924,5.5,5,133,167
339,P.J. Pope,Bowling Green State,MAC,14,48,1438,6.0,10,191,239
340,George Murray,Cincinnati,CUSA,12,30,403,6.7,3,30,60
341,Cornelius McGrady,Bowling Green State,MAC,13,29,261,8.7,1,1,30
342,Terrence Whitehead,Oregon,Pac-10,12,28,990,4.5,7,192,220
343,Johnnie Mack,Texas Tech,Big 12,13,26,540,7.9,5,42,68
344,Marques Roberts,Baylor,Big 12,12,25,245,9.1,2,2,27
345,Anthony Chambers,Purdue,Big Ten,13,25,222,8.9,2,,25
346,Lousaka Polite,Pitt,Big East,13,25,480,5.1,2,70,95
347,Ben Hartsock,Ohio State,Big Ten,13,33,290,8.8,2,,33
348,Brian Fisher,South Florida,CUSA,11,28,380,5.8,5,37,65
349,Allynson Sheffield,South Florida,CUSA,11,28,245,8.8,0,,28
350,Tavaris Capers,UCF,MAC,12,67,616,8.6,7,5,72
351,Chris Hale,Brigham Young,MWC,11,33,273,7.4,0,4,37
352,Wali Lundy,Virginia,ACC,12,29,1182,4.6,14,227,256
353,Kemmie Lewis,Louisiana,Sun Belt,12,27,234,8.7,1,,27
354,Derrick Knight,Boston College,Big East,13,26,1948,5.6,11,321,347
355,Garrett Mills,Tulsa,WAC,13,53,456,8.6,10,,53
356,Jaren Hayes,Michigan State,Big Ten,12,48,1023,5.3,8,145,193
358,Kunle Patrick,Northwestern,Big Ten,13,32,274,8.6,0,,32
359,Chris Perry,Michigan,Big Ten,13,44,2041,5.3,20,338,382
360,Brian Calhoun,Colorado,Big 12,12,32,1076,4.7,6,195,227
361,Alex Haynes,UCF,MAC,12,32,1038,4.8,5,183,215
362,Alvin Pearman,Virginia,ACC,13,63,1161,5.9,8,134,197
363,David Fiefia,Utah State,Sun Belt,12,38,1277,5.2,8,206,244
364,Tristan Smith,Tulane,CUSA,12,37,347,8.3,5,5,42
365,E.B. Halsey,Illinois,Big Ten,9,37,828,4.7,6,140,177
366,Cedric Dawley,Cincinnati,CUSA,12,23,185,8.0,1,,23
367,Taurean Henderson,Texas Tech,Big 12,13,78,1347,6.7,16,124,202
368,Jason Rader,Marshall,MAC,12,30,233,7.8,3,,30
369,Earl Charles,Marshall,MAC,12,26,1243,5.4,12,205,231
370,Alex Smith,Stanford,Pac-10,11,24,185,7.7,3,,24
371,Marvin Townes,East Carolina,CUSA,12,23,1304,4.6,10,258,281
372,Troy Fleming,Tennessee,SEC,13,36,305,5.8,2,17,53
373,Carlton Jones,Army,CUSA,13,29,843,3.8,8,194,223
374,Derek Armah,Wyoming,MWC,12,26,866,4.3,5,177,203
375,Anthony Sherrell,Eastern Michigan,MAC,12,44,1835,4.8,13,338,382
376,Sean McHugh,Penn State,Big Ten,12,27,441,5.4,4,54,81
377,Eugene Gross,Middle Tennessee State,Sun Belt,12,25,907,4.2,10,189,214
379,Zack Abron,Missouri,Big 12,12,25,1189,5.3,13,200,225
380,Dee Brown,UCF,MAC,12,25,242,5.5,2,19,44
381,Carey Davis,Illinois,Big Ten,9,39,434,5.2,1,44,83
382,Ezekiel Staples,San Jose State,WAC,11,25,215,4.7,0,21,46
383,Aaron Leeper,Buffalo,MAC,12,23,614,4.2,2,122,145
