,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
1,Dwight Counter,New Mexico,MWC,13,31,835,22.0,6,7,38
2,Lawrence Bady,Boise State,WAC,13,29,765,21.9,4,6,35
3,Chris Henry,West Virginia,Big East,12,41,1006,24.5,10,,41
4,Mike Hass,Oregon State,Pac-10,13,44,1013,23.0,7,,44
5,Brandon Middleton,Houston,CUSA,13,55,1250,22.7,14,,55
6,Johnny Quinn,North Texas,Sun Belt,12,30,657,21.2,3,1,31
7,Roddy White,UAB,CUSA,12,39,861,21.5,7,1,40
8,Jared Ellerson,Minnesota,Big Ten,12,44,1056,16.5,6,20,64
9,Scott Mayle,Ohio,MAC,12,25,537,15.8,5,9,34
10,Craphonso Thorpe,Florida State,ACC,11,51,1005,18.6,11,3,54
11,James Terry,Kansas State,Big 12,15,64,1232,19.3,13,,64
12,Mark Simmons,Kansas,Big 12,13,40,783,18.6,7,2,42
13,Darrell Dowery,Kent State,MAC,12,41,821,17.5,4,6,47
14,Richard Smith,Arkansas,SEC,13,30,570,18.4,7,1,31
15,Lee Evans,Wisconsin,Big Ten,13,64,1239,18.2,13,4,68
16,Jerry Smith,Boise State,WAC,12,32,638,18.2,5,3,35
17,Greg Jennings,Western Michigan,MAC,12,56,1065,17.8,14,4,60
18,Matthew Thomas,South Carolina,SEC,11,24,437,15.6,2,4,28
19,Demetrius Williams,Oregon,Pac-10,13,51,947,17.9,8,2,53
20,B.J. Johnson,Texas,Big 12,13,30,550,17.2,4,2,32
22,Larry Fitzgerald,Pitt,Big East,13,92,1679,18.1,22,1,93
23,Jamaar Taylor,Texas A&M,Big 12,6,25,469,17.4,4,2,27
24,Mike Espy,Ole Miss,SEC,13,30,548,17.7,3,1,31
25,David Anderson,Colorado State,MWC,13,72,1293,18.0,9,,72
26,George Wilson,Arkansas,SEC,13,50,900,18.0,6,,50
27,Rashaun Woods,Oklahoma State,Big 12,13,77,1367,17.8,15,,77
28,Tim Gilligan,Boise State,WAC,13,67,1219,16.7,7,6,73
29,Geoff McArthur,California,Pac-10,13,85,1504,17.7,10,,85
30,Taye Biddle,Ole Miss,SEC,13,26,460,17.7,4,,26
31,Princell Brockenbrough,Pitt,Big East,13,35,616,17.6,4,,35
32,Chris Bush,Tulane,CUSA,11,33,581,17.6,8,,33
33,Kerry Wright,Middle Tennessee State,Sun Belt,12,73,1280,17.5,9,,73
34,Reggie Harrell,Texas Christian,CUSA,13,58,1012,17.4,2,,58
35,Johnnie Morant,Syracuse,Big East,12,46,814,16.6,5,3,49
36,Anthony Hackett,Ohio,MAC,11,26,491,15.3,2,6,32
37,Terrence Murphy,Texas A&M,Big 12,12,44,912,16.9,1,10,54
38,Mark Clayton,Oklahoma,Big 12,14,83,1487,16.2,15,9,92
39,Santonio Holmes,Ohio State,Big Ten,12,32,548,16.6,7,1,33
40,Jason Anderson,Wake Forest,ACC,12,44,751,17.1,6,,44
41,Keron Henry,Connecticut,Ind,11,39,662,17.0,4,,39
43,Maurice Mann,Nevada,WAC,8,35,602,15.8,2,3,38
44,James Hawkins,Bowling Green State,MAC,14,31,528,16.5,3,1,32
45,Lane Danielsen,Iowa State,Big 12,12,46,787,14.3,6,9,55
46,Jimmy Labita,Idaho,Sun Belt,10,26,459,15.8,2,3,29
47,Marvin Young,Southern Mississippi,CUSA,13,42,722,16.4,7,2,44
48,Derick Ross,Cincinnati,CUSA,12,29,483,16.7,1,,29
49,Ryne Robinson,Miami (OH),MAC,14,28,480,15.5,2,3,31
50,Martin Nance,Miami (OH),MAC,14,90,1498,16.6,11,,90
51,Devard Darling,Washington State,Pac-10,13,50,835,16.4,7,1,51
52,Steve Savoy,Utah,MWC,12,40,698,15.5,7,5,45
53,Brian Clark,North Carolina State,ACC,13,33,545,16.0,2,1,34
54,Kyle Brown,Michigan State,Big Ten,12,29,481,16.6,3,,29
55,Mike Brake,Akron,MAC,12,27,451,16.1,5,1,28
56,Derrick Hamilton,Clemson,ACC,13,62,1137,14.4,10,17,79
57,Jason Avant,Michigan,Big Ten,12,47,772,16.4,2,,47
58,Ben Troupe,Florida,SEC,13,39,638,16.4,5,,39
59,Drew Carter,Ohio State,Big Ten,8,25,423,15.7,1,2,27
60,Derek Hagan,Arizona State,Pac-10,12,66,1076,16.3,9,,66
61,Jeremiah Cockheran,Hawaii,WAC,12,61,997,16.3,9,,61
62,Ronshay Jenkins,New Mexico State,Sun Belt,12,57,933,15.8,4,2,59
64,J.R. Russell,Louisville,CUSA,13,75,1213,16.2,8,,75
65,Devery Henderson,LSU,SEC,14,53,898,14.7,11,8,61
66,Steve Suter,Maryland,ACC,12,29,529,14.7,1,7,36
67,James Newson,Oregon State,Pac-10,12,81,1311,16.0,3,1,82
68,Ernest Wilford,Virginia Tech,Big East,13,55,886,16.1,3,,55
69,Chris Bernard,Kentucky,SEC,12,33,546,15.6,5,2,35
70,Elgin Hicks,South Florida,CUSA,10,28,451,16.1,7,,28
71,Aaron Hosack,Minnesota,Big Ten,13,51,814,16.0,8,,51
72,Jerricho Cotchery,North Carolina State,ACC,13,86,1401,15.1,10,7,93
73,Romby Bryant,Tulsa,WAC,13,47,770,14.0,8,8,55
74,Jovon Bouknight,Wyoming,MWC,12,47,856,13.6,8,16,63
75,Cory Rodgers,Texas Christian,CUSA,13,37,629,11.6,8,17,54
76,Mark Bradford,Stanford,Pac-10,11,37,596,15.7,3,1,38
77,T.J. Williams,North Carolina State,ACC,13,28,444,15.9,3,,28
78,Dre Fulgham,Alabama,SEC,13,30,472,15.2,4,1,31
79,Carlos Francis,Texas Tech,Big 12,13,75,1219,14.7,9,8,83
80,Frederick Stamps,Louisiana,Sun Belt,12,62,984,15.1,7,3,65
81,Grant Adams,Boston College,Big East,13,46,717,15.3,5,1,47
82,Erik Davis,Vanderbilt,SEC,12,41,638,15.6,8,,41
83,Ricky Williams,Arizona,Pac-10,12,36,563,15.6,2,,36
85,Jarrett Hicks,Texas Tech,Big 12,13,32,498,15.6,5,,32
86,D'Juan Woods,Oklahoma State,Big 12,12,31,479,15.5,1,,31
87,Roy Williams,Texas,Big 12,13,70,1115,15.1,9,4,74
88,Brandon Jones,Oklahoma,Big 12,14,46,709,15.1,8,1,47
89,Mark Jones,Tennessee,SEC,13,36,621,14.4,5,7,43
90,Fred Gibson,Georgia,SEC,11,36,553,15.4,3,,36
91,Maurice Brown,Iowa,Big Ten,8,33,502,14.8,4,1,34
92,Joshua Tinch,Louisville,CUSA,13,26,401,15.4,1,,26
93,Brandon Smith,Vanderbilt,SEC,12,39,615,14.3,2,4,43
94,Roydell Williams,Tulane,CUSA,12,66,1006,15.2,9,,66
95,Michael Jenkins,Ohio State,Big Ten,13,55,834,15.2,7,,55
96,Kelvin Kight,Florida,SEC,13,39,598,15.0,3,1,40
