,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Ryan Dinwiddie,Boise State,WAC,14,276,81,61.9,43,9.8,10.5,12,7,163.7,0.5
2,Bradlee Van Pelt,Colorado State,MWC,13,180,170,60.6,909,9.6,8.9,10,13,153.4,5.3
3,Asad Abdul-Khaliq,Minnesota,Big Ten,13,158,88,63.2,370,9.6,10.1,4,5,162.3,4.2
4,Philip Rivers,North Carolina State,ACC,13,348,78,72.0,109,9.3,10.1,3,7,170.5,1.4
5,Ben Roethlisberger,Miami (OH),MAC,14,342,67,69.1,111,9.1,9.6,3,10,165.8,1.7
6,Bill Whittemore,Kansas,Big 12,10,159,127,60.5,534,9.1,9.4,10,6,154.7,4.2
7,Jim Sorgi,Wisconsin,Big Ten,12,140,67,56.5,-10,9.1,8.8,2,9,148.1,-0.1
8,Rod Rutherford,Pitt,Big East,13,247,136,59.8,150,8.9,9.2,2,14,157.4,1.1
9,Matt Leinart,USC,Pac-10,13,255,32,63.4,-62,8.8,9.7,0,9,164.5,-1.9
10,Stefan Lefors,Louisville,CUSA,13,219,71,61.3,405,8.8,8.5,3,10,145.5,5.7
11,Kevin Kolb,Houston,CUSA,13,220,139,61.1,346,8.7,9.3,7,6,153.8,2.5
12,Ell Roberson,Kansas State,Big 12,13,152,227,51.7,975,8.7,8.5,15,12,143.2,4.3
13,Jason White,Oklahoma,Big 12,14,278,42,61.6,-150,8.5,9.3,1,10,158.1,-3.6
14,Scott McBrien,Maryland,ACC,13,173,82,55.1,259,8.5,8.9,6,6,142.7,3.2
15,Brandon Hassell,Texas Christian,CUSA,10,136,120,56.7,369,8.5,7.8,5,8,135.1,3.1
16,Charlie Frye,Akron,MAC,12,273,111,64.8,288,8.4,8.5,7,9,148.6,2.6
17,Alex Smith,Utah,MWC,11,173,149,65.0,452,8.4,9.1,5,3,152.3,3.0
18,Brian Lindgren,Idaho,Sun Belt,11,147,15,59.8,-42,8.4,8.2,0,8,144.3,-2.8
19,Bruce Gradkowski,Toledo,MAC,12,277,91,71.2,504,8.3,8.9,1,7,161.5,5.5
20,Aaron Rodgers,California,Pac-10,13,215,86,61.6,210,8.3,8.8,5,5,146.6,2.4
22,Matt Jones,Arkansas,SEC,13,132,96,57.4,707,8.3,8.5,8,7,147.1,7.4
23,Eli Manning,Ole Miss,SEC,13,275,48,62.4,-28,8.2,8.5,3,10,148.1,-0.6
24,B.J. Symons,Texas Tech,Big 12,13,470,79,65.4,143,8.1,8.2,5,22,151.3,1.8
25,Chris Rix,Florida State,ACC,13,216,89,56.5,130,8.1,7.8,5,13,137.9,1.5
26,Casey Kelly,New Mexico,MWC,13,146,110,53.3,231,8.1,7.7,1,9,131.7,2.1
27,Bryan Randall,Virginia Tech,Big East,13,150,82,61.2,404,8.1,7.5,5,10,141.7,4.9
28,Reggie McNeal,Texas A&M,Big 12,12,113,127,51.1,370,8.1,7.4,4,7,124.5,2.9
29,Derek Anderson,Oregon State,Pac-10,13,261,57,51.2,-125,8.0,6.8,4,24,124.1,-2.2
30,Rasheed Marshall,West Virginia,Big East,12,109,101,50.7,303,8.0,7.8,4,8,133.8,3.0
31,Matt Mauck,LSU,SEC,14,229,79,64.0,97,7.9,7.7,1,14,148.2,1.2
32,Kellen Clemens,Oregon,Pac-10,13,182,78,59.9,108,7.9,7.7,2,9,139.8,1.4
33,Josh Harris,Bowling Green State,MAC,14,325,215,65.8,830,7.7,7.7,13,12,143.8,3.9
34,Charlie Whitehurst,Clemson,ACC,13,288,92,61.9,49,7.7,7.3,4,13,135.6,0.5
35,Jason Campbell,Auburn,SEC,13,181,73,61.8,-1,7.7,7.2,1,8,132.6,0.0
36,David Greene,Georgia,SEC,14,264,69,60.3,-180,7.6,7.0,1,11,128.5,-2.6
37,Josh Haldi,Northern Illinois,MAC,12,199,75,59.2,-65,7.6,7.9,3,9,142.0,-0.9
38,Chris Leak,Florida,SEC,13,190,68,59.4,-53,7.6,7.1,2,11,132.9,-0.8
39,Luke McCown,Louisiana Tech,WAC,12,246,71,56.9,-80,7.5,6.9,1,14,128.1,-1.1
40,Matt Kegel,Washington State,Pac-10,13,218,58,55.3,-49,7.5,6.8,1,15,128.1,-0.8
41,Dustin Almond,Southern Mississippi,CUSA,13,121,92,48.2,156,7.5,7.3,3,7,122.5,1.7
43,Josh Fields,Oklahoma State,Big 12,13,184,37,54.4,-54,7.4,7.0,0,12,129.8,-1.5
44,Dan Orlovsky,Connecticut,Ind,12,279,30,58.7,-41,7.3,7.4,0,14,137.4,-1.4
45,John Navarre,Michigan,Big Ten,13,270,48,59.2,-91,7.3,7.4,0,10,133.6,-1.9
46,J.P. Losman,Tulane,CUSA,12,251,77,59.5,80,7.3,7.4,2,14,139.9,1.0
47,Matt Schaub,Virginia,ACC,11,281,26,69.7,-23,7.3,7.1,1,10,141.0,-0.9
48,Joel Klatt,Colorado,Big 12,11,233,68,65.1,-91,7.3,7.2,1,10,140.2,-1.3
49,Craig Krenzel,Ohio State,Big Ten,11,153,109,55.0,255,7.3,6.8,3,10,127.3,2.3
50,Danny Wimprine,Memphis,CUSA,13,246,40,55.9,-3,7.2,6.9,4,13,127.1,-0.1
51,Andrew Walter,Arizona State,Pac-10,12,221,33,52.5,-125,7.2,7.3,0,10,127.3,-3.8
52,Casey Clausen,Tennessee,SEC,13,233,64,56.6,-45,7.2,7.5,2,9,134.3,-0.7
53,Jay Cutler,Vanderbilt,SEC,12,187,115,57.2,299,7.2,6.5,1,13,127.7,2.6
54,Cory Randolph,Wake Forest,ACC,12,144,94,58.5,404,7.2,6.0,5,10,121.7,4.3
55,Casey Bramlet,Wyoming,MWC,12,241,98,56.7,-101,7.1,7.2,3,9,129.6,-1.0
56,Quinton Porter,Boston College,Big East,10,140,78,56.0,159,7.1,7.1,2,6,129.0,2.0
57,Timmy Chang,Hawaii,WAC,13,353,43,58.7,-60,7.0,6.5,1,20,126.7,-1.4
58,Jeff Smoker,Michigan State,Big Ten,13,302,63,61.9,-116,7.0,6.5,3,14,128.8,-1.8
59,Kyle Orton,Purdue,Big Ten,13,251,112,60.6,237,7.0,6.9,3,7,127.7,2.1
60,Andy Heiser,Nevada,WAC,12,164,61,50.3,173,7.0,6.2,1,12,115.2,2.8
61,R.J. Anderson,Syracuse,Big East,12,186,99,60.0,262,7.0,6.5,5,8,124.1,2.6
62,Scott Rislov,San Jose State,WAC,11,261,53,59.7,-31,6.9,7.2,0,5,129.0,-0.6
64,Brock Berlin,Miami (FL),Big East,13,211,32,59.9,-62,6.9,5.4,0,17,119.3,-1.9
65,Andrico Hines,Middle Tennessee State,Sun Belt,11,153,107,60.5,315,6.9,6.9,6,3,125.1,2.9
66,Ryan Hart,Rutgers,Big East,12,234,40,58.8,-176,6.8,5.4,1,19,119.0,-4.4
67,Brodie Croyle,Alabama,SEC,12,182,72,53.4,8,6.8,6.0,0,13,118.0,0.1
68,Cody Pickett,Washington,Pac-10,12,257,80,56.6,-61,6.7,6.1,3,13,118.1,-0.8
69,Travis Cox,Utah State,Sun Belt,12,235,102,56.6,53,6.7,6.8,4,7,124.1,0.5
70,Joshua Cribbs,Kent State,MAC,12,178,161,48.9,701,6.7,6.3,14,9,112.6,4.4
71,James Kilian,Tulsa,WAC,13,188,133,56.8,605,6.7,6.5,7,11,128.3,4.5
72,Talmadge Hill,Ball State,MAC,12,154,90,60.9,268,6.7,6.6,2,6,129.2,3.0
73,Orlando Cruz,UTEP,WAC,11,103,71,50.7,147,6.7,4.9,5,11,105.9,2.1
74,Darian Durant,North Carolina,ACC,12,234,91,60.2,396,6.6,6.3,6,10,125.4,4.4
75,Jared Lorenzen,Kentucky,SEC,12,191,89,56.8,75,6.6,6.5,5,8,123.3,0.8
76,Dondrial Pinkins,South Carolina,SEC,12,162,95,50.3,254,6.6,6.0,5,9,110.5,2.7
77,Nathan Chandler,Iowa,Big Ten,13,165,89,53.7,138,6.6,6.4,6,10,122.4,1.6
78,Gino Guidugli,Cincinnati,CUSA,12,227,76,53.4,166,6.4,6.0,0,10,113.0,2.2
79,Drew Olson,UCLA,Pac-10,12,173,74,53.2,-181,6.4,5.7,1,9,111.3,-2.4
80,Graham Gochneaur,Marshall,MAC,11,121,54,66.1,264,6.4,4.7,2,10,121.2,4.9
81,Brett Basanez,Northwestern,Big Ten,13,162,128,53.6,219,6.3,4.8,2,12,103.4,1.7
82,Kris Heavner,Arizona,Pac-10,9,121,31,51.1,33,6.3,4.2,0,15,102.7,1.1
83,Desmond Robinson,East Carolina,CUSA,9,133,68,66.2,127,6.3,4.1,2,11,112.9,1.9
85,Aaron Karas,Baylor,Big 12,10,135,59,56.5,-185,6.2,5.0,0,11,113.1,-3.1
86,Derrick Vickers,Central Michigan,MAC,11,118,48,54.6,45,6.2,5.8,0,7,117.3,0.9
87,Kevin Fant,Mississippi State,SEC,12,186,70,53.0,-149,6.1,4.2,2,21,105.7,-2.1
88,Matt LoVecchio,Indiana,Big Ten,11,155,97,53.3,-7,6.1,4.9,2,9,101.8,-0.1
89,Walter Washington,Temple,Big East,12,110,156,53.1,579,6.1,5.6,6,6,111.4,3.7
90,Steven Jyles,Louisiana-Monroe,Sun Belt,11,201,62,55.8,59,5.9,5.1,1,12,111.3,1.0
91,Mike Schneider,Duke,ACC,10,97,84,46.6,181,5.9,5.0,1,6,96.5,2.2
92,Jordan Palmer,UTEP,WAC,10,98,67,49.5,110,5.9,3.7,3,13,97.6,1.6
93,Kurt Nantkes,UNLV,MWC,11,167,27,51.7,-135,5.8,5.2,0,10,106.7,-5.0
94,Jerry Babb,Louisiana,Sun Belt,11,146,68,56.4,232,5.8,4.9,5,8,106.6,3.4
95,Austin Flynn,Iowa State,Big 12,11,99,124,46.7,396,5.8,4.2,2,10,94.1,3.2
96,Reggie Ball,Georgia Tech,ACC,13,181,139,51.7,384,5.7,4.9,3,11,102.8,2.8
97,Brad Smith,Missouri,Big 12,12,194,192,60.6,1310,5.7,5.5,17,6,116.0,6.8
98,Chris Lewis,Stanford,Pac-10,9,100,44,48.3,-11,5.7,4.5,2,9,100.2,-0.3
99,Elliot Jacobs,Arkansas State,Sun Belt,12,145,52,53.1,217,5.6,4.2,3,13,103.0,4.2
