,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Rex Grossman,Florida,SEC,11,259,34,65.6,8,9.9,10.2,5,12,170.8,0.2
2,Jeff Smoker,Michigan State,Big Ten,11,166,81,63.4,-58,9.8,10.1,2,8,166.4,-0.7
3,Chris Rix,Florida State,ACC,11,165,99,57.7,389,9.6,9.2,3,13,156.6,3.9
4,Ryan Dinwiddie,Boise State,WAC,11,201,71,62.4,97,9.5,9.7,3,11,164.7,1.4
5,David Carr,Fresno State,WAC,14,344,94,64.5,67,9.1,10.0,5,9,165.9,0.7
6,Rohan Davey,LSU,SEC,12,217,38,59.1,4,9.1,8.9,0,10,146.5,0.1
7,Jeff Krohn,Arizona State,Pac-10,10,115,46,54.0,-15,9.1,9.4,1,7,153.4,-0.3
8,Wes Counts,Middle Tennessee State,Sun Belt,11,188,67,72.6,144,9.0,9.6,3,4,166.6,2.1
9,Cory Paus,UCLA,Pac-10,10,101,39,52.1,-163,9.0,7.9,1,8,132.8,-4.2
10,Byron Leftwich,Marshall,MAC,12,315,64,67.0,92,8.8,9.7,2,7,164.6,1.4
11,Brandon Doman,Brigham Young,MWC,13,261,141,64.0,503,8.7,9.4,8,8,159.7,3.6
12,David Greene,Georgia,SEC,11,192,47,59.3,41,8.6,8.4,1,9,143.3,0.9
13,Steve Bellisari,Ohio State,Big Ten,9,98,72,53.0,97,8.6,8.0,2,6,133.4,1.3
14,Casey Clausen,Tennessee,SEC,12,227,64,64.1,-36,8.4,8.5,3,9,150.0,-0.6
15,Nick Rolovich,Hawaii,WAC,10,233,49,57.5,4,8.3,9.0,0,9,150.5,0.1
16,Ken Dorsey,Miami (FL),Big East,11,184,12,57.9,3,8.3,8.5,0,9,146.1,0.3
17,Darian Durant,North Carolina,ACC,12,142,58,63.7,128,8.3,7.8,2,10,149.3,2.2
18,Ryan Schneider,UCF,Ind,11,204,37,57.1,-44,8.2,8.0,4,9,136.6,-1.2
19,Ben Roethlisberger,Miami (OH),MAC,12,241,120,63.3,189,8.1,7.9,3,13,146.5,1.6
20,Gino Guidugli,Cincinnati,CUSA,10,185,47,58.4,-75,8.1,7.8,1,9,137.5,-1.6
22,George Godsey,Georgia Tech,ACC,12,249,66,64.8,-45,8.0,7.7,4,11,142.1,-0.7
23,Dave Ragone,Louisville,CUSA,12,231,92,60.3,66,8.0,8.4,3,7,143.5,0.7
24,Jason Gesser,Washington State,Pac-10,12,199,86,53.1,101,8.0,7.9,2,13,136.4,1.2
25,Kurt Kittner,Illinois,Big Ten,11,207,38,55.3,-4,8.0,7.7,2,13,135.9,-0.1
26,Cody Pickett,Washington,Pac-10,10,169,83,56.1,60,8.0,6.6,5,14,124.9,0.7
27,Tavares Bolden,Toledo,MAC,10,200,62,68.7,236,8.0,8.1,3,5,147.3,3.8
28,Kyle McCann,Iowa,Big Ten,12,167,58,66.3,78,8.0,7.4,3,11,146.1,1.3
29,Eric Crouch,Nebraska,Big 12,12,105,203,55.6,1115,8.0,6.3,18,10,124.3,5.5
30,Kevin Fant,Mississippi State,SEC,9,94,26,55.3,9,8.0,6.5,0,9,127.0,0.3
31,Jason Johnson,Arizona,Pac-10,11,169,42,56.7,-91,7.9,7.2,2,13,135.2,-2.2
32,John Welsh,Idaho,Sun Belt,11,183,48,64.4,-61,7.8,8.3,0,5,147.3,-1.3
33,Jonathan Smith,Oregon State,Pac-10,11,180,33,56.8,-141,7.7,7.1,1,10,129.4,-4.3
34,David Garrard,East Carolina,CUSA,11,164,116,56.6,194,7.7,7.2,6,9,130.2,1.7
35,Tyler Watts,Alabama,SEC,9,94,111,54.7,564,7.7,8.1,5,3,135.1,5.1
36,Joey Harrington,Oregon,Pac-10,12,214,55,58.8,56,7.6,8.3,7,6,143.8,1.0
37,Woodrow Dantzler,Clemson,ACC,11,188,206,60.5,1004,7.6,7.1,10,11,135.2,4.9
38,David Priestley,Pitt,Big East,11,165,56,58.9,53,7.6,7.6,2,8,138.3,0.9
39,Seneca Wallace,Iowa State,Big 12,11,167,114,62.1,475,7.6,6.9,7,9,132.7,4.2
40,Brian Lindgren,Idaho,Sun Belt,11,126,18,59.2,-24,7.6,6.4,0,10,128.8,-1.3
41,David Neill,Nevada,WAC,9,138,83,53.9,319,7.5,7.5,3,5,127.1,3.8
43,Scott Hall,North Texas,Sun Belt,11,102,86,52.6,143,7.5,6.7,4,11,133.1,1.7
44,James MacPherson,Wake Forest,ACC,11,113,63,54.1,111,7.4,5.6,1,11,113.9,1.8
45,Asad Abdul-Khaliq,Minnesota,Big Ten,11,107,69,57.2,266,7.4,7.3,3,6,134.6,3.9
46,Marcus Arroyo,San Jose State,WAC,11,141,11,54.0,-13,7.3,5.8,0,14,120.1,-1.2
47,Zack Mills,Penn State,Big Ten,10,127,74,55.2,187,7.3,5.7,3,12,118.7,2.5
48,Eli Manning,Ole Miss,SEC,11,259,34,63.5,9,7.2,7.8,0,9,144.8,0.3
49,Carson Palmer,USC,Pac-10,12,221,88,58.6,34,7.2,6.5,1,12,124.2,0.4
50,Jeff Kelly,Southern Mississippi,CUSA,11,214,95,59.1,32,7.2,6.7,3,11,127.3,0.3
51,Chris Simms,Texas,Big 12,12,214,52,59.1,-10,7.2,7.0,6,11,133.5,-0.2
52,Shaun Hill,Maryland,ACC,11,197,116,59.9,309,7.2,6.8,7,9,128.2,2.7
53,Brian St. Pierre,Boston College,Big East,11,149,67,53.4,217,7.2,7.4,0,10,136.5,3.2
54,Wesley Phillips,UTEP,WAC,11,143,49,55.6,-133,7.2,6.0,2,11,120.0,-2.7
55,Grant Noel,Virginia Tech,Big East,11,146,61,57.5,-14,7.2,6.5,2,11,130.0,-0.2
56,Casey Printers,Texas Christian,CUSA,10,136,69,54.0,87,7.2,6.8,3,8,125.4,1.3
57,Antwaan Randle El,Indiana,Big Ten,11,118,188,51.1,964,7.2,7.0,8,5,120.1,5.1
58,Luke McCown,Louisiana Tech,WAC,11,277,87,59.1,144,7.1,7.0,4,14,132.6,1.7
59,Jose Fuentes,Utah State,Ind,11,260,49,59.5,-180,7.1,6.3,0,18,129.0,-3.7
60,Casey Bramlet,Wyoming,MWC,11,225,89,52.1,-21,7.1,5.4,6,20,109.4,-0.2
61,Charlie Frye,Akron,MAC,11,170,62,58.8,22,7.1,6.8,3,6,124.6,0.4
62,Philip Rivers,North Carolina State,ACC,11,240,44,65.2,-26,7.0,7.0,2,7,134.8,-0.6
64,Greg Zolman,Vanderbilt,SEC,11,186,69,52.1,-8,7.0,6.7,5,9,119.1,-0.1
65,Jason Thomas,UNLV,MWC,10,83,107,42.8,481,7.0,5.0,4,12,102.6,4.5
66,Lance Rice,Utah,MWC,11,169,28,56.0,-12,6.9,6.3,0,11,124.2,-0.4
67,K.C. Enzminger,New Mexico State,Sun Belt,12,121,83,51.5,331,6.9,5.8,3,8,110.7,4.0
68,Casey Kelly,New Mexico,MWC,9,107,70,47.1,143,6.9,5.2,2,12,105.9,2.0
69,Brock Nutter,Troy,Ind,11,173,84,56.4,-203,6.8,5.8,2,13,120.3,-2.4
70,Danny Wimprine,Memphis,CUSA,9,102,84,52.0,270,6.8,7.3,3,4,128.5,3.2
71,Zak Kustok,Northwestern,Big Ten,11,231,175,57.2,580,6.7,6.5,11,10,124.5,3.3
72,Phil Petty,South Carolina,SEC,12,164,82,56.9,215,6.7,6.4,3,7,122.0,2.6
73,Andy Sahm,Bowling Green State,MAC,10,122,52,61.6,33,6.7,5.5,3,10,126.1,0.6
74,Kliff Kingsbury,Texas Tech,Big 12,11,365,66,69.0,-48,6.6,6.8,0,9,136.8,-0.7
75,Patrick Ramsey,Tulane,CUSA,11,256,45,57.1,-115,6.6,6.2,1,13,122.6,-2.6
76,Talmadge Hill,Ball State,MAC,11,159,98,52.8,79,6.5,5.1,1,15,111.6,0.8
77,Bryson Spinner,Virginia,ACC,11,121,60,58.7,172,6.5,6.5,1,6,129.7,2.9
78,D. Bryant,Duke,ACC,11,187,83,48.7,15,6.4,5.0,3,17,103.0,0.2
79,Kyle Boller,California,Pac-10,10,134,77,49.3,63,6.4,5.6,1,10,110.2,0.8
80,Kelly Robinson,Houston,CUSA,11,149,28,55.8,-93,6.4,6.0,0,6,116.0,-3.3
81,Matt Schaub,Virginia,ACC,12,140,33,58.3,-13,6.4,5.7,2,8,118.8,-0.4
82,Joshua Cribbs,Kent State,MAC,11,131,164,55.0,1019,6.4,6.3,5,5,118.2,6.2
83,Keith Boyea,Air Force,MWC,12,102,230,52.0,1216,6.4,5.6,18,6,109.7,5.3
85,Bradlee Van Pelt,Colorado State,MWC,11,94,100,48.5,546,6.4,4.9,4,10,105.7,5.5
86,Marquel Blackwell,South Florida,Ind,11,258,92,56.6,241,6.3,6.1,9,11,119.3,2.6
87,John Navarre,Michigan,Big Ten,11,186,45,53.8,-100,6.3,5.8,0,12,116.3,-2.2
88,Aso Pogi,Oklahoma State,Big 12,11,179,70,60.5,-8,6.3,5.9,3,7,120.6,-0.1
89,David Page,SMU,WAC,9,104,93,53.9,105,6.3,5.5,3,7,112.9,1.1
90,Chris Finlen,Northern Illinois,MAC,11,166,86,50.2,106,6.2,5.8,4,9,110.3,1.2
91,Chad Jenkins,Army,CUSA,10,156,63,54.5,176,6.2,4.2,4,16,104.7,2.8
92,Jon Van Cleave,Louisiana,Sun Belt,11,224,58,55.0,-26,6.1,5.7,0,10,113.1,-0.4
93,Mark Farris,Texas A&M,Big 12,11,203,47,58.5,-76,6.0,5.3,2,9,111.6,-1.6
94,Mario Kinsey,Kansas,Big 12,10,88,130,43.6,225,6.0,4.3,3,11,94.6,1.7
95,Nate Hybl,Oklahoma,Big 12,11,222,74,58.4,46,5.9,5.1,3,13,113.1,0.6
96,Brandon Hance,Purdue,Big Ten,9,136,112,52.7,242,5.9,4.8,4,10,105.0,2.2
97,Josh Blankenship,Tulsa,WAC,9,128,28,55.7,57,5.9,5.1,0,6,106.9,2.0
98,Joe Freedy,Buffalo,MAC,11,187,64,50.4,-10,5.6,4.3,0,15,98.2,-0.2
99,Kainoa Akina,Eastern Michigan,MAC,11,140,84,52.4,177,5.6,4.8,0,11,108.8,2.1
100,Brad Lewis,West Virginia,Big East,11,135,54,57.0,41,5.6,4.5,1,9,106.6,0.8
101,Nick Eddy,Houston,CUSA,11,99,23,54.4,-35,5.6,4.3,1,8,103.7,-1.5
102,Zak Clark,Arkansas,SEC,10,88,22,49.2,-42,5.6,5.3,0,4,102.7,-1.9
103,Kirk Farmer,Missouri,Big 12,10,135,59,47.4,379,5.5,5.5,3,6,104.4,6.4
104,Lon Sheriff,San Diego State,MWC,11,111,33,47.0,-160,5.5,3.5,0,12,87.2,-4.8
106,Ryan Cubit,Rutgers,Big East,11,120,86,44.8,-99,5.3,2.8,0,19,86.6,-1.2
107,Dan Orlovsky,Connecticut,Ind,10,128,31,47.6,-117,5.1,4.0,2,11,93.5,-3.8
108,Greg Cicero,Baylor,Big 12,10,129,65,50.6,107,4.9,3.0,1,13,89.0,1.6
