,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Rudy Carpenter,Arizona State,Pac-10,9,156,42,68.4,-9,10.0,11.1,1,2,175.0,-0.2
2,Brian Brohm,Louisville,Big East,10,207,41,68.8,-36,9.6,10.1,4,5,166.7,-0.9
3,Troy Smith,Ohio State,Big Ten,11,149,136,62.9,611,9.6,10.2,11,4,162.7,4.5
4,Vince Young,Texas,Big 12,13,212,155,65.2,1050,9.3,9.6,12,10,163.9,6.8
5,Matt Leinart,USC,Pac-10,13,283,51,65.7,36,8.9,9.3,6,8,157.7,0.7
6,John Stocco,Wisconsin,Big Ten,13,197,86,60.1,-32,8.9,8.9,2,9,150.5,-0.4
7,Brian Johnson,Utah,MWC,10,210,152,63.6,478,8.8,8.9,8,7,151.0,3.1
8,Brady Quinn,Notre Dame,Ind,12,292,70,64.9,90,8.7,9.4,1,7,158.4,1.3
9,Drew Stanton,Michigan State,Big Ten,11,236,121,66.7,338,8.7,8.4,4,12,153.4,2.8
10,Justin Holland,Colorado State,MWC,12,235,37,63.7,-174,8.6,8.0,0,15,148.6,-4.7
11,Drew Olson,UCLA,Pac-10,12,242,50,64.0,-48,8.5,9.5,1,6,161.6,-1.0
12,Bryan Cupito,Minnesota,Big Ten,11,176,24,59.3,30,8.5,8.4,0,9,145.9,1.3
13,Colt Brennan,Hawaii,WAC,12,350,99,68.0,154,8.4,8.6,2,13,155.5,1.6
14,Ryan Hart,Rutgers,Big East,10,155,25,60.8,-18,8.4,8.4,0,8,148.1,-0.7
15,Phil Horvath,Northern Illinois,MAC,9,168,34,70.6,21,8.4,8.4,1,8,159.4,0.6
16,D.J. Shockley,Georgia,SEC,12,173,78,55.8,322,8.3,9.2,4,5,148.3,4.1
17,Marcus Vick,Virginia Tech,ACC,13,177,147,61.2,380,8.3,7.9,6,10,143.3,2.6
18,Darrell Hackney,UAB,CUSA,11,242,51,62.7,105,8.2,8.0,1,12,144.5,2.1
19,Jordan Palmer,UTEP,CUSA,12,258,56,59.4,-50,8.1,7.4,2,19,140.5,-0.9
20,Alex Brink,Washington State,Pac-10,11,205,56,57.3,106,8.1,7.8,2,13,140.0,1.9
22,Omar Jacobs,Bowling Green State,MAC,9,195,40,60.7,62,8.1,8.7,1,7,150.9,1.6
23,Sam Hollenbach,Maryland,ACC,11,192,72,61.0,-18,8.1,6.7,2,15,132.8,-0.3
24,Isaiah Stanback,Washington,Pac-10,11,143,100,54.2,353,8.1,7.8,5,6,128.8,3.5
25,Paul Pinegar,Fresno State,WAC,13,265,46,63.7,59,8.0,7.8,3,15,147.6,1.3
26,Drew Tate,Iowa,Big Ten,12,219,44,62.2,41,8.0,8.4,1,7,146.4,0.9
27,Cody Hodges,Texas Tech,Big 12,12,353,109,66.5,191,7.9,8.1,3,12,147.6,1.8
28,JaMarcus Russell,LSU,SEC,12,188,61,60.5,-22,7.9,7.5,2,9,136.6,-0.4
29,Kevin Kolb,Houston,CUSA,12,254,104,60.5,200,7.8,7.1,5,15,133.4,1.9
30,Steven Moffett,UCF,CUSA,13,223,96,59.5,93,7.8,7.9,2,9,139.5,1.0
31,Bret Meyer,Iowa State,Big 12,12,227,133,61.7,123,7.8,7.6,1,10,138.9,0.9
32,Paul Smith,Tulsa,CUSA,13,227,111,62.4,258,7.8,8.2,6,6,142.9,2.3
33,Kyle Wright,Miami (FL),ACC,12,180,64,58.6,-101,7.8,7.5,1,10,137.2,-1.6
34,Jeff Ballard,Texas Christian,MWC,10,139,93,59.9,314,7.8,7.5,8,7,137.6,3.4
35,Matt Ryan,Boston College,ACC,10,121,37,62.1,94,7.8,7.4,5,5,135.7,2.5
36,James Pinkney,East Carolina,CUSA,11,222,95,60.7,193,7.6,7.4,7,8,132.5,2.0
37,Matt Moore,Oregon State,Pac-10,10,211,61,59.4,-100,7.6,5.8,3,19,123.1,-1.6
38,Michael Robinson,Penn State,Big Ten,12,162,163,52.1,806,7.6,7.2,11,10,127.2,4.9
