,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Ryan Schneider,UCF,MAC,12,265,37,61.6,-89,8.8,8.5,2,16,151.6,-2.4
2,Brad Banks,Iowa,Big Ten,13,170,81,57.8,423,8.8,9.8,5,5,157.1,5.2
3,Scott McBrien,Maryland,ACC,14,162,88,57.0,284,8.8,8.3,7,10,141.3,3.2
4,Byron Leftwich,Marshall,MAC,12,331,37,67.4,-1,8.7,9.0,3,10,156.5,0.0
5,Ken Dorsey,Miami (FL),Big East,13,222,23,56.5,-39,8.6,8.6,0,12,145.9,-1.7
6,Bryan Randall,Virginia Tech,Big East,14,158,171,63.7,507,8.6,7.6,3,11,143.1,3.0
7,Jason Gesser,Washington State,Pac-10,13,236,54,58.7,-116,8.5,8.4,0,13,146.4,-2.1
8,Craig Krenzel,Ohio State,Big Ten,14,148,125,59.4,368,8.5,8.2,3,7,140.9,2.9
9,James MacPherson,Wake Forest,ACC,13,123,68,55.2,177,8.2,8.1,1,4,132.6,2.6
10,Carson Palmer,USC,Pac-10,13,309,50,63.2,-122,8.1,8.5,4,10,149.1,-2.4
11,Brian Jones,Toledo,MAC,14,297,85,70.2,414,8.1,8.3,5,9,152.3,4.9
12,Jason Johnson,Arizona,Pac-10,12,239,60,58.3,-373,8.1,7.5,0,13,133.0,-6.2
13,Chris Simms,Texas,Big 12,13,235,70,59.3,-124,8.1,8.0,4,12,143.0,-1.8
14,Andrew Walter,Arizona State,Pac-10,14,274,56,56.7,-216,8.0,7.8,0,15,137.1,-3.9
15,Philip Rivers,North Carolina State,ACC,14,262,57,62.7,100,8.0,7.9,10,10,141.1,1.8
16,Josh Haldi,Northern Illinois,MAC,12,130,59,51.2,-90,8.0,8.1,0,6,133.0,-1.5
17,Nick Eddy,Houston,CUSA,11,134,37,50.6,-39,7.8,5.9,2,18,122.0,-1.1
18,Josh Fields,Oklahoma State,Big 12,13,226,50,55.4,-72,7.7,8.1,3,10,140.3,-1.4
19,David Greene,Georgia,SEC,14,218,65,57.5,-52,7.7,7.9,2,8,137.3,-0.8
20,Jon Beutjer,Illinois,Big Ten,11,193,44,59.0,7,7.7,7.4,2,11,138.0,0.2
21,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
22,Zack Threadgill,Nevada,WAC,12,275,62,61.0,116,7.6,7.0,1,17,136.1,1.9
23,Ben Roethlisberger,Miami (OH),MAC,12,271,82,63.3,-54,7.6,7.4,1,11,138.7,-0.7
24,Rod Rutherford,Pitt,Big East,13,192,182,52.3,398,7.6,7.3,6,12,129.3,2.2
25,Gino Guidugli,Cincinnati,CUSA,14,258,69,54.7,27,7.5,6.4,3,21,124.2,0.4
26,Jason Fife,Oregon,Pac-10,13,190,76,51.8,67,7.5,7.6,3,10,130.9,0.9
27,Dustin Long,Texas A&M,Big 12,12,177,49,53.2,13,7.5,6.5,1,16,125.7,0.3
28,Chris Rix,Florida State,ACC,11,118,86,52.4,289,7.5,7.2,3,7,128.2,3.4
29,Derek Anderson,Oregon State,Pac-10,13,211,45,47.0,-231,7.4,7.2,2,13,121.6,-5.1
30,Charlie Frye,Akron,MAC,12,250,102,65.8,125,7.4,7.2,7,9,136.5,1.2
31,Casey Clausen,Tennessee,SEC,11,194,61,62.6,-7,7.4,7.1,1,7,132.0,-0.1
32,Corey Jenkins,South Carolina,SEC,12,100,160,55.6,655,7.4,5.7,4,10,119.5,4.1
33,Cody Pickett,Washington,Pac-10,13,365,86,59.6,-185,7.3,7.2,3,14,131.4,-2.2
34,Seneca Wallace,Iowa State,Big 12,14,244,123,55.1,437,7.3,6.2,8,18,119.7,3.6
35,Brian St. Pierre,Boston College,Big East,13,237,68,58.2,126,7.3,6.3,1,17,126.0,1.9
36,Paul Pinegar,Fresno State,WAC,14,230,65,57.1,-131,7.3,7.1,1,10,129.5,-2.0
37,Zack Mills,Penn State,Big Ten,13,188,87,56.5,201,7.3,6.9,3,10,128.3,2.3
38,Timmy Chang,Hawaii,WAC,14,349,39,55.9,-17,7.2,6.4,1,22,122.3,-0.4
39,Jose Fuentes,Utah State,Ind,11,246,57,54.2,-104,7.2,6.6,0,15,122.6,-1.8
40,Adam Hall,San Diego State,MWC,11,272,64,60.2,-110,7.2,7.1,0,9,129.1,-1.7
41,Scott Rislov,San Jose State,WAC,13,275,72,61.2,13,7.2,6.8,0,14,132.0,0.2
42,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
43,Brian Lindgren,Idaho,Sun Belt,11,240,47,62.8,-97,7.2,7.0,0,10,134.8,-2.1
44,Gibran Hamdan,Indiana,Big Ten,12,152,55,51.9,-52,7.2,5.7,1,14,113.1,-0.9
45,Bradlee Van Pelt,Colorado State,MWC,14,150,150,52.3,819,7.2,6.8,11,7,119.6,5.5
46,Brooks Bollinger,Wisconsin,Big Ten,13,131,160,53.5,466,7.2,7.6,8,4,129.3,2.9
47,Andrico Hines,Middle Tennessee State,Sun Belt,11,142,150,58.4,486,7.2,6.4,10,7,121.4,3.2
48,Eli Manning,Ole Miss,SEC,13,279,39,58.0,-120,7.1,6.5,2,15,125.6,-3.1
49,Casey Bramlet,Wyoming,MWC,12,277,101,59.7,35,7.1,6.4,5,18,128.6,0.3
50,Matt Schaub,Virginia,ACC,14,288,70,68.9,95,7.1,7.7,2,7,147.5,1.4
51,Kyle Orton,Purdue,Big Ten,13,192,43,60.6,47,7.1,6.7,0,9,128.2,1.1
52,Jason Thomas,UNLV,MWC,11,134,124,48.9,448,7.1,6.5,9,7,112.8,3.6
53,Aaron Karas,Baylor,Big 12,11,150,95,59.8,-3,7.1,5.3,1,13,117.3,0.0
54,Micky D'Angelo,Southern Mississippi,CUSA,12,122,61,52.6,-21,7.1,6.2,0,8,115.3,-0.3
55,Kliff Kingsbury,Texas Tech,Big 12,14,479,102,67.3,-114,7.0,7.5,2,13,143.7,-1.1
56,Luke McCown,Louisiana Tech,WAC,12,296,61,58.6,30,7.0,6.1,2,19,122.4,0.5
57,Nate Hybl,Oklahoma,Big 12,14,209,63,57.6,-54,7.0,7.3,1,8,133.7,-0.9
58,Asad Abdul-Khaliq,Minnesota,Big Ten,12,165,86,52.4,322,7.0,6.6,5,11,123.7,3.7
59,Chad Munson,Western Michigan,MAC,12,162,34,52.4,-120,7.0,5.4,0,17,115.1,-3.5
60,Carlyle Holiday,Notre Dame,Ind,12,129,92,50.2,200,7.0,6.9,3,5,117.6,2.2
61,Josh Harris,Bowling Green State,MAC,12,198,186,56.1,737,6.9,6.5,20,11,125.3,4.0
62,Jared Lorenzen,Kentucky,SEC,12,183,60,56.0,-51,6.9,7.7,0,5,135.4,-0.9
63,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
64,Rex Grossman,Florida,SEC,13,287,58,57.1,-65,6.8,6.1,1,17,121.5,-1.1
65,Dan Orlovsky,Connecticut,Ind,12,221,50,60.4,-86,6.8,6.5,4,11,128.6,-1.7
66,Brett Basanez,Northwestern,Big Ten,10,190,67,58.5,96,6.8,6.2,4,7,118.2,1.4
67,Elliot Jacobs,Arkansas State,Sun Belt,13,136,82,52.7,193,6.8,6.1,6,7,113.2,2.4
68,Matt Jones,Arkansas,SEC,14,122,129,52.1,614,6.8,6.6,5,8,125.0,4.8
69,Jay Cutler,Vanderbilt,SEC,11,103,123,48.6,393,6.8,5.8,9,9,112.4,3.2
70,Troy Nunes,Syracuse,Big East,9,115,51,58.1,24,6.8,6.0,0,7,121.1,0.5
71,Kyle Boller,California,Pac-10,12,225,72,53.4,-83,6.7,6.9,3,10,126.8,-1.2
72,Troy Edwards,Eastern Michigan,MAC,12,232,45,56.6,-95,6.7,5.8,0,18,122.1,-2.1
73,Darrell Hackney,UAB,CUSA,11,149,85,50.9,-14,6.7,6.6,2,7,118.5,-0.2
74,Sean Stilley,Texas Christian,CUSA,9,114,65,55.9,86,6.7,4.9,1,11,111.3,1.3
75,Jon Van Cleave,Louisiana,Sun Belt,11,169,64,53.5,-50,6.6,5.0,0,15,108.7,-0.8
76,Adam Smith,Duke,ACC,12,174,62,56.5,-119,6.6,6.1,0,9,118.9,-1.9
77,Andy Roesch,Ball State,MAC,9,113,33,55.9,68,6.6,6.6,1,7,129.3,2.1
78,John Navarre,Michigan,Big Ten,13,248,40,55.4,-16,6.5,6.7,2,7,122.2,-0.4
79,Dave Ragone,Louisville,CUSA,13,237,131,53.7,248,6.5,6.5,0,11,121.6,1.9
80,Danny Wimprine,Memphis,CUSA,12,235,98,54.0,40,6.5,5.7,2,18,117.7,0.4
81,Marquel Blackwell,South Florida,Ind,11,230,89,57.1,302,6.4,7.0,5,3,124.3,3.4
82,Brad Smith,Missouri,Big 12,12,196,193,53.6,1029,6.4,6.5,7,6,117.3,5.3
83,Paul Troth,East Carolina,CUSA,12,177,61,49.3,-210,6.4,4.8,1,20,106.1,-3.4
84,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
85,Willie Simmons,Clemson,ACC,10,142,59,58.2,49,6.4,5.6,1,7,114.2,0.8
86,Steven Jyles,Louisiana-Monroe,Sun Belt,12,181,85,49.2,165,6.3,6.1,3,9,112.4,1.9
87,J.P. Losman,Tulane,CUSA,13,230,88,57.4,19,6.2,6.0,6,10,119.7,0.2
88,A.J. Suggs,Georgia Tech,ACC,13,208,52,57.3,21,6.2,5.0,0,15,111.8,0.4
89,Kevin Fant,Mississippi State,SEC,10,163,61,52.4,-69,6.2,5.1,0,12,107.1,-1.1
90,Rasheed Marshall,West Virginia,Big East,13,139,173,53.7,666,6.2,6.1,13,5,113.7,3.8
91,Robert Hodge,Colorado,Big 12,13,137,73,53.1,88,6.2,5.7,2,9,115.1,1.2
92,Tyler Gooch,Tulsa,WAC,11,190,127,54.6,219,6.0,6.0,1,8,116.8,1.7
93,Casey Kelly,New Mexico,MWC,12,163,108,57.8,229,5.9,5.9,6,6,118.4,2.1
94,Derrick Vickers,Central Michigan,MAC,12,175,62,54.7,105,5.7,5.6,4,5,108.8,1.7
95,Kyle Matter,Stanford,Pac-10,10,116,68,54.2,64,5.7,4.3,2,10,105.0,0.9
96,Mike McGann,Temple,Big East,12,173,95,49.0,200,5.6,3.6,3,22,96.1,2.1
97,Zac Dahman,Army,CUSA,10,89,24,48.4,-71,5.6,4.0,0,9,95.0,-3.0
98,Bill Whittemore,Kansas,Big 12,9,151,137,49.5,549,5.5,5.3,11,6,103.4,4.0
99,Joshua Cribbs,Kent State,MAC,10,91,137,48.9,1057,5.5,2.5,10,14,86.8,7.7
100,Hansell Bearden,Troy,Ind,12,125,98,43.4,211,5.1,3.0,2,16,81.8,2.2
101,Randall Secky,Buffalo,MAC,12,204,59,48.5,-153,4.8,4.0,0,13,91.9,-2.6
102,Tate Wallis,SMU,WAC,12,83,72,45.6,232,4.6,2.4,0,10,78.5,3.2
