,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Chris Weinke,Florida State,ACC,12,266,30,61.7,-97,9.7,10.1,1,11,163.1,-3.2
2,Bart Hendricks,Boise State,Big West,11,210,85,60.5,269,9.7,10.7,6,8,170.6,3.2
3,John Turman,Pitt,Big East,11,128,65,54.9,-18,9.2,9.4,1,7,151.4,-0.3
4,Casey Printers,Texas Christian,WAC,11,102,84,58.0,265,9.0,9.3,4,6,156.7,3.2
5,Rex Grossman,Florida,SEC,11,131,27,61.8,-76,8.8,9.3,0,7,161.8,-2.8
6,Mike Thiessen,Air Force,MWC,11,112,179,57.4,713,8.7,8.8,10,5,147.0,4.0
7,Ken Dorsey,Miami (FL),Big East,11,188,16,58.4,-23,8.5,9.4,1,5,152.3,-1.4
8,Jason Thomas,UNLV,MWC,11,106,138,52.7,599,8.5,7.9,11,9,138.1,4.3
9,Jonathan Beasley,Kansas State,Big 12,13,156,149,49.8,499,8.4,8.1,17,10,132.1,3.3
10,George Godsey,Georgia Tech,ACC,11,222,55,63.6,39,8.3,8.9,2,6,151.9,0.7
11,Jonathan Smith,Oregon State,Pac-10,12,170,56,50.3,-165,8.2,8.5,0,7,134.6,-2.9
12,Ryan Schneider,UCF,Ind,9,177,27,61.9,-88,8.2,7.9,1,11,147.0,-3.3
13,Butchie Washington,Akron,MAC,11,143,52,50.5,99,8.2,7.6,0,11,131.4,1.9
14,Darnell Arceneaux,Utah,MWC,11,93,79,55.0,285,8.1,6.8,2,8,127.6,3.6
15,Jason Gesser,Washington State,Pac-10,9,128,58,52.0,47,8.0,7.5,2,10,132.5,0.8
16,Chris Finlen,Northern Illinois,MAC,11,131,43,56.7,90,8.0,7.2,5,9,132.2,2.1
17,Travis Cole,Minnesota,Big Ten,9,131,65,58.7,184,8.0,8.0,4,5,137.6,2.8
18,Woodrow Dantzler,Clemson,ACC,11,122,172,57.5,947,8.0,7.6,13,6,134.5,5.5
19,John Welsh,Idaho,Big West,11,251,80,62.9,28,7.9,7.1,1,17,139.3,0.4
20,Rocky Perez,UTEP,WAC,11,200,74,59.2,82,7.9,8.6,6,6,147.1,1.1
22,Tim Hasselbeck,Boston College,Big East,10,124,39,54.1,141,7.9,7.5,1,9,135.7,3.6
23,Matt Newton,Colorado State,MWC,11,198,39,59.3,-151,7.8,7.3,0,13,136.9,-3.9
24,Major Applewhite,Texas,Big 12,9,152,28,54.5,-73,7.8,7.9,1,7,135.9,-2.6
25,Wayne Madkin,Mississippi State,SEC,11,138,69,56.1,179,7.8,6.9,5,8,125.5,2.6
26,Dan Ellis,Virginia,ACC,9,116,56,55.2,81,7.8,7.6,1,4,128.1,1.4
27,Calvin McCall,Maryland,ACC,9,105,52,52.8,58,7.7,6.2,1,9,116.7,1.1
28,Josh Heupel,Oklahoma,Big 12,13,305,83,64.6,167,7.6,7.1,7,15,136.4,2.0
29,Ronald Curry,North Carolina,ACC,11,163,119,53.6,351,7.6,6.6,6,12,121.9,2.9
30,Casey Clausen,Tennessee,SEC,9,121,40,62.4,-42,7.6,7.7,0,6,145.5,-1.1
31,David Garrard,East Carolina,CUSA,11,164,135,52.6,358,7.5,7.1,5,11,128.4,2.7
32,Steve Bellisari,Ohio State,Big Ten,12,163,107,52.6,179,7.5,6.4,1,13,120.9,1.7
33,Lon Sheriff,San Diego State,MWC,10,155,54,53.4,-162,7.5,6.2,1,11,115.3,-3.0
34,Jose Fuentes,Utah State,Big West,10,194,38,52.7,-87,7.4,7.3,0,8,124.6,-2.3
35,Dave Ragone,Louisville,CUSA,11,216,101,61.0,252,7.4,7.5,6,11,142.2,2.5
36,Mark Farris,Texas A&M,Big 12,11,208,60,59.9,116,7.4,6.8,2,9,126.0,1.9
37,David Carr,Fresno State,WAC,11,194,65,61.4,80,7.4,7.0,4,11,135.4,1.2
38,Jesse Palmer,Florida,SEC,10,116,36,52.0,-51,7.4,7.6,6,4,127.0,-1.4
39,Byron Leftwich,Marshall,MAC,12,279,82,61.1,83,7.3,7.4,1,9,134.0,1.0
40,Joey Harrington,Oregon,Pac-10,12,214,66,52.8,124,7.3,6.9,7,14,125.4,1.9
41,Patrick Ramsey,Tulane,CUSA,10,229,39,58.9,53,7.3,6.9,2,14,133.2,1.4
43,Phil Petty,South Carolina,SEC,12,170,60,54.0,59,7.3,6.3,0,10,116.9,1.0
44,Josh Booty,LSU,SEC,10,145,26,50.0,0,7.3,6.2,0,15,120.4,0.0
45,Drew Brees,Purdue,Big Ten,12,309,95,60.4,521,7.2,7.1,5,12,132.6,5.5
46,Jeff Welsh,Western Michigan,MAC,12,207,72,58.5,16,7.2,6.5,2,12,125.9,0.2
47,Marcus Arroyo,San Jose State,WAC,12,166,27,50.9,-37,7.2,6.7,2,10,120.1,-1.4
48,Brooks Bollinger,Wisconsin,Big Ten,12,110,157,52.6,459,7.1,6.5,6,7,121.2,2.9
49,Carson Palmer,USC,Pac-10,12,228,63,54.9,5,7.0,5.8,2,18,118.0,0.1
50,Jeff Kelly,Southern Mississippi,CUSA,11,198,148,58.1,54,7.0,6.5,4,10,125.4,0.4
51,Wes Counts,Middle Tennessee State,Ind,11,127,38,58.3,33,7.0,6.7,0,5,125.0,0.9
52,Philip Rivers,North Carolina State,ACC,11,237,73,53.7,-87,6.9,7.0,2,10,126.1,-1.2
53,Greg Zolman,Vanderbilt,SEC,11,187,46,52.8,-62,6.9,5.9,1,14,115.0,-1.3
54,Sage Rosenfels,Iowa State,Big 12,11,172,78,51.7,381,6.9,5.8,10,12,110.3,4.9
55,Jeff Krohn,Arizona State,Pac-10,10,125,56,49.2,5,6.9,6.8,0,6,118.0,0.1
56,Talmadge Hill,Ball State,MAC,11,130,88,61.3,256,6.9,5.5,1,12,127.9,2.9
57,Jeff Smoker,Michigan State,Big Ten,9,103,73,52.3,-5,6.9,5.9,2,7,113.4,-0.1
58,Ben Leard,Auburn,SEC,12,193,33,60.5,-87,6.8,6.1,3,10,123.5,-2.6
59,Marquel Blackwell,South Florida,Ind,11,171,128,57.8,566,6.8,7.1,3,4,126.8,4.4
60,Romaro Miller,Ole Miss,SEC,11,161,24,54.6,87,6.8,6.2,0,12,123.9,3.6
61,Kurt Kittner,Illinois,Big Ten,10,173,44,58.2,61,6.7,6.7,2,8,128.9,1.4
62,Brad Lewis,West Virginia,Big East,10,108,35,48.4,-26,6.7,6.0,1,7,110.5,-0.7
64,Devin Scott,Temple,Big East,11,136,69,63.0,-6,6.7,5.7,1,7,120.7,-0.1
65,Jared Lorenzen,Kentucky,SEC,11,321,76,57.4,140,6.6,5.6,5,21,116.5,1.8
66,Josh Blankenship,Tulsa,WAC,12,196,81,51.7,-19,6.6,5.8,1,11,109.3,-0.2
67,Zak Kustok,Northwestern,Big Ten,12,206,166,56.7,505,6.6,6.8,9,7,125.4,3.0
68,David Neill,Nevada,WAC,11,179,103,50.7,131,6.6,5.8,4,12,111.6,1.3
69,Marques Tuiasosopo,Washington,Pac-10,11,170,126,52.6,394,6.6,6.0,6,11,115.9,3.1
70,Rudy Caamano,New Mexico,MWC,12,107,109,55.7,86,6.6,6.1,1,7,122.9,0.8
71,Timmy Chang,Hawaii,WAC,10,245,23,52.2,-49,6.5,5.5,2,19,112.0,-2.1
72,Rashard Casey,Penn State,Big Ten,12,163,112,52.8,315,6.5,6.2,5,8,116.9,2.8
73,Cleo Lemon,Arkansas State,Big West,11,173,44,56.5,-48,6.4,6.2,2,7,119.9,-1.1
74,Dylen Smith,Kansas,Big 12,11,140,125,45.8,371,6.4,5.5,9,11,103.2,3.0
75,Antwaan Randle El,Indiana,Big Ten,11,133,218,48.0,1270,6.4,4.9,13,14,103.9,5.8
76,Jason McKinley,Houston,CUSA,11,251,73,58.6,-131,6.3,5.6,1,13,116.3,-1.8
77,Mike Bath,Miami (OH),MAC,11,189,78,49.2,279,6.3,5.0,3,17,104.4,3.6
78,Mike McMahon,Rutgers,Big East,10,169,68,49.7,243,6.3,5.2,3,17,110.5,3.6
79,Deontey Kenner,Cincinnati,CUSA,10,156,32,51.3,6,6.3,5.6,2,9,108.9,0.2
80,Ortege Jenkins,Arizona,Pac-10,11,123,133,47.1,166,6.3,4.9,5,12,102.3,1.2
81,Andrew Zow,Alabama,SEC,10,120,53,48.2,42,6.3,4.2,2,14,97.6,0.8
82,Aso Pogi,Oklahoma State,Big 12,10,139,85,56.3,159,6.3,4.8,6,11,108.1,1.9
83,Charlie Peterson,Brigham Young,MWC,10,149,38,57.3,-78,6.2,5.8,1,5,113.3,-2.1
85,K.C. Enzminger,New Mexico State,Big West,11,111,136,47.0,450,6.2,5.9,1,8,113.0,3.3
86,Darius Outlaw,Missouri,Big 12,10,105,110,46.7,259,6.2,3.8,5,16,97.6,2.4
87,Kyle Boller,California,Pac-10,11,163,65,46.7,-44,6.1,5.3,2,13,104.5,-0.7
88,Joe Freedy,Buffalo,MAC,11,184,55,54.4,-190,6.1,4.5,2,18,108.7,-3.5
89,Andy Sahm,Bowling Green State,MAC,11,123,81,50.4,-76,6.1,5.1,3,9,105.1,-0.9
90,Josh McCown,SMU,WAC,11,169,78,51.1,175,5.9,4.3,3,16,100.3,2.2
91,Robby Hampton,Arkansas,SEC,10,145,29,55.6,-19,5.9,5.5,1,8,115.7,-0.7
92,Derrick Vickers,Central Michigan,MAC,10,83,60,46.1,54,5.9,5.4,1,5,102.8,0.9
