,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
82,Zack Mills,Penn State,Big Ten,10,155,51,57.8,72,6.4,5.1,4,12,113.9,1.4
83,Pat Julmiste,South Florida,CUSA,11,118,96,47.8,193,6.4,5.5,9,8,104.0,2.0
85,Steven Jyles,Louisiana-Monroe,Sun Belt,11,204,150,55.7,587,6.3,5.5,8,12,113.3,3.9
86,Trent Edwards,Stanford,Pac-10,9,148,58,54.6,32,6.3,5.2,1,11,110.7,0.6
87,Brett Basanez,Northwestern,Big Ten,12,247,83,53.7,258,6.2,5.8,5,9,110.2,3.1
88,John Stocco,Wisconsin,Big Ten,12,169,56,52.6,-20,6.2,5.8,4,7,109.8,-0.4
89,Travis Cox,Utah State,Sun Belt,11,179,114,58.5,63,6.2,4.5,2,16,111.2,0.6
90,Jerry Babb,Louisiana,Sun Belt,11,223,101,57.9,498,6.1,5.2,4,13,112.6,4.9
91,Kole McKamey,New Mexico,MWC,11,103,128,49.0,416,6.1,4.7,6,9,100.8,3.3
92,Stan Hill,Marshall,MAC,12,233,59,58.7,-91,6.0,5.3,0,14,117.1,-1.5
93,Ryan Hawk,Ohio,MAC,11,137,91,52.3,-16,6.0,5.8,2,6,111.1,-0.2
94,Mike Schneider,Duke,ACC,11,150,72,59.3,-59,6.0,5.4,2,7,114.9,-0.8
95,Brad Smith,Missouri,Big 12,11,191,165,51.8,553,5.9,5.5,4,11,110.7,3.4
96,Charlie Whitehurst,Clemson,ACC,11,177,81,50.7,43,5.9,4.1,1,17,97.3,0.5
97,Omarr Conner,Mississippi State,SEC,9,107,67,51.9,115,5.9,5.0,1,7,104.7,1.7
98,Kevin O'Connell,San Diego State,MWC,9,115,73,48.7,347,5.6,4.7,1,9,101.0,4.8
99,Casey Paus,Washington,Pac-10,11,116,38,42.3,-63,5.4,3.0,0,17,81.2,-1.7
100,Shane Steichen,UNLV,MWC,9,92,20,49.2,2,5.4,3.7,2,10,96.3,0.1
101,Shane Boyd,Kentucky,SEC,10,138,102,52.5,297,5.0,4.0,5,9,96.8,2.9
