,Player,School,Conf,G,Cmp,Att,Pct,Yds,Y/A,AY/A,TD,Int,Rate,Avg
1,Stefan Lefors,Louisville,CUSA,12,189,71,73.5,333,10.1,11.1,3,3,181.7,4.7
2,Jason Campbell,Auburn,SEC,13,188,58,69.6,30,10.0,10.3,3,7,172.9,0.5
3,Alex Smith,Utah,MWC,12,214,135,67.5,631,9.3,10.8,10,4,176.5,4.7
4,Jared Zabransky,Boise State,WAC,12,206,130,63.0,326,9.0,8.3,13,12,147.0,2.5
5,Bruce Gradkowski,Toledo,MAC,13,280,91,70.2,191,8.8,9.3,9,8,162.6,2.1
6,Jared Allen,Florida Atlantic,Sun Belt,12,177,63,60.8,-13,8.8,8.4,2,8,143.8,-0.2
7,Omar Jacobs,Bowling Green State,MAC,12,309,95,66.9,300,8.7,10.0,4,4,167.2,3.2
8,Donovan Woods,Oklahoma State,Big 12,12,97,123,51.9,436,8.7,8.9,10,5,142.6,3.5
9,Darrell Hackney,UAB,CUSA,12,197,81,55.0,-44,8.6,9.0,2,8,146.6,-0.5
10,David Greene,Georgia,SEC,12,175,23,58.5,-67,8.4,9.1,1,4,148.4,-2.9
11,Jason White,Oklahoma,Big 12,13,255,23,65.4,-56,8.2,9.0,0,9,159.4,-2.4
12,Matt Leinart,USC,Pac-10,13,269,49,65.3,-44,8.1,9.0,3,6,156.5,-0.9
13,Reggie McNeal,Texas A&M,Big 12,12,200,151,58.1,718,8.1,8.4,8,4,137.4,4.8
14,Aaron Rodgers,California,Pac-10,12,209,74,66.1,126,8.1,8.5,3,8,154.3,1.7
15,Lester Ricard,Tulane,CUSA,9,143,36,61.9,14,8.1,8.2,0,9,152.5,0.4
16,Chris Leak,Florida,SEC,12,238,61,59.6,79,8.0,8.1,2,12,144.9,1.3
17,Bryan Cupito,Minnesota,Big Ten,12,123,29,47.1,42,8.0,7.9,0,7,127.0,1.4
18,Josh Betts,Miami (OH),MAC,13,267,83,60.4,86,7.9,7.5,3,14,137.7,1.0
19,Kyle Orton,Purdue,Big Ten,11,236,80,60.7,112,7.9,9.0,3,5,151.1,1.4
20,Buck Pierce,New Mexico State,Sun Belt,11,191,71,67.0,130,7.9,8.2,2,5,148.4,1.8
22,Matt Jones,Arkansas,SEC,11,151,83,57.2,622,7.9,6.9,6,12,132.8,7.5
23,Brandon Hassell,Texas Christian,CUSA,10,123,63,56.7,106,7.9,8.2,4,3,135.9,1.7
24,Kevin Kolb,Houston,CUSA,11,198,118,56.1,51,7.8,7.7,5,6,128.8,0.4
25,Marques Hagans,Virginia,ACC,12,164,77,62.8,394,7.8,7.6,4,5,135.5,5.1
26,Jordan Palmer,UTEP,WAC,12,213,46,58.2,-17,7.7,6.9,1,18,136.5,-0.4
27,Brock Berlin,Miami (FL),ACC,12,195,42,56.0,-53,7.7,8.2,0,6,138.1,-1.3
28,Gino Guidugli,Cincinnati,CUSA,11,210,43,61.4,90,7.7,8.2,1,8,146.5,2.1
29,Jay Cutler,Vanderbilt,SEC,11,147,109,61.0,349,7.7,7.5,6,5,134.8,3.2
30,Scott Hall,North Texas,Sun Belt,12,134,61,56.5,11,7.7,8.1,1,4,137.1,0.2
31,Dale Rogers,San Jose State,WAC,11,96,82,53.0,124,7.7,7.0,6,8,130.5,1.5
32,Charlie Frye,Akron,MAC,11,220,100,63.6,-6,7.6,7.6,2,8,139.8,-0.1
33,Tyler Palko,Pitt,Big East,12,230,129,56.2,139,7.5,7.9,3,7,135.2,1.1
34,Clint Marks,Middle Tennessee State,Sun Belt,11,259,73,70.4,113,7.5,6.5,1,14,138.1,1.5
35,Drew Olson,UCLA,Pac-10,12,196,53,57.5,106,7.5,7.0,0,13,132.4,2.0
36,John Beck,Brigham Young,MWC,11,192,90,56.0,-36,7.5,7.3,0,8,128.5,-0.4
37,Darian Durant,North Carolina,ACC,12,178,81,59.5,188,7.5,7.3,1,9,135.1,2.3
38,Matt Kubik,Louisiana Tech,WAC,12,123,66,50.8,162,7.5,6.5,2,10,119.3,2.5
39,Steven Moffett,UCF,MAC,10,147,107,64.2,6,7.5,6.3,2,10,131.6,0.1
40,Sonny Cumbie,Texas Tech,Big 12,12,421,52,65.6,-167,7.4,7.1,2,18,138.5,-3.2
41,Andrew Walter,Arizona State,Pac-10,11,244,58,57.3,-112,7.4,7.9,0,9,138.4,-1.9
43,Drew Tate,Iowa,Big Ten,12,233,89,62.1,-76,7.4,6.8,2,14,134.7,-0.9
44,Bryan Randall,Virginia Tech,ACC,13,170,136,55.6,511,7.4,7.4,3,9,134.5,3.8
45,Vince Young,Texas,Big 12,12,148,167,59.2,1079,7.4,6.4,14,11,128.4,6.5
46,Dan Orlovsky,Connecticut,Big East,12,288,32,63.0,-41,7.3,6.9,0,15,134.7,-1.3
47,Danny Wimprine,Memphis,CUSA,12,225,57,56.5,112,7.3,6.8,2,14,128.8,2.0
48,Paul Peterson,Boston College,Big East,11,221,68,62.3,63,7.3,7.1,1,10,134.7,0.9
49,Brady Quinn,Notre Dame,Ind,12,191,54,54.1,-4,7.3,7.0,3,10,125.9,-0.1
50,Drew Stanton,Michigan State,Big Ten,10,141,96,64.1,687,7.3,6.8,5,6,131.8,7.2
51,Corey Bramlet,Wyoming,MWC,12,195,124,58.4,209,7.2,6.2,4,13,123.0,1.7
52,Paul Pinegar,Fresno State,WAC,12,173,46,59.2,99,7.2,6.5,3,15,135.3,2.2
53,Matt LoVecchio,Indiana,Big Ten,11,153,93,56.5,112,7.2,7.0,2,7,127.6,1.2
54,Timmy Chang,Hawaii,WAC,13,358,37,59.5,15,7.1,7.4,2,13,135.4,0.4
55,Derek Anderson,Oregon State,Pac-10,12,279,75,54.2,-152,7.0,6.7,2,17,125.1,-2.0
56,Ryan Hart,Rutgers,Big East,11,295,46,65.1,-93,7.0,5.8,1,19,127.6,-2.0
57,Ethan Flatt,Ole Miss,SEC,10,123,22,55.9,-60,7.0,5.5,0,10,114.2,-2.7
58,Chad Henne,Michigan,Big Ten,12,240,55,60.2,-137,6.9,6.8,2,12,132.6,-2.5
59,Kent Smith,Central Michigan,MAC,11,188,112,56.5,351,6.9,6.7,10,8,125.1,3.1
60,Dustin Almond,Southern Mississippi,CUSA,10,138,58,51.3,61,6.9,6.8,5,6,119.3,1.1
61,Tony Eckert,SMU,WAC,11,111,28,54.7,-107,6.9,4.6,1,13,109.8,-3.8
62,Kellen Clemens,Oregon,Pac-10,11,223,118,59.9,190,6.8,6.8,4,10,131.6,1.6
64,Joel Statham,Maryland,ACC,10,126,62,53.8,87,6.8,4.6,1,15,109.4,1.4
65,Jeff Rowe,Nevada,WAC,12,230,77,58.4,129,6.7,6.1,3,12,121.0,1.7
66,James Kilian,Tulsa,WAC,12,184,150,54.6,282,6.7,5.3,8,16,113.8,1.9
67,Nick Noce,Arkansas State,Sun Belt,11,164,88,52.1,249,6.7,5.3,3,16,111.9,2.8
68,Jay Davis,North Carolina State,ACC,11,175,43,55.9,-119,6.7,5.3,1,15,115.4,-2.8
69,Alex Brink,Washington State,Pac-10,11,97,49,50.0,-50,6.7,6.3,1,5,113.3,-1.0
70,Joshua Cribbs,Kent State,MAC,10,216,170,64.5,893,6.6,6.8,9,6,133.2,5.3
71,Walter Washington,Temple,Big East,11,187,222,56.3,889,6.6,6.4,15,6,118.5,4.0
72,Bret Meyer,Iowa State,Big 12,12,149,144,51.4,331,6.6,6.4,2,6,114.4,2.3
73,Wyatt Sexton,Florida State,ACC,10,139,41,55.2,-94,6.6,5.8,0,8,114.7,-2.3
74,Matt Bohnet,Eastern Michigan,MAC,11,228,100,52.5,424,6.5,6.2,0,12,117.3,4.2
75,Joel Klatt,Colorado,Big 12,13,216,46,58.9,-58,6.5,5.3,2,15,115.5,-1.3
76,Michael Harrington,Idaho,Sun Belt,12,225,60,65.8,-133,6.5,5.8,1,11,125.5,-2.2
77,James Pinkney,East Carolina,CUSA,11,190,66,56.0,-2,6.5,5.5,0,15,119.1,0.0
78,Reggie Ball,Georgia Tech,ACC,12,164,130,49.7,332,6.5,5.0,2,18,109.4,2.6
79,Joe Dailey,Nebraska,Big 12,11,153,53,49.4,55,6.5,4.9,4,19,110.1,1.0
80,Dylan Meier,Kansas State,Big 12,10,127,81,57.7,232,6.5,6.3,6,5,121.5,2.9
81,Perry Patterson,Syracuse,Big East,12,168,72,58.1,143,6.4,5.3,3,10,113.0,2.0
