,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
180,Sherron Moore,Southern Mississippi,CUSA,12,103,434,4.1,4,4,107
181,Troy Smith,Ohio State,Big Ten,8,82,339,4.1,2,,82
182,Aaron Polanco,Navy,Ind,12,246,1003,4.0,16,2,248
183,Walter Washington,Temple,Big East,11,222,894,4.0,15,1,223
184,Alex Haynes,UCF,MAC,9,215,977,4.2,5,18,233
185,Trovon Riley,Western Michigan,MAC,10,172,828,4.3,5,20,192
186,Greg Henderson,Rice,WAC,9,140,566,4.0,6,,140
187,Kejuan Jones,Oklahoma,Big 12,12,129,709,4.7,5,22,151
188,Tim Brown,Temple,Big East,10,108,631,4.5,3,33,141
190,Eugene Gross,Middle Tennessee State,Sun Belt,11,103,645,5.1,7,24,127
191,Clenton Crossley,South Florida,CUSA,11,101,445,4.0,3,11,112
192,Ryan Gilbert,Houston,CUSA,10,84,510,5.1,5,16,100
193,Chris Taylor,Indiana,Big Ten,11,82,387,4.5,3,4,86
194,Adam Cole,Air Force,MWC,11,78,315,4.0,5,,78
195,Stevie Hicks,Iowa State,Big 12,12,270,1111,4.0,5,9,279
196,Stevie Hicks Jr.,Iowa State,Big 12,12,270,1111,4.0,5,9,279
197,Doug Parker,Florida Atlantic,Sun Belt,12,227,1040,4.3,9,17,244
198,Jerod Void,Purdue,Big Ten,12,159,827,4.6,3,22,181
199,Steven Jyles,Louisiana-Monroe,Sun Belt,11,150,602,4.0,8,1,151
200,Kalvin McRae,Ohio,MAC,11,142,731,4.7,6,13,155
201,Dwight Wright,Oregon State,Pac-10,12,209,1029,4.5,8,20,229
202,David Alston,Kent State,MAC,11,178,727,3.5,11,28,206
203,Bryan Randall,Virginia Tech,ACC,13,136,511,3.8,3,,136
204,Anthony Krieg,Baylor,Big 12,10,121,540,3.9,1,16,137
205,D.D. Cox,New Mexico,MWC,12,91,344,3.8,3,,91
206,Tim Murphy,Pitt,Big East,8,88,452,4.5,1,13,101
207,Chris Bruhn,Washington State,Pac-10,8,76,296,3.8,1,1,77
208,Brian Leonard,Rutgers,Big East,10,199,1250,4.8,9,61,260
209,Shaun Carney,Air Force,MWC,10,159,596,3.7,6,,159
211,Ivan Harrison,Wyoming,MWC,10,159,644,3.8,5,10,169
212,John Randle,Kansas,Big 12,10,147,814,4.5,9,35,182
213,Josh Allen,Maryland,ACC,11,144,629,4.1,6,8,152
214,Cedric Dargan,Duke,ACC,7,125,510,3.8,1,9,134
215,Chris Forbes,Utah State,Sun Belt,11,108,449,3.7,4,12,120
216,Dwight Lindon,Louisiana,Sun Belt,9,102,517,4.2,5,20,122
217,Antwaun Carter,Boise State,WAC,12,75,287,3.8,7,1,76
218,Raymond Kirkley,Pitt,Big East,10,154,739,4.2,6,23,177
219,Kenneth Tolon,Stanford,Pac-10,11,116,459,3.8,3,6,122
220,Dyante Perkins,UNLV,MWC,11,98,479,4.2,8,16,114
221,Naufahu Tahi,Brigham Young,MWC,11,93,478,4.4,6,16,109
222,Clark Green,Kansas,Big 12,11,87,447,4.3,1,16,103
223,Matt Bernstein,Wisconsin,Big Ten,12,83,368,4.0,1,9,92
224,Donovan Woods,Oklahoma State,Big 12,12,123,436,3.5,10,,123
225,Foy Munlin,SMU,WAC,10,95,372,3.8,2,3,98
226,Kevin Payne,Louisiana-Monroe,Sun Belt,8,74,364,4.2,3,12,86
227,BenJarvus Green-Ellis,Indiana,Big Ten,11,231,874,3.6,5,14,245
228,Brad Smith,Missouri,Big 12,11,165,591,3.5,4,2,167
229,Duane Coleman,Clemson,ACC,9,83,409,4.2,2,15,98
230,Jimmy Green,Colorado State,MWC,8,132,464,3.4,3,3,135
232,Allen Webb,Kansas State,Big 12,10,127,418,3.3,8,,127
233,Kole McKamey,New Mexico,MWC,11,128,416,3.3,6,,128
234,Justine Buries,New Mexico State,Sun Belt,11,79,267,3.3,4,3,82
235,Jay Cutler,Vanderbilt,SEC,11,109,349,3.2,6,,109
236,Omar Jacobs,Bowling Green State,MAC,12,95,300,3.2,4,,95
237,Jared Patterson,Buffalo,MAC,11,83,285,3.3,4,4,87
238,Kent Smith,Central Michigan,MAC,11,112,351,3.1,10,,112
239,Cory Randolph,Wake Forest,ACC,11,92,287,3.1,1,,92
240,Brett Basanez,Northwestern,Big Ten,12,83,258,3.1,5,,83
241,Marcus Randall,LSU,SEC,12,79,247,3.1,3,,79
242,Booker Stanley,Wisconsin,Big Ten,10,115,496,3.7,3,18,133
243,Shane Boyd,Kentucky,SEC,10,102,297,2.9,5,,102
244,Dylan Meier,Kansas State,Big 12,10,81,232,2.9,6,,81
245,Nick Noce,Arkansas State,Sun Belt,11,88,249,2.8,3,,88
246,Marvin Townes,East Carolina,CUSA,10,87,258,2.7,1,7,94
247,Reggie Ball,Georgia Tech,ACC,12,130,332,2.6,2,,130
248,Ryan Cole,Oregon State,Pac-10,12,80,287,3.2,2,10,90
249,Jared Zabransky,Boise State,WAC,12,130,331,2.5,13,2,132
250,Syvelle Newton,South Carolina,SEC,11,104,262,2.5,5,,104
251,Sam Brownlee,Iowa,Big Ten,9,94,262,2.7,0,4,98
253,Bret Meyer,Iowa State,Big 12,12,144,331,2.3,2,,144
254,Darian Durant,North Carolina,ACC,12,81,188,2.3,1,,81
255,Bruce Gradkowski,Toledo,MAC,13,91,191,2.1,9,,91
256,Pat Julmiste,South Florida,CUSA,11,96,209,2.2,10,1,97
257,James Kilian,Tulsa,WAC,12,150,282,1.9,8,1,151
258,Buck Pierce,New Mexico State,Sun Belt,11,71,170,2.4,2,1,72
259,Corey Bramlet,Wyoming,MWC,12,124,209,1.7,4,,124
260,Jeff Rowe,Nevada,WAC,12,77,129,1.7,3,,77
261,Kellen Clemens,Oregon,Pac-10,11,118,190,1.6,4,,118
262,Dale Rogers,San Jose State,WAC,11,82,124,1.5,6,,82
263,Clint Marks,Middle Tennessee State,Sun Belt,11,73,122,1.6,1,1,74
264,Kyle Orton,Purdue,Big Ten,11,80,112,1.4,3,,80
265,D.T. McDowell,Troy,Sun Belt,10,76,125,1.6,2,1,77
266,Matt LoVecchio,Indiana,Big Ten,11,93,112,1.2,2,,93
267,Tyler Palko,Pitt,Big East,12,129,139,1.1,3,,129
268,Josh Betts,Miami (OH),MAC,13,83,86,1.0,3,,83
269,Travis Cox,Utah State,Sun Belt,11,114,63,0.6,2,,114
270,Charlie Whitehurst,Clemson,ACC,11,81,45,0.5,1,1,82
271,Kevin Kolb,Houston,CUSA,11,118,51,0.4,5,,118
272,Steven Moffett,UCF,MAC,10,107,6,0.1,2,,107
274,Charlie Frye,Akron,MAC,11,100,-6,-0.1,2,,100
275,Ryan Hawk,Ohio,MAC,11,91,13,0.1,2,1,92
276,John Beck,Brigham Young,MWC,11,90,-36,-0.4,0,,90
277,Darrell Hackney,UAB,CUSA,12,81,-44,-0.5,2,,81
278,Mike Schneider,Duke,ACC,11,72,-44,-0.6,2,1,73
279,Drew Tate,Iowa,Big Ten,12,89,-68,-0.8,2,1,90
280,Derek Anderson,Oregon State,Pac-10,12,75,-152,-2.0,2,,75
