,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
155,Michael Turner,Northern Illinois,MAC,10,92,471,4.6,3,10,102
156,Clenton Crossley,South Florida,Ind,10,88,558,5.2,9,19,107
157,Kevin Galbreath,North Texas,Sun Belt,11,264,1131,4.2,4,3,267
158,Brian Madden,Navy,Ind,8,217,905,4.2,8,,217
159,Dave Minnich,Washington State,Pac-10,9,192,984,4.7,8,18,210
160,Raymond Kirkley,Pitt,Big East,11,155,772,4.4,3,19,174
161,Duan Ruff,Colorado State,MWC,11,150,658,4.3,4,3,153
162,Dawayne Woods,Southern Mississippi,CUSA,9,140,786,5.0,12,16,156
163,Seneca Wallace,Iowa State,Big 12,11,114,475,4.2,7,,114
164,Anthony Tenner,Idaho,Sun Belt,11,111,564,4.6,10,12,123
165,Deonce Whitaker,San Jose State,WAC,10,108,463,4.1,1,4,112
166,Joe Igber,California,Pac-10,7,94,538,4.9,4,16,110
167,Robert Gillespie,Florida,SEC,11,94,840,6.2,3,41,135
169,Brooks Bollinger,Wisconsin,Big Ten,9,92,414,4.5,6,1,93
170,James Burns,Air Force,MWC,12,88,454,4.8,4,7,95
171,Jimmy Burns,Air Force,MWC,12,88,454,4.8,4,7,95
172,Alvin Pearman,Virginia,ACC,12,88,654,5.8,4,25,113
173,Joe Burns,Georgia Tech,ACC,12,282,1414,4.6,15,28,310
174,Thomas Hammock,Northern Illinois,MAC,11,268,1166,4.1,7,15,283
175,Tarence Williams,Wake Forest,ACC,10,249,1028,4.1,10,2,251
176,Ken Simonton,Oregon State,Pac-10,11,239,1131,4.4,9,17,256
177,Reggie Duncan,Kansas,Big 12,10,181,783,4.2,3,4,185
178,Ray Jackson,Cincinnati,CUSA,11,145,1047,6.1,10,27,172
179,Travis Zachery,Clemson,ACC,11,142,990,5.3,11,45,187
180,Chris Perry,Michigan,Big Ten,10,112,502,4.3,2,6,118
181,Zach Gerstner,Idaho,Sun Belt,11,82,622,5.7,3,28,110
182,Robbie Mixon,Central Michigan,MAC,5,71,387,4.6,2,14,85
183,Dontae Walker,Mississippi State,SEC,11,136,577,4.1,5,5,141
184,Luke Clemens,Miami (OH),MAC,11,109,541,4.5,1,10,119
185,Arlen Harris,Virginia,ACC,8,92,382,4.0,2,3,95
186,Jasper Sanks,Georgia,SEC,9,84,340,4.0,2,2,86
187,Marc Riley,Maryland,ACC,10,85,397,4.3,10,7,92
188,K.C. Enzminger,New Mexico State,Sun Belt,12,83,331,4.0,3,,83
190,Chris Douglas,Duke,ACC,11,218,1074,4.4,8,26,244
191,Tatum Bell,Oklahoma State,Big 12,10,197,873,4.1,6,18,215
192,Ray Robinson,North Carolina State,ACC,11,190,1109,4.6,11,52,242
193,Jerome Coleman,Louisiana,Sun Belt,10,162,766,4.3,11,16,178
194,Marquis Dwarte,Buffalo,MAC,10,141,630,4.0,7,16,157
195,Chris Rix,Florida State,ACC,11,99,388,3.9,3,1,100
196,Zain Gilmore,Missouri,Big 12,10,90,436,4.4,2,8,98
197,Joe Sherrill,Ohio,MAC,11,86,415,4.6,5,5,91
198,Ronnie Brown,Auburn,SEC,10,84,439,4.8,2,7,91
199,Asad Abdul-Khaliq,Minnesota,Big Ten,11,69,268,3.8,4,1,70
200,Jegil Dugger,UAB,CUSA,11,218,901,4.0,6,10,228
201,Tony Stallings,Louisville,CUSA,12,136,602,4.0,6,14,150
202,Dennis Thomas,Rutgers,Big East,9,97,397,3.9,1,4,101
203,David Neill,Nevada,WAC,9,83,319,3.8,3,,83
204,Antoineo Harris,Illinois,Big Ten,9,167,636,3.7,6,3,170
205,Kerry Carter,Stanford,Pac-10,7,123,614,4.6,10,11,134
206,Keith Joseph,Texas A&M,Big 12,11,99,481,4.3,4,14,113
207,Brandon Doman,Brigham Young,MWC,13,141,520,3.7,8,1,142
208,Eric Richardson,Tulsa,WAC,11,131,672,4.1,5,34,165
209,Sultan McCullough,USC,Pac-10,6,115,510,4.2,6,6,121
211,Montrell Lowe,Purdue,Big Ten,12,183,691,3.6,4,9,192
212,Ricky Madison,Texas Christian,CUSA,11,174,655,3.6,3,9,183
213,C.J. Young,Army,CUSA,11,158,660,3.7,9,19,177
214,Jamie Tyler,Rice,WAC,9,83,290,3.5,2,,83
215,Anthony Krieg,Baylor,Big 12,11,70,349,3.9,1,19,89
216,Lydell Ross,Ohio State,Big Ten,11,119,414,3.4,6,2,121
217,Charles Woods,Western Michigan,MAC,8,94,454,4.5,5,8,102
218,Zak Kustok,Northwestern,Big Ten,11,175,580,3.3,11,,175
219,Dontrell Jackson,Ohio,MAC,10,143,472,3.3,3,,143
220,Derek Armah,Wyoming,MWC,11,121,425,3.4,4,5,126
221,Cedric Cobbs,Arkansas,SEC,9,102,338,3.3,7,2,104
222,Taber Small,Connecticut,Ind,9,100,348,3.3,4,5,105
223,Marcus Jones,Rutgers,Big East,9,101,375,3.5,1,6,107
224,Danny Wimprine,Memphis,CUSA,9,84,260,3.1,3,1,85
225,Eric McCoo,Penn State,Big Ten,11,82,419,4.3,9,16,98
226,Tim Blackwell,Southern Mississippi,CUSA,6,75,283,3.5,3,7,82
227,Andre' Williams,North Carolina,ACC,11,170,545,3.1,4,5,175
228,Rich Alexis,Washington,Pac-10,11,125,500,3.6,5,12,137
229,Rod Rutherford,Pitt,Big East,11,81,255,3.1,6,,81
230,James Walley,Southern Mississippi,CUSA,6,80,249,3.1,3,1,81
232,Bryant Jacobs,Louisiana-Monroe,Sun Belt,11,103,420,3.8,2,9,112
233,Jonathan Golden,Baylor,Big 12,10,75,262,3.0,3,12,87
234,Ronald Curry,North Carolina,ACC,10,89,253,2.8,3,,89
235,Sunny Byrd,USC,Pac-10,11,123,417,3.1,4,11,134
236,Shaun Hill,Maryland,ACC,11,116,309,2.7,7,,116
237,Marquel Blackwell,South Florida,Ind,11,92,258,2.8,9,1,93
238,Phil Petty,South Carolina,SEC,12,82,215,2.6,3,,82
239,Lester Trammer,Temple,Big East,11,81,272,3.2,5,5,86
240,Zack Mills,Penn State,Big Ten,10,74,187,2.5,3,,74
241,R.J. Anderson,Syracuse,Big East,12,111,240,2.1,5,1,112
242,Brandon Hance,Purdue,Big Ten,9,112,273,2.4,5,1,113
243,Kainoa Akina,Eastern Michigan,MAC,11,84,210,2.5,0,1,85
244,Casey Kelly,New Mexico,MWC,9,70,143,2.0,2,,70
245,Mario Kinsey,Kansas,Big 12,10,130,225,1.7,3,,130
246,David Garrard,East Carolina,CUSA,11,116,194,1.7,6,,116
247,Luke McCown,Louisiana Tech,WAC,11,87,144,1.7,4,,87
248,Scott Hall,North Texas,Sun Belt,11,86,157,1.8,4,1,87
249,Ben Roethlisberger,Miami (OH),MAC,12,120,189,1.6,3,,120
250,Steve Bellisari,Ohio State,Big Ten,9,72,97,1.3,2,,72
251,Casey Printers,Texas Christian,CUSA,10,69,87,1.3,3,,69
253,Chris Finlen,Northern Illinois,MAC,11,86,106,1.2,4,,86
254,Jason Gesser,Washington State,Pac-10,12,86,101,1.2,2,,86
255,David Page,SMU,WAC,9,93,105,1.1,3,,93
256,Talmadge Hill,Ball State,MAC,11,98,79,0.8,1,,98
257,Kyle Boller,California,Pac-10,10,77,81,1.0,1,2,79
258,David Carr,Fresno State,WAC,14,94,67,0.7,5,,94
259,Dave Ragone,Louisville,CUSA,12,92,72,0.8,3,0,92
260,Cody Pickett,Washington,Pac-10,10,83,49,0.6,5,1,84
261,Carson Palmer,USC,Pac-10,12,88,34,0.4,1,,88
262,Jeff Kelly,Southern Mississippi,CUSA,11,95,38,0.4,4,1,96
263,D. Bryant,Duke,ACC,11,83,15,0.2,3,,83
264,Aso Pogi,Oklahoma State,Big 12,11,70,-8,-0.1,3,,70
265,Greg Zolman,Vanderbilt,SEC,11,69,-9,-0.1,5,1,70
266,Casey Bramlet,Wyoming,MWC,11,89,-22,-0.2,6,1,90
267,Jeff Smoker,Michigan State,Big Ten,11,81,-58,-0.7,2,,81
268,Ryan Cubit,Rutgers,Big East,11,86,-99,-1.2,0,,86
269,Brock Nutter,Troy,Ind,11,84,-203,-2.4,2,,84
