,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Santonio Beard,Alabama,SEC,8,77,641,8.2,4,1,78
2,Luke Staley,Brigham Young,MWC,11,196,1930,8.5,28,32,228
3,Matt Jones,Arkansas,SEC,8,74,613,8.1,5,2,76
4,Leonard Henry,East Carolina,CUSA,11,184,1642,7.8,18,26,210
5,Reshard Lee,Middle Tennessee State,Sun Belt,11,108,877,7.5,4,9,117
6,Thunder Collins,Nebraska,Big 12,12,94,836,7.4,5,19,113
7,Levron Williams,Indiana,Big Ten,11,212,1690,7.1,19,26,238
8,Shanderrick Charles,SMU,WAC,10,134,898,6.2,7,10,144
9,Lew Thomas,Vanderbilt,SEC,7,105,755,6.6,5,10,115
10,Cortlen Johnson,Colorado,Big 12,12,89,949,8.4,5,24,113
11,Marion Barber III,Minnesota,Big Ten,11,118,761,6.3,7,2,120
12,Joshua Cribbs,Kent State,MAC,11,164,1051,6.4,6,1,165
13,Josh Holden,Army,CUSA,9,83,635,6.5,4,15,98
14,Tom Pace,Arizona State,Pac-10,11,72,510,6.1,5,11,83
15,Dwone Hicks,Middle Tennessee State,Sun Belt,11,191,1373,6.6,24,18,209
16,Onterrio Smith,Oregon,Pac-10,12,175,1129,6.1,9,11,186
17,William Green,Boston College,Big East,10,265,1819,6.3,17,23,288
18,Clarence Farmer,Arizona,Pac-10,11,209,1271,6.0,11,4,213
19,Tellis Redmon,Minnesota,Big Ten,11,185,1174,5.9,6,15,200
20,Chante Murphy,Kent State,MAC,9,81,495,5.8,1,4,85
22,Maurice Morris,Oregon,Pac-10,11,180,1148,6.0,10,12,192
23,Bobby Purify,Colorado,Big 12,12,157,1008,6.0,5,11,168
24,Chance Kretschmer,Nevada,WAC,11,302,1787,5.7,15,10,312
25,Bruce Perry,Maryland,ACC,11,219,1601,6.2,12,40,259
26,Jeremi Johnson,Indiana,Big Ten,11,95,759,6.8,8,16,111
27,Chris Porter,UTEP,WAC,9,79,469,5.7,4,3,82
28,Dahrran Diedrick,Nebraska,Big 12,11,233,1294,5.5,15,1,234
29,Clinton Portis,Miami (FL),Big East,11,220,1325,5.7,11,12,232
30,Eric Crouch,Nebraska,Big 12,12,203,1178,5.8,19,1,204
31,Delvon Flowers,Arizona State,Pac-10,11,188,1051,5.5,11,4,192
32,Kevin Jones,Virginia Tech,Big East,11,175,1004,5.5,5,6,181
33,Verron Haynes,Georgia,SEC,10,126,933,6.4,9,19,145
34,Jamel Patterson,Ohio,MAC,11,117,653,5.5,5,2,119
35,Bradlee Van Pelt,Colorado State,MWC,11,100,602,6.0,5,1,101
36,Mewelde Moore,Tulane,CUSA,12,262,2177,6.7,15,65,327
37,T.J. Duckett,Michigan State,Big Ten,12,263,1500,5.5,13,12,275
38,Dameon Hunter,Utah,MWC,11,257,1466,5.6,9,6,263
39,Emmett White,Utah State,Ind,11,250,1769,5.9,16,48,298
40,Jonathan Wells,Ohio State,Big Ten,11,232,1374,5.7,15,11,243
41,Andrew Pinnock,South Carolina,SEC,12,115,662,5.5,12,5,120
43,Domanick Davis,LSU,SEC,12,75,455,5.8,6,3,78
44,Chester Taylor,Toledo,MAC,11,268,1672,5.7,23,26,294
45,Josh Scobey,Kansas State,Big 12,11,240,1315,5.3,15,9,249
46,Keith Boyea,Air Force,MWC,12,230,1240,5.4,18,1,231
47,Greg Jones,Florida State,ACC,11,134,724,5.3,6,3,137
48,David Alston,Kent State,MAC,10,119,766,5.9,7,11,130
49,Keeon Johnson,New Mexico State,Sun Belt,11,107,588,5.3,8,3,110
50,Steven Jackson,Oregon State,Pac-10,11,74,435,5.5,6,5,79
51,Brian Allen,Stanford,Pac-10,11,174,962,5.4,9,4,178
52,Franklin Wallace,Marshall,MAC,10,152,904,5.4,10,16,168
53,Earnest Graham,Florida,SEC,9,125,779,5.7,9,12,137
54,David Mikell,Boise State,WAC,11,107,724,6.4,8,7,114
55,Mike Bass,Hawaii,WAC,12,108,778,5.7,4,29,137
56,Blair Lewis,Idaho,Sun Belt,11,98,651,5.6,2,19,117
57,Tyler Gooch,Tulsa,WAC,9,70,361,5.2,2,,70
58,Deshaun Foster,UCLA,Pac-10,8,216,1238,5.5,13,9,225
59,Joe Haro,UNLV,MWC,11,218,1107,5.1,10,,218
60,Antwaan Randle El,Indiana,Big Ten,11,188,994,5.2,8,4,192
61,Ahmaad Galloway,Alabama,SEC,11,174,901,5.1,6,3,177
62,Joe Smith,Louisiana Tech,WAC,10,172,961,5.4,8,7,179
64,Henri Childs,Colorado State,MWC,11,166,958,5.4,5,13,179
65,Adam Tate,Utah,MWC,11,160,977,5.7,13,11,171
66,Bobby Hendry,Akron,MAC,9,160,840,5.2,10,3,163
67,Tanardo Sharps,Temple,Big East,10,150,836,5.3,1,7,157
68,Ricky Williams,Texas Tech,Big 12,11,142,1343,5.7,18,92,234
69,Dicenzo Miller,Mississippi State,SEC,9,132,1013,6.7,7,19,151
70,Carnell Williams,Auburn,SEC,9,120,754,5.7,6,13,133
71,Tyler Watts,Alabama,SEC,9,111,564,5.1,5,,111
72,Ivan Williams,Texas,Big 12,10,101,526,5.2,5,1,102
73,Kenan Lawhorne,Central Michigan,MAC,11,99,696,5.3,4,33,132
74,Josh Levi,Fresno State,WAC,13,91,513,5.3,5,6,97
75,Larry Ned,San Diego State,MWC,11,311,1687,5.2,15,16,327
76,Anthony Davis,Wisconsin,Big Ten,11,291,1466,5.0,11,,291
77,Travis Stephens,Tennessee,SEC,12,291,1633,5.3,11,19,310
78,Chris Brown,Colorado,Big 12,12,190,982,5.0,16,6,196
79,Demontray Carter,Troy,Ind,11,160,995,5.4,12,24,184
80,Zack Abron,Missouri,Big 12,11,157,793,5.0,6,2,159
81,Robbie Beck,Rice,WAC,12,126,689,5.3,8,4,130
82,Nate Scott,Wyoming,MWC,8,111,617,5.2,3,7,118
83,Antwon McCray,Toledo,MAC,10,105,680,5.8,6,13,118
85,Ravon Anderson,Rutgers,Big East,11,69,431,5.3,1,13,82
86,Avon Cobourne,West Virginia,Big East,11,267,1422,4.9,9,23,290
87,Brock Forsey,Boise State,WAC,12,246,1576,5.6,16,35,281
88,Woodrow Dantzler,Clemson,ACC,11,206,1004,4.9,10,,206
89,Dante Brown,Memphis,CUSA,11,184,967,4.9,12,13,197
90,Alex Haynes,UCF,Ind,9,140,833,5.4,9,14,154
91,Josh Harris,Bowling Green State,MAC,10,126,628,4.9,9,1,127
92,T.J. Patterson,Louisville,CUSA,9,118,645,5.1,7,9,127
93,Leotis Palmer,Air Force,MWC,12,106,591,5.1,3,9,115
94,Brandon Payne,Akron,MAC,5,101,573,5.1,6,11,112
95,Holmon Wiggins,New Mexico,MWC,11,97,642,5.8,1,13,110
96,Tony Fisher,Notre Dame,Ind,9,78,380,4.7,4,3,81
97,Akil Harris,UCLA,Pac-10,10,76,375,4.9,3,,76
98,Ladell Betts,Iowa,Big Ten,12,222,1197,5.1,11,15,237
99,Willie Parker,North Carolina,ACC,9,83,426,5.0,3,2,85
100,Terrence Jackson,Central Michigan,MAC,11,252,1247,4.9,10,3,255
101,James Mungro,Syracuse,Big East,12,248,1264,4.8,15,17,265
102,Cedric Benson,Texas,Big 12,12,223,1256,5.2,13,17,240
103,Paris Gaines,Fresno State,WAC,13,220,1298,5.4,12,22,242
104,Jarmar Julien,San Jose State,WAC,12,174,928,5.0,12,12,186
106,Fred Talley,Arkansas,SEC,11,164,794,4.7,4,4,168
107,Keith Burnell,Virginia Tech,Big East,11,149,733,4.7,9,7,156
108,Casinious Moore,Auburn,SEC,11,111,669,5.6,4,9,120
109,Larry Johnson,Penn State,Big Ten,11,71,473,5.8,4,11,82
110,Marcus Merriweather,Ball State,MAC,10,268,1260,4.6,13,4,272
111,Kenton Keith,New Mexico State,Sun Belt,11,183,957,5.0,12,8,191
112,Musa Smith,Georgia,SEC,9,119,635,4.9,6,10,129
113,Derek Farmer,Texas A&M,Big 12,8,110,587,4.8,2,13,123
114,John Gibson,Bowling Green State,MAC,11,97,485,4.8,3,4,101
115,Ivan Taylor,Louisiana,Sun Belt,11,70,448,5.1,3,18,88
116,Ennis Haywood,Iowa State,Big 12,11,258,1307,4.7,14,20,278
117,Jarrod Baxter,New Mexico,MWC,11,203,956,4.6,11,7,210
118,Joffrey Reynolds,Houston,CUSA,11,181,1167,5.4,8,37,218
119,Chris R. Roberson,Eastern Michigan,MAC,11,167,846,4.5,4,23,190
120,Chris Roberson,Eastern Michigan,MAC,11,167,846,4.5,4,23,190
121,Ell Roberson,Kansas State,Big 12,10,142,643,4.5,9,,142
122,Rodney Williams,Vanderbilt,SEC,11,131,802,5.3,4,19,150
123,Jason Thomas,UNLV,MWC,10,107,481,4.5,4,,107
124,Corey Connally,Texas Christian,CUSA,8,98,503,4.9,4,5,103
125,Nick Maddox,Florida State,ACC,11,98,700,5.6,4,26,124
127,Keylon Kincade,SMU,WAC,9,93,480,4.7,1,10,103
128,Kyle Herm,Rice,WAC,12,205,897,4.4,11,,205
129,Joe Gunn,Ole Miss,SEC,11,200,918,4.3,10,13,213
130,B.J. Askew,Michigan,Big Ten,11,190,1044,4.9,11,24,214
131,Quentin Griffin,Oklahoma,Big 12,12,182,1244,5.2,11,55,237
132,Damien Anderson,Northwestern,Big Ten,8,172,864,4.7,8,13,185
133,Derek Watson,South Carolina,SEC,12,139,836,5.0,7,27,166
134,Willie Hurst,Washington,Pac-10,10,138,742,4.9,8,12,150
135,Philip Reed,Western Michigan,MAC,9,122,629,4.7,4,12,134
136,Carey Davis,Illinois,Big Ten,11,104,704,5.0,4,37,141
137,Sherman Austin,UTEP,WAC,9,103,599,5.1,6,15,118
138,Thomas Cox,UAB,CUSA,8,101,456,4.5,5,1,102
139,Artose Pinner,Kentucky,SEC,11,100,556,5.0,4,12,112
140,Derrick Knight,Boston College,Big East,9,76,438,5.2,1,9,85
141,Charles Stackhouse,Ole Miss,SEC,11,75,502,5.2,7,21,96
142,Jonathan Adams,Arkansas State,Sun Belt,11,233,1107,4.6,5,10,243
143,Labrandon Toefield,LSU,SEC,12,230,1140,4.7,19,13,243
144,Demarco McCleskey,Cincinnati,CUSA,11,179,880,4.7,7,10,189
145,Julius Jones,Notre Dame,Ind,11,168,775,4.4,7,9,177
146,Terrell Williams,California,Pac-10,11,160,820,4.7,5,14,174
148,Carlyle Holiday,Notre Dame,Ind,11,156,683,4.4,2,1,157
149,Steve Little,Miami (OH),MAC,11,135,723,4.7,10,19,154
150,Fred Staton,Wake Forest,ACC,11,137,611,4.4,7,1,138
151,Rocky Harvey,Illinois,Big Ten,11,136,786,5.2,5,14,150
152,Joe Alls,Bowling Green State,MAC,10,129,587,4.3,3,9,138
153,Derrick Gordon,Buffalo,MAC,11,113,523,4.4,3,6,119
154,Patrick Cobbs,North Texas,Sun Belt,11,93,564,5.6,3,8,101
