,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
88,Andre Callender,Boston College,ACC,12,142,849,5.2,3,22,164
89,Jorvorskie Lane,Texas A&M,Big 12,10,119,643,5.3,9,3,122
90,Matt Hall,Navy,Ind,9,99,493,5.0,6,,99
91,Anthony Sherrell,Eastern Michigan,MAC,8,89,531,5.3,3,12,101
92,Henry Melton,Texas,Big 12,13,87,432,5.0,10,,87
93,Maurice Drew,UCLA,Pac-10,12,186,1367,6.3,17,31,217
94,Joseph Addai,LSU,SEC,13,187,1091,5.3,10,20,207
95,Robert Merrill,Texas Christian,MWC,12,187,1025,5.1,10,14,201
96,Michael Robinson,Penn State,Big Ten,12,163,806,4.9,11,,163
97,B.J. Lane,Bowling Green State,MAC,11,139,828,5.1,11,24,163
98,Calvin Dawson,Louisiana-Monroe,Sun Belt,11,134,786,5.1,7,21,155
99,Corey White,UAB,CUSA,11,130,711,5.1,7,10,140
100,Mico McSwain,Ole Miss,SEC,9,124,694,5.3,3,7,131
101,John Wall,Rice,CUSA,11,109,538,4.9,7,,109
102,Kolby Smith,Louisville,Big East,10,107,719,5.8,7,18,125
103,Danny Ware,Georgia,SEC,13,101,610,5.6,3,7,108
104,Freddie Franklin,Louisiana Tech,WAC,8,91,602,5.6,4,17,108
106,Ontario Sneed,Central Michigan,MAC,11,220,1498,5.5,11,51,271
107,Mike Bell,Arizona,Pac-10,11,200,1149,5.3,5,18,218
108,Lance Ball,Maryland,ACC,11,189,1056,5.1,6,18,207
109,Arian Foster,Tennessee,SEC,11,183,1027,5.2,5,14,197
110,Reggie Merriweather,Clemson,ACC,12,149,764,4.9,7,8,157
111,Deshawn Wynn,Florida,SEC,11,130,782,5.5,9,12,142
112,Brandon Whitaker,Baylor,Big 12,11,101,641,4.9,1,30,131
113,Selvin Young,Texas,Big 12,11,96,482,4.8,8,5,101
114,Rashad Jennings,Pitt,Big East,8,86,446,4.9,1,5,91
115,Brian Calhoun,Wisconsin,Big Ten,13,348,2207,5.5,24,53,401
116,Dontrell Moore,New Mexico,MWC,11,275,1669,5.5,17,31,306
117,Kyle Bell,Colorado State,MWC,12,276,1321,4.6,10,9,285
118,Darius Walker,Notre Dame,Ind,12,253,1547,5.2,11,43,296
119,Kevin Smith,UCF,CUSA,13,249,1222,4.8,9,8,257
120,Brandon Murphy,Miami (OH),MAC,10,226,1229,5.0,9,18,244
121,Ahmad Bradshaw,Marshall,CUSA,11,214,1378,5.1,10,56,270
122,P.J. Daniels,Georgia Tech,ACC,11,198,1104,5.0,4,21,219
123,Wynel Seldon,Wyoming,MWC,11,187,1069,5.0,11,27,214
124,Chris Taylor,Indiana,Big Ten,11,156,789,4.6,4,15,171
125,Terry Caulley,Connecticut,Big East,11,141,835,5.0,6,27,168
127,Louis Rankin,Washington,Pac-10,7,104,539,4.9,1,6,110
128,Marcus Woods,Missouri,Big 12,10,93,527,4.7,4,18,111
129,Trovon Riley,Western Michigan,MAC,9,220,1153,4.9,6,17,237
130,Demyron Martin,SMU,CUSA,11,185,907,4.7,9,8,193
131,Cedric Humes,Virginia Tech,ACC,12,162,823,4.8,11,10,172
132,Mike Davis,South Carolina,SEC,12,146,802,5.0,5,15,161
133,Thomas Clayton,Kansas State,Big 12,9,137,710,4.8,5,12,149
134,Lorenzo Booker,Florida State,ACC,13,119,881,5.6,6,38,157
135,Jacobe Kendrick,Air Force,MWC,10,116,576,4.8,6,3,119
136,Hugh Charles,Colorado,Big 12,13,189,1089,5.0,7,28,217
137,Bradley Glatthaar,Cincinnati,Big East,11,139,697,4.6,7,11,150
138,Troy Smith,Ohio State,Big Ten,11,136,611,4.5,11,,136
139,Bryson Sumlin,Fresno State,WAC,13,120,613,4.7,6,10,130
140,Tyler Ebell,UTEP,CUSA,7,118,786,5.7,7,20,138
141,Mark Bonds,Western Michigan,MAC,9,101,474,4.5,3,5,106
142,LaRod Stephens-Howling,Pitt,Big East,9,96,475,4.5,0,9,105
143,Markus Manson,Florida,SEC,12,81,420,4.7,2,9,90
144,Yvenson Bernard,Oregon State,Pac-10,11,299,1637,4.9,14,37,336
145,Terrence Whitehead,Oregon,Pac-10,11,156,1169,5.6,8,52,208
146,Michael Hart,Michigan,Big Ten,8,150,816,4.9,5,16,166
148,Rudy Burgess,Arizona State,Pac-10,12,145,1299,6.4,10,59,204
149,Toney Baker,North Carolina State,ACC,11,124,652,4.8,6,13,137
150,Tashard Choice,Georgia Tech,ACC,12,117,589,4.5,6,14,131
151,James Sims,Washington,Pac-10,11,112,568,4.6,6,11,123
152,Antwaun Carter,Boise State,WAC,13,100,440,4.4,10,,100
153,Leon Washington,Florida State,ACC,11,97,697,5.7,4,25,122
154,Lou Allen,Connecticut,Big East,10,86,428,4.7,4,5,91
155,Brett Biggs,Akron,MAC,13,284,1765,5.1,14,65,349
156,Lynell Hamilton,San Diego State,MWC,11,190,963,4.5,9,26,216
157,L.V. Whitworth,Boston College,ACC,12,189,1051,5.0,5,23,212
158,Uril Parrish,Tulsa,CUSA,12,179,1021,5.0,10,25,204
159,Brian Leonard,Rutgers,Big East,12,173,1308,5.7,17,55,228
160,Mark Dillard,Louisiana Tech,WAC,11,155,829,4.9,8,13,168
161,Clark Green,Kansas,Big 12,12,153,883,5.0,2,25,178
162,Maurice Avery,Memphis,CUSA,12,132,766,5.4,7,10,142
163,A'Mod Ned,Florida International,Sun Belt,7,88,456,4.5,3,13,101
164,Raymond Kirkley,Pitt,Big East,8,82,407,4.6,2,7,89
165,Al Guidry,San Jose State,WAC,11,73,365,4.6,2,6,79
166,Justine Buries,New Mexico State,WAC,11,187,920,4.4,6,23,210
167,Shaun Carney,Air Force,MWC,11,170,710,4.2,11,,170
169,Cody Hull,Southern Mississippi,CUSA,12,130,608,4.3,3,10,140
170,Charles Wynn,Ball State,MAC,8,127,760,5.0,4,26,153
171,Gerald Riggs,Tennessee,SEC,6,127,604,4.4,3,10,137
172,Gerald Riggs Jr.,Tennessee,SEC,6,127,604,4.4,3,10,137
173,Jovon Jackson,Tulane,CUSA,9,101,510,4.4,6,14,115
174,Jared Patterson,Buffalo,MAC,10,90,405,4.1,2,9,99
175,Patrick Jackson,Louisiana Tech,WAC,10,88,422,4.4,6,9,97
176,E.B. Halsey,Illinois,Big Ten,11,84,534,4.4,3,38,122
177,Damien Rhodes,Syracuse,Big East,11,219,1170,4.8,7,23,242
178,Lamar Owens,Navy,Ind,12,213,880,4.1,11,,213
179,Ronnie McGill,North Carolina,ACC,7,130,629,4.3,5,15,145
180,Charlie Jones,Miami (FL),ACC,11,123,521,4.1,5,5,128
181,Ricky Ponton,South Florida,Big East,12,92,399,4.1,2,6,98
182,Jamario Thomas,North Texas,Sun Belt,8,89,361,4.1,0,,89
183,Eugene Gross,Middle Tennessee State,Sun Belt,11,182,1001,4.7,14,33,215
184,Wali Lundy,Virginia,ACC,11,144,636,4.0,11,15,159
185,Justin Vincent,LSU,SEC,13,121,549,4.2,5,9,130
186,Kevin Grady,Michigan,Big Ten,11,121,596,4.4,5,14,135
187,Mike Imoh,Virginia Tech,ACC,9,106,459,4.1,4,7,113
188,Brandon Bornes,San Diego State,MWC,12,92,441,4.2,2,12,104
190,Cornell Brockington,Connecticut,Big East,11,85,341,4.0,4,1,86
191,Ryan Williams,Air Force,MWC,11,72,322,4.3,4,3,75
192,Butler Benton,Cincinnati,Big East,11,71,363,4.7,2,7,78
193,Cory Ross,Nebraska,Big 12,12,225,1274,4.8,8,43,268
194,Chris Johnson,East Carolina,CUSA,11,176,1040,4.9,8,35,211
195,Erick Jackson,UNLV,MWC,11,174,1043,5.0,7,36,210
196,Matt Forte,Tulane,CUSA,11,169,818,4.3,5,23,192
197,Larry Thomas,Southern Mississippi,CUSA,11,167,765,4.2,4,17,184
198,Steven King,Buffalo,MAC,11,136,669,4.3,3,20,156
199,Carlton Jones,Army,Ind,10,269,1265,4.3,8,25,294
200,Jackie Battle,Houston,CUSA,12,106,413,3.9,5,1,107
201,Mario Merrills,Maryland,ACC,11,82,334,4.0,4,1,83
202,Sean Dawkins,Troy,Sun Belt,11,76,294,3.6,0,5,81
203,Umar Ferguson,Temple,Ind,9,191,899,4.3,6,18,209
204,Paul Mosley,Baylor,Big 12,11,180,747,3.9,9,12,192
205,Joel Armstrong,Rice,CUSA,11,149,555,3.7,6,,149
206,Stevie Hicks,Iowa State,Big 12,9,149,584,3.7,4,8,157
207,Stevie Hicks Jr.,Iowa State,Big 12,9,149,584,3.7,4,8,157
208,Rolly Lumbala,Idaho,WAC,11,128,689,4.6,3,22,150
209,Brett Basanez,Northwestern,Big Ten,12,113,423,3.7,7,,113
211,Reggie Ball,Georgia Tech,ACC,11,104,410,3.9,4,2,106
212,Ryan Bohm,Utah State,WAC,10,92,502,4.5,4,20,112
213,Julian Reams,Florida International,Sun Belt,9,87,324,3.7,0,1,88
214,Jeff Jennings,Vanderbilt,SEC,10,123,604,4.2,8,21,144
215,Kole McKamey,New Mexico,MWC,9,119,429,3.6,4,,119
216,Greg Coleman,Iowa State,Big 12,10,116,441,3.6,3,5,121
217,Gilbert Harris,Arizona,Pac-10,11,79,391,3.9,7,22,101
218,Charles Pierre,Florida Atlantic,Sun Belt,11,145,550,3.6,3,7,152
219,Yamar Washington,Indiana,Big Ten,11,127,500,3.4,1,22,149
220,P.J. Pope,Bowling Green State,MAC,9,125,609,4.0,5,27,152
221,Barrington Edwards,North Carolina,ACC,11,114,496,4.0,2,10,124
222,Isaiah Stanback,Washington,Pac-10,11,100,353,3.5,5,1,101
223,Kenny Cattouse,Troy,Sun Belt,11,89,359,3.8,4,6,95
224,Justin Boyle,Duke,ACC,10,134,464,3.4,9,3,137
225,Jerod Walker,Utah State,WAC,9,96,328,3.4,1,,96
226,Jeff Ballard,Texas Christian,MWC,10,93,314,3.4,8,,93
227,Ralph King,Middle Tennessee State,Sun Belt,9,92,319,3.3,2,4,96
228,Diivory Edgecomb,Florida Atlantic,Sun Belt,11,87,409,4.2,3,11,98
229,Bernard Morris,Marshall,CUSA,9,75,256,3.4,4,,75
230,Jason Evans,Stanford,Pac-10,10,72,383,4.3,1,18,90
232,Kejuan Jones,Oklahoma,Big 12,11,86,383,4.0,4,10,96
233,Julius Crosslin,Oklahoma State,Big 12,11,71,247,3.4,12,2,73
234,Jerry Flowers,Kent State,MAC,9,96,389,3.4,3,20,116
235,Matt Bohnet,Eastern Michigan,MAC,10,78,250,3.2,3,,78
236,Brian Johnson,Utah,MWC,10,152,478,3.1,8,,152
237,Steven Jyles,Louisiana-Monroe,Sun Belt,11,139,455,3.2,9,2,141
238,Kevin O'Connell,San Diego State,MWC,12,140,402,2.9,5,,140
239,J.R. Lemon,Stanford,Pac-10,8,76,300,3.3,2,15,91
240,Kent Smith,Central Michigan,MAC,11,157,443,2.8,7,,157
241,Tim Brasic,Illinois,Big Ten,11,151,420,2.8,3,,151
242,Drew Stanton,Michigan State,Big Ten,11,121,332,2.7,4,1,122
243,Pat Julmiste,South Florida,Big East,12,126,336,2.7,4,,126
244,Marques Hagans,Virginia,ACC,12,115,317,2.7,3,1,116
245,Marcus Vick,Virginia Tech,ACC,13,147,380,2.6,6,,147
246,Danny Embick,Florida Atlantic,Sun Belt,9,89,228,2.6,2,0,89
247,Leon Jackson III,Utah State,WAC,9,136,328,2.4,1,,136
248,Jared Zabransky,Boise State,WAC,13,107,262,2.4,11,,107
249,Allen Webb,Kansas State,Big 12,8,71,172,2.4,0,,71
250,Paul Smith,Tulsa,CUSA,13,111,258,2.3,6,,111
251,Austen Everson,Ohio,MAC,11,105,246,2.3,6,1,106
253,Jeff Rowe,Nevada,WAC,12,119,244,2.1,6,,119
254,Rhett Bomar,Oklahoma,Big 12,12,89,184,2.1,4,,89
255,Jay Cutler,Vanderbilt,SEC,11,106,215,2.0,1,,106
256,Allan Evridge,Kansas State,Big 12,9,102,184,1.8,4,0,102
257,James Pinkney,East Carolina,CUSA,11,95,193,2.0,7,,95
258,Nick Noce,Arkansas State,Sun Belt,12,125,236,1.9,5,,125
259,Kevin Kolb,Houston,CUSA,12,104,200,1.9,5,,104
260,Cody Hodges,Texas Tech,Big 12,12,109,191,1.8,3,,109
261,Trent Edwards,Stanford,Pac-10,11,84,153,1.8,0,,84
262,Jerad Romo,SMU,CUSA,11,103,179,1.7,3,1,104
263,Colt Brennan,Hawaii,WAC,12,99,154,1.6,2,,99
264,Corey Bramlet,Wyoming,MWC,11,82,109,1.3,3,,82
265,Blake Powers,Indiana,Big Ten,11,100,121,1.2,4,,100
266,Zack Asack,Duke,ACC,9,78,95,1.2,2,,78
267,Steven Moffett,UCF,CUSA,13,96,93,1.0,2,,96
268,Bret Meyer,Iowa State,Big 12,12,133,123,0.9,1,1,134
269,Chris Leak,Florida,SEC,12,105,81,0.8,6,,105
270,Dustin Grutza,Cincinnati,Big East,11,106,43,0.4,2,1,107
271,Sam Hollenbach,Maryland,ACC,11,72,-18,-0.3,2,,72
272,Drew Willy,Buffalo,MAC,10,82,-32,-0.4,0,,82
274,John Stocco,Wisconsin,Big Ten,13,86,-32,-0.4,2,,86
275,Matt Baker,North Carolina,ACC,11,79,-37,-0.5,2,1,80
276,Perry Patterson,Syracuse,Big East,11,72,-37,-0.5,3,,72
277,Zac Taylor,Nebraska,Big 12,12,76,-45,-0.6,1,1,77
278,Joey Lynch,Ball State,MAC,11,86,-106,-1.2,0,1,87
279,Clint Marks,Middle Tennessee State,Sun Belt,11,69,-111,-1.6,3,1,70
280,Tyler Palko,Pitt,Big East,11,70,-139,-2.0,6,,70
