,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Reggie Bush,USC,Pac-10,13,200,2218,9.4,18,37,237
2,George Stripling,Louisville,Big East,12,79,635,7.9,7,1,80
3,Justin Forsett,California,Pac-10,12,132,1067,7.7,6,7,139
4,Nate Ilaoa,Hawaii,WAC,12,85,917,7.6,7,36,121
5,Jamaal Charles,Texas,Big 12,13,119,1035,7.8,13,14,133
6,Pat White,West Virginia,Big East,12,131,952,7.3,7,,131
7,Reggie McNeal,Texas A&M,Big 12,10,96,664,6.9,3,,96
8,Vince Young,Texas,Big 12,13,155,1050,6.8,12,,155
9,Javon Ringer,Michigan State,Big Ten,11,122,955,6.8,5,19,141
10,Yonus Davis,San Jose State,WAC,10,95,686,6.7,4,7,102
11,Lendale White,USC,Pac-10,13,197,1521,7.2,26,14,211
12,Courtney Lewis,Texas A&M,Big 12,9,109,829,7.0,8,9,118
13,Garrett Wolfe,Northern Illinois,MAC,9,242,1802,6.9,17,20,262
14,Shermar Bracey,Arkansas State,Sun Belt,10,107,823,6.9,6,12,119
15,Marshawn Lynch,California,Pac-10,10,196,1371,6.5,10,15,211
16,Quinton Smith,Rice,CUSA,11,140,942,6.4,6,7,147
17,Tarrion Adams,Tulsa,CUSA,13,89,847,7.5,10,24,113
18,DeAngelo Williams,Memphis,CUSA,11,310,2042,6.3,19,12,322
19,Darren McFadden,Arkansas,SEC,11,176,1165,6.1,11,14,190
20,Felix Jones,Arkansas,SEC,11,99,726,6.8,3,8,107
22,Jerome Harrison,Washington State,Pac-10,11,308,2106,6.3,17,24,332
23,Antonio Warren,Arkansas State,Sun Belt,10,173,1115,6.2,6,7,180
24,Gary Russell,Minnesota,Big Ten,12,186,1298,6.4,19,16,202
25,Ryan Gilbert,Houston,CUSA,12,170,1274,6.7,10,21,191
26,Adam Ballard,Navy,Ind,12,109,746,6.5,6,5,114
27,Tony Hunt,Penn State,Big Ten,12,174,1253,6.5,6,20,194
28,Amir Pinnix,Minnesota,Big Ten,10,78,467,6.0,1,,78
29,Tyrell Sutton,Northwestern,Big Ten,12,250,1870,6.4,18,44,294
30,Jerious Norwood,Mississippi State,SEC,11,191,1232,5.9,8,19,210
31,Tyrell Fenroy,Louisiana,Sun Belt,11,179,1090,5.9,12,6,185
32,Taurean Henderson,Texas Tech,Big 12,12,148,1400,6.5,22,67,215
33,Aaron Brown,Texas Christian,MWC,11,128,904,6.5,9,11,139
34,Robert Hubbard,Nevada,WAC,12,122,831,6.2,13,12,134
35,Branden Ore,Virginia Tech,ACC,12,109,683,6.0,6,5,114
36,Jon Cornish,Kansas,Big 12,12,134,918,6.2,11,15,149
37,Brad Smith,Missouri,Big 12,12,229,1304,5.7,16,1,230
38,Ray Rice,Rutgers,Big East,12,195,1185,5.8,5,8,203
39,Lee Marks,Boise State,WAC,13,133,780,5.5,6,8,141
40,Trinity Dawson,Toledo,MAC,12,232,1535,6.0,9,22,254
41,Michael Bush,Louisville,Big East,10,205,1396,6.2,24,21,226
43,Ian Johnson,Boise State,WAC,13,119,709,5.7,4,5,124
44,Micah Andrews,Wake Forest,ACC,10,110,692,5.9,1,7,117
45,Jason Peters,UCF,CUSA,12,105,609,5.6,5,4,109
46,Cassen Jackson-Garrison,Vanderbilt,SEC,11,97,678,6.1,8,14,111
47,Joel Whinghter,Troy,Sun Belt,10,95,636,6.1,1,9,104
48,Joel Whingter,Troy,Sun Belt,10,95,636,6.1,1,9,104
49,Michael Desormeaux,Louisiana,Sun Belt,9,87,487,5.6,3,,87
50,Adrian Davis,Northern Illinois,MAC,12,83,467,5.5,3,2,85
51,Antonio Pittman,Ohio State,Big Ten,12,243,1492,5.7,7,17,260
52,Kalvin McRae,Ohio,MAC,11,209,1250,5.6,7,13,222
53,Steve Slaton,West Virginia,Big East,10,205,1223,5.6,19,12,217
54,Quinton Ganther,Utah,MWC,11,205,1434,6.2,8,25,230
55,Keegan Herring,Arizona State,Pac-10,12,158,874,5.4,6,3,161
56,Kory Sheets,Purdue,Big Ten,11,104,703,6.0,10,13,117
57,Ben West,Florida International,Sun Belt,7,98,568,5.4,4,8,106
58,B.J. Mitchell,Nevada,WAC,12,261,1425,5.4,13,4,265
59,Albert Young,Iowa,Big Ten,12,249,1578,5.8,8,24,273
60,Jerod Void,Purdue,Big Ten,10,130,726,5.4,10,5,135
61,Jehuu Caulcrick,Michigan State,Big Ten,11,89,531,5.6,7,5,94
62,Tony Temple,Missouri,Big 12,10,81,507,5.2,3,16,97
64,Jason Teague,Michigan State,Big Ten,10,78,540,5.9,5,14,92
65,Wendell Mathis,Fresno State,WAC,13,248,1469,5.5,16,19,267
66,Curtis Brown,Brigham Young,MWC,12,210,1577,6.0,16,53,263
67,Rafael Little,Kentucky,SEC,11,197,1494,6.1,9,46,243
68,James Davis,Clemson,ACC,11,165,1031,5.6,9,19,184
69,Marcus Thomas,UTEP,CUSA,11,149,1231,6.8,8,32,181
70,Laurence Maroney,Minnesota,Big Ten,11,281,1634,5.5,11,17,298
71,Kenneth Darby,Alabama,SEC,12,239,1374,5.1,3,29,268
72,Chris Barclay,Wake Forest,ACC,10,218,1286,5.3,10,26,244
73,Andre Brown,North Carolina State,ACC,11,129,743,5.5,6,7,136
74,Pierre Thomas,Illinois,Big Ten,11,127,889,5.7,6,28,155
75,Joseph Doss,Memphis,CUSA,12,85,438,4.7,2,9,94
76,Andre Hall,South Florida,Big East,12,270,1695,5.7,15,26,296
77,Kenny Irons,Auburn,SEC,12,256,1457,5.4,13,14,270
78,Tyrone Moss,Miami (FL),ACC,8,137,718,5.2,12,1,138
79,Chris Markey,UCLA,Pac-10,12,110,792,6.2,5,17,127
80,Scott Wesley,Army,Ind,11,104,574,5.3,11,5,109
81,Naufahu Tahi,Brigham Young,MWC,11,97,872,6.3,8,41,138
82,B.J. Hill,Ball State,MAC,11,82,543,5.4,2,18,100
83,Patrick Cobbs,North Texas,Sun Belt,11,231,1260,5.1,6,18,249
85,Adrian Peterson,Oklahoma,Big 12,11,221,1154,5.0,14,9,230
86,Mike Hamilton,Oklahoma State,Big 12,11,193,1122,5.3,1,20,213
87,Thomas Brown,Georgia,SEC,12,147,803,5.2,4,6,153
