,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Kenton Keith,New Mexico State,Big West,11,109,865,7.5,4,6,115
2,Levron Williams,Indiana,Big Ten,10,116,937,6.9,10,20,136
3,Correll Buckhalter,Nebraska,Big 12,11,106,835,7.5,8,5,111
4,Deonce Whitaker,San Jose State,WAC,10,224,1614,7.1,16,3,227
5,Dwone Hicks,Middle Tennessee State,Ind,11,186,1458,7.1,21,19,205
6,James Mungro,Syracuse,Big East,10,115,954,7.5,7,12,127
7,Damien Anderson,Northwestern,Big Ten,12,311,2195,6.7,23,19,330
8,Chris Barnes,New Mexico State,Big West,11,171,1203,6.7,5,8,179
9,Dan Alexander,Nebraska,Big 12,11,182,1171,6.4,8,2,184
10,Rich Alexis,Washington,Pac-10,11,118,776,6.3,9,5,123
11,Clinton Portis,Miami (FL),Big East,8,77,588,7.2,2,5,82
12,William Green,Boston College,Big East,11,187,1242,6.4,15,6,193
13,Dicenzo Miller,Mississippi State,SEC,11,161,1340,7.2,12,24,185
14,Michael Wallace,Army,CUSA,10,192,1344,6.2,12,24,216
15,Dee Brown,Syracuse,Big East,11,172,1121,6.0,11,14,186
16,Chester Taylor,Toledo,MAC,11,250,1599,6.0,19,17,267
17,Nate Scott,Wyoming,MWC,10,110,758,6.1,6,14,124
18,Michael Vick,Virginia Tech,Big East,10,104,617,5.9,8,,104
19,Scott McKay,Air Force,MWC,11,80,653,7.2,4,11,91
20,LaDainian Tomlinson,Texas Christian,WAC,11,369,2198,5.8,22,10,379
22,Antwaan Randle El,Indiana,Big Ten,11,218,1270,5.8,13,,218
23,Jamel Patterson,Ohio,MAC,11,114,693,6.0,7,2,116
24,James Fenderson,Hawaii,WAC,11,113,867,6.1,8,30,143
25,Qualario Brown,Air Force,MWC,10,84,578,6.3,6,8,92
26,Anthony Young,Wake Forest,ACC,9,79,455,5.8,3,,79
27,Derek Watson,South Carolina,SEC,11,187,1259,6.1,11,21,208
28,Eric Crouch,Nebraska,Big 12,11,169,971,5.7,20,,169
29,Terrance Howard,Notre Dame,Ind,11,75,501,6.0,4,8,83
30,T.J. Duckett,Michigan State,Big Ten,11,240,1392,5.6,7,8,248
31,Jeremi Rudolph,UNLV,MWC,12,178,1049,5.7,9,6,184
32,Dontrell Jackson,Ohio,MAC,11,155,864,5.6,2,,155
33,Cecil Sapp,Colorado State,MWC,11,151,888,5.8,11,3,154
34,Fred Talley,Arkansas,SEC,8,137,813,5.7,5,6,143
35,Rocky Harvey,Illinois,Big Ten,11,123,774,5.5,3,17,140
36,Earnest Graham,Florida,SEC,12,121,819,5.9,8,19,140
37,Franklin Wallace,Marshall,MAC,10,100,679,6.0,8,13,113
38,Phil Branstetter,New Mexico State,Big West,11,74,579,6.6,7,14,88
39,Ken Simonton,Oregon State,Pac-10,12,284,1573,5.5,19,4,288
40,Emmett White,Utah State,Big West,11,242,1914,6.6,15,47,289
41,Woodrow Dantzler,Clemson,ACC,11,172,950,5.5,13,1,173
43,Drew Brees,Purdue,Big Ten,12,95,527,5.4,6,2,97
44,Tyree Foreman,Virginia,ACC,11,72,474,6.3,8,3,75
45,Michael Bennett,Wisconsin,Big Ten,11,310,1704,5.4,11,4,314
46,Robert Sanford,Western Michigan,MAC,12,293,1623,5.4,18,6,299
47,Anthony Thomas,Michigan,Big Ten,11,287,1790,6.0,17,13,300
48,Ennis Haywood,Iowa State,Big 12,10,229,1448,5.7,8,25,254
49,Lee Suggs,Virginia Tech,Big East,11,222,1251,5.6,28,3,225
50,Kevin Brown,UNLV,MWC,12,148,801,5.4,3,1,149
51,Dontae Walker,Mississippi State,SEC,11,148,868,5.5,9,9,157
52,Robert Gillespie,Florida,SEC,11,125,896,5.9,6,26,151
53,Richard Whitaker,Texas A&M,Big 12,10,84,514,5.4,6,11,95
54,Chris Perry,Michigan,Big Ten,9,77,417,5.4,5,,77
55,Kevan Barlow,Pitt,Big East,11,197,1187,5.7,9,13,210
56,Leonard Henry,East Carolina,CUSA,11,133,848,5.6,9,18,151
57,Albert Grundy,Buffalo,MAC,9,80,469,5.3,4,9,89
58,Tavares Bolden,Toledo,MAC,11,73,390,5.3,5,,73
59,Travis Henry,Tennessee,SEC,11,253,1379,5.2,11,13,266
60,Tanardo Sharps,Temple,Big East,11,201,1145,5.3,10,16,217
