,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Vince Young,Texas,Big 12,12,135,998,7.4,11,,135
2,Matt Jones,Arkansas,SEC,13,96,719,7.4,8,1,97
3,Thomas Lott,Rice,WAC,11,98,729,7.1,3,4,102
4,Laurence Maroney,Minnesota,Big Ten,13,162,1132,6.9,10,1,163
5,Ciatrick Fason,Florida,SEC,13,84,725,7.6,6,11,95
6,Brad Smith,Missouri,Big 12,12,192,1363,7.0,18,3,195
7,Vernand Morency,Oklahoma State,Big 12,13,135,938,6.7,8,4,139
8,Terry Caulley,Connecticut,Ind,5,89,688,6.7,8,14,103
9,Darren Sproles,Kansas State,Big 12,15,306,2273,6.9,18,25,331
10,Ryan Moats,Louisiana Tech,WAC,12,199,1551,6.9,11,27,226
11,Justin Vincent,LSU,SEC,14,154,1081,6.7,10,8,162
12,Noah Herron,Northwestern,Big Ten,13,119,967,7.0,6,19,138
13,Decori Birmingham,Arkansas,SEC,13,88,735,7.0,5,17,105
14,Tatum Bell,Oklahoma State,Big 12,11,213,1346,6.1,16,9,222
15,Kevin Jones,Virginia Tech,Big East,13,281,1808,6.1,21,14,295
16,DeAngelo Williams,Memphis,CUSA,11,243,1814,6.5,13,35,278
17,Taurean Henderson,Texas Tech,Big 12,13,124,1347,6.7,16,78,202
18,Anthony Davis,Wisconsin,Big Ten,8,116,736,6.2,7,3,119
19,Kyle Herm,Rice,WAC,10,100,589,5.9,5,,100
20,Cedric Cobbs,Arkansas,SEC,12,227,1354,5.8,10,8,235
22,Marion Barber III,Minnesota,Big Ten,13,207,1315,6.0,17,13,220
23,Lionel Gates,Louisville,CUSA,13,141,1185,7.1,11,25,166
24,Kay-Jay Harris,West Virginia,Big East,12,91,635,6.6,4,5,96
25,Reggie Bush,USC,Pac-10,13,90,835,8.0,7,15,105
26,Loren Wade,Arizona State,Pac-10,11,136,792,5.7,6,3,139
27,Nick Turner,Mississippi State,SEC,12,123,789,5.6,7,19,142
28,J.J. Arrington,California,Pac-10,13,107,785,6.1,8,21,128
29,John Randle,Kansas,Big 12,13,88,639,6.0,3,19,107
30,Reynaldo Brathwaite,Brigham Young,MWC,10,145,912,5.6,2,19,164
31,Reynoldo Brathwaite,Brigham Young,MWC,10,145,912,5.6,2,19,164
32,Patrick Cobbs,North Texas,Sun Belt,10,284,1613,5.6,18,4,288
33,Julius Jones,Notre Dame,Ind,12,229,1321,5.5,10,10,239
34,Howard Jackson,UTEP,WAC,13,208,1537,6.5,8,27,235
35,Robert Merrill,Texas Christian,CUSA,12,201,1265,5.8,4,16,217
36,Dewayne Wright,Fresno State,WAC,14,190,1181,5.7,4,19,209
37,Dwayne Wright,Fresno State,WAC,14,190,1181,5.7,4,19,209
38,Cal Murray,Miami (OH),MAC,14,186,1303,6.1,14,26,212
39,Courtney Lewis,Texas A&M,Big 12,12,186,1115,5.7,12,10,196
40,Mike Bell,Arizona,Pac-10,12,168,973,5.6,6,6,174
41,Franklin Wallace,Marshall,MAC,10,132,763,5.6,6,5,137
43,Tony Joseph,New Mexico State,Sun Belt,12,129,745,5.6,2,5,134
44,Jackie Battle,Houston,CUSA,11,102,587,5.6,9,3,105
45,Bruce Gradkowski,Toledo,MAC,12,91,503,5.4,1,2,93
46,Derrick Knight,Boston College,Big East,13,321,1948,5.6,11,26,347
47,Carnell Williams,Auburn,SEC,13,241,1327,5.4,17,5,246
48,Jerry Seymour,Central Michigan,MAC,9,205,1220,5.6,8,13,218
49,Jarrett Payton,Miami (FL),Big East,13,182,1121,5.6,8,17,199
50,Chris Bellamy,Connecticut,Ind,12,110,638,5.5,3,7,117
51,Uril Parrish,Tulsa,WAC,9,100,560,5.5,5,2,102
52,Michael Turner,Northern Illinois,MAC,12,310,1878,5.7,17,19,329
53,Dontrell Moore,New Mexico,MWC,13,276,1599,5.6,21,11,287
54,Cedric Benson,Texas,Big 12,12,258,1480,5.5,22,9,267
55,Walter Reyes,Syracuse,Big East,12,253,1722,5.9,21,38,291
56,Kyle Eckel,Navy,Ind,13,236,1311,5.5,10,3,239
57,P.J. Pope,Bowling Green State,MAC,14,191,1438,6.0,10,48,239
