,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
1,Larry Johnson,Penn State,Big Ten,13,271,2436,7.8,23,41,312
2,Joshua Cribbs,Kent State,MAC,10,137,1057,7.7,10,,137
3,Dominique Dorsey,UNLV,MWC,12,78,575,7.3,3,1,79
4,Larry Croom,UNLV,MWC,12,84,872,8.4,6,20,104
5,Shaud Williams,Alabama,SEC,13,130,1149,7.6,5,21,151
6,Dewhitt Betterson,Troy,Ind,11,101,715,7.0,5,1,102
7,Tony Hollings,Georgia Tech,ACC,4,92,669,7.0,11,3,95
8,Quentin Griffin,Oklahoma,Big 12,14,287,2148,6.7,18,35,322
9,Lonta Hobbs,Texas Christian,CUSA,8,157,1071,6.4,13,10,167
10,Joe Alls,Bowling Green State,MAC,10,122,926,6.9,5,13,135
11,DeAngelo Williams,Memphis,CUSA,10,103,735,6.8,5,5,108
12,Kris Briggs,SMU,WAC,10,84,543,6.4,8,1,85
13,Quincy Wilson,West Virginia,Big East,13,140,937,6.3,6,8,148
14,Tatum Bell,Oklahoma State,Big 12,11,175,1155,6.5,13,4,179
15,Willis McGahee,Miami (FL),Big East,13,282,2108,6.8,28,27,309
16,Darren Sproles,Kansas State,Big 12,13,237,1564,6.4,17,9,246
17,Walter Reyes,Syracuse,Big East,12,182,1197,6.3,17,7,189
18,Chris Brown,Colorado,Big 12,12,303,1881,6.1,19,5,308
19,Joe Smith,Louisiana Tech,WAC,12,208,1568,6.1,16,47,255
20,Ronnie Brown,Auburn,SEC,12,175,1174,6.4,14,9,184
22,Greg Jones,Florida State,ACC,10,161,1012,5.9,8,10,171
23,Astin Martin,Toledo,MAC,14,135,919,6.2,6,13,148
24,Jermelle Lewis,Iowa,Big Ten,13,123,757,6.0,9,4,127
25,Reshard Lee,Middle Tennessee State,Sun Belt,11,110,720,5.9,6,12,122
26,David Mikell,Boise State,WAC,11,105,799,6.6,9,16,121
27,Vincent Hawkins,Rice,WAC,11,69,474,6.2,2,7,76
28,Michael Turner,Northern Illinois,MAC,12,338,2015,5.8,19,10,348
29,Fred Russell,Iowa,Big Ten,11,220,1275,5.8,9,1,221
30,Terry Caulley,Connecticut,Ind,10,220,1452,5.9,16,25,245
31,Fred Talley,Arkansas,SEC,14,197,1117,5.6,2,4,201
32,Nick Maddox,Florida State,ACC,12,106,799,6.2,5,23,129
33,P.J. Pope,Bowling Green State,MAC,12,101,629,5.8,5,8,109
34,Jammal Lord,Nebraska,Big 12,14,251,1412,5.6,8,,251
35,Maurice Clarett,Ohio State,Big Ten,11,222,1341,5.7,18,12,234
36,Jason Wright,Northwestern,Big Ten,12,219,1500,6.1,12,27,246
37,Bobby Purify,Colorado,Big 12,13,132,963,6.3,4,21,153
38,William Bratton,Toledo,MAC,8,114,677,5.7,10,4,118
39,Leotis Palmer,Air Force,MWC,13,99,603,5.8,4,5,104
40,Seymore Shaw,Oklahoma State,Big 12,10,89,498,5.6,5,,89
41,Brock Forsey,Boise State,WAC,13,295,1893,5.7,32,36,331
43,Derrick Knight,Boston College,Big East,13,259,1804,6.1,14,37,296
44,Danny Smith,Arkansas State,Sun Belt,13,254,1511,5.7,14,11,265
45,Terry Jackson II,Minnesota,Big Ten,13,239,1347,5.5,7,7,246
46,Derrick Nix,Southern Mississippi,CUSA,11,219,1332,5.7,11,13,232
47,Chris Downs,Maryland,ACC,14,208,1319,5.8,15,18,226
48,Dwone Hicks,Middle Tennessee State,Sun Belt,10,184,1261,6.3,11,15,199
49,Jermaine Green,Washington State,Pac-10,13,150,956,5.8,10,14,164
50,Bradlee Van Pelt,Colorado State,MWC,14,150,819,5.5,11,,150
51,Kevin Jones,Virginia Tech,Big East,13,160,892,5.4,9,4,164
52,Ran Carthon,Florida,SEC,13,105,700,5.6,5,20,125
53,Steven Jackson,Oregon State,Pac-10,13,319,1855,5.5,17,17,336
